Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Kanom Tuay Pandan Coconut Pudding 200 g,https://www.sayweee.com/en/product/Kanom-Tuay-Pandan-Coconut-Pudding/7317,$5.99,50+ Sold,,Kanom Tuay Pandan Coconut Pudding,(40),Thailand,
Sunny Hills Pineapple Cake 10pcs 500 g,https://www.sayweee.com/en/product/Sunny-Hills-Pineapple-Cake-10pcs/72028,$39.99,500+ Sold,$0.07/g,Sunny Hills Pineapple Cake 10pcs,(198),Taiwan,
Nora Kitchen Buko Pandan Jelly Mix 5.9 oz,https://www.sayweee.com/en/product/Nora-Kitchen-Buko-Pandan-Jelly-Mix/11569,$2.89,100+ Sold,$0.48/oz,Nora Kitchen Buko Pandan Jelly Mix,(4),United States,NORA
DEKA WAFER BITES MATCHA 7 oz,https://www.sayweee.com/en/product/DEKA-WAFER-BITES-MATCHA/22496,$3.29,200+ Sold,$0.47/oz,DEKA WAFER BITES MATCHA,(31),Indonesia,
Country House Black Sesame Crunch 7 oz,https://www.sayweee.com/en/product/Country-House-Black-Sesame-Crunch/94181,$4.99,500+ Sold,$0.71/oz,Country House Black Sesame Crunch,(85),United States,
DXC Flower Shaped Jujube Puff Cake  210 g,https://www.sayweee.com/en/product/DXC-Flower-Shaped-Jujube-Puff-Cake-/16890,$5.49,300+ Sold,,DXC Flower Shaped Jujube Puff Cake,(31),Mainland China,Daoxiangcun
Orange Custard Mini Cream Puff 4.44 oz,https://www.sayweee.com/en/product/Orange-Custard-Mini-Cream-Puff/98716,$4.49,"50+ Sold,3 Left",$1.01/oz,Orange Custard Mini Cream Puff,(72),,
Wowo Brand Fermented Glutinous Rice 600 g,https://www.sayweee.com/en/product/Wowo-Brand-Fermented-Glutinous-Rice/97184,$3.99,1K+ Sold,,Wowo Brand Fermented Glutinous Rice,(196),Mainland China,
DEKA WAFER BITES CHOCO CHOCO 7 oz,https://www.sayweee.com/en/product/DEKA-WAFER-BITES-CHOCO-CHOCO/22495,$3.29,200+ Sold,$0.47/oz,DEKA WAFER BITES CHOCO CHOCO,(27),Indonesia,
"IJEAN Egg Yolk Puff with Mochi, Cheese, and Mung Bean Paste 8.47 oz",https://www.sayweee.com/en/product/IJEAN-Egg-Yolk-Puff-with-Mochi--Cheese--and-Mung-Bean-Paste/35559,$8.99,200+ Sold,$1.06/oz,"IJEAN Egg Yolk Puff with Mochi, Cheese, and Mung Bean Paste",(7),United States,
