Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
Cadina All Natural Taro Chips 62 g,https://www.sayweee.com/en/product/Cadina-All-Natural-Taro-Chips/15031,$3.89 ,400+ Sold,$0.06/g,Cadina All Natural Taro Chips,-47,Taiwan,
Calbee Original Baked Shrimp Chips 4 oz,https://www.sayweee.com/en/product/Calbee-Original-Baked-Shrimp-Chips/83103,$1.88 ,300+ Sold,$0.47/oz,Calbee Original Baked Shrimp Chips,-87,Japan,Calbee
Orion Sweet Corn Flavored Turtle Chips 160 g,https://www.sayweee.com/en/product/Orion-Sweet-Corn-Flavored-Turtle-Chips/88799,$4.99 ,400+ Sold,$0.03/g,Orion Sweet Corn Flavored Turtle Chips,-177,South Korea,
Calbee Honey Butter Potato Chips 2.8 oz,https://www.sayweee.com/en/product/Calbee-Honey-Butter-Potato-Chips/29990,$2.09 ,400+ Sold,$0.74/oz,Calbee Honey Butter Potato Chips,-101,Hong Kong,Calbee
Calbee Hot and Spicy Potato Chips 7 oz,https://www.sayweee.com/en/product/Calbee-Hot-and-Spicy-Potato-Chips/45259,$4.49 ,300+ Sold,$0.64/oz,Calbee Hot and Spicy Potato Chips,-56,Hong Kong,Calbee
"Lay's Potato Chips, Seaweed Flavor 65 g",https://www.sayweee.com/en/product/Lay-s-Potato-Chips--Seaweed-Flavor/80139,$2.49 ,200+ Sold,$0.03/g,"Lay's Potato Chips, Seaweed Flavor",-12,Mainland China,Lay's
Shibuya Purple Sweet Potato Chips 100 g,https://www.sayweee.com/en/product/Shibuya-Purple-Sweet-Potato-Chips/59510,$4.49 ,200+ Sold,$0.04/g,Shibuya Purple Sweet Potato Chips,-11,Japan,
TAIYANG Sun Rice Chips Cumin Flavor 50 g,https://www.sayweee.com/en/product/TAIYANG-Sun-Rice-Chips-Cumin-Flavor/61355,$1.49 ,50+ Sold,,TAIYANG Sun Rice Chips Cumin Flavor,-36,Mainland China,
Fragrance Salted Egg Potato Sticks 70 g,https://www.sayweee.com/en/product/Fragrance-Salted-Egg-Potato-Sticks/4513,$6.49 ,,$0.09/g,Fragrance Salted Egg Potato Sticks,-48,Singapore,Fragrance
Ve Wong Little Prince Noodle Snack 300 g,https://www.sayweee.com/en/product/Ve-Wong-Little-Prince-Noodle-Snack/95583,$2.99 ,"200+ Sold,2 Left",,Ve Wong Little Prince Noodle Snack,-238,Taiwan,VE WONG
