Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
Dang Coconut Crunch Thai Rice Chips  3.5 oz,https://www.sayweee.com/en/product/Dang-Coconut-Crunch-Thai-Rice-Chips-/2449,$4.49 ,200+ Sold,$1.28/oz,Dang Coconut Crunch Thai Rice Chips,-3,Thailand,
Lets Do Organic Unsweetened Toasted Coconut Flakes 7 oz,https://www.sayweee.com/en/product/Lets-Do-Organic-Unsweetened-Toasted-Coconut-Flakes/4727,$3.49 ,100+ Sold,$0.49/oz,Lets Do Organic Unsweetened Toasted Coconut Flakes,-13,United States,Let's Do Organic
Dang Sriracha Spice Thai Rice Chips  3.5 oz,https://www.sayweee.com/en/product/Dang-Sriracha-Spice-Thai-Rice-Chips-/2471,$4.49 ,50+ Sold,$1.28/oz,Dang Sriracha Spice Thai Rice Chips,-3,Thailand,
Pringles Crisp Chips Original 5.2 oz,https://www.sayweee.com/en/product/Pringles-Crisp-Chips-Original/84236,$2.19 ,100+ Sold,$0.42/oz,Pringles Crisp Chips Original,,United States,
"Williwaw Foods Crispy Salmon Skin Cracklet, Patagonian Spice 1 oz",https://www.sayweee.com/en/product/Williwaw-Foods-Crispy-Salmon-Skin-Cracklet--Patagonian-Spice/41090,$4.79 ,,$4.79/oz,"Williwaw Foods Crispy Salmon Skin Cracklet, Patagonian Spice",-3,United States,
Paqui Haunted Ghost Pepper Tortilla Chips 7 oz,https://www.sayweee.com/en/product/Paqui-Haunted-Ghost-Pepper-Tortilla-Chips/34910,$4.29 ,,$0.61/oz,Paqui Haunted Ghost Pepper Tortilla Chips,-2,United States,
"Boulder Canyon Potato Chips, Avocado Oil and Sea Salt 5.25 oz",https://www.sayweee.com/en/product/Boulder-Canyon-Potato-Chips-Avocado-Oil-and-Sea-Salt/63671,$3.69 ,50+ Sold,$0.70/oz,"Boulder Canyon Potato Chips, Avocado Oil and Sea Salt",-6,United States,BOULDER CANYON
"LOVE CORN Roasted Corn, Smoked BBQ Flavor 1.6 oz",https://www.sayweee.com/en/product/LOVE-CORN-Roasted-Corn--Smoked-BBQ-Flavor/31011,$1.99 ,,$1.24/oz,"LOVE CORN Roasted Corn, Smoked BBQ Flavor",,United States,
"Stacy's Pita Chips, Simply Naked 7.33 oz",https://www.sayweee.com/en/product/Stacys-Pita-Chips-Simply-Naked/80484,$2.49 ,50+ Sold,$0.33/oz,"Stacy's Pita Chips, Simply Naked",,United States,STACY`S
Wilde Chicken Protein Chips Himalayan Pink Salt 2.25 oz,https://www.sayweee.com/en/product/Wilde-Chicken-Protein-Chips-Himalayan-Pink-Salt/30370,$4.99 ,50+ Sold,$2.21/oz,Wilde Chicken Protein Chips Himalayan Pink Salt,-1,United States,
"Kettle Brand  Potato Chips, Backyard Barbeque Flavor 13 oz",https://www.sayweee.com/en/product/Kettle-Brand--Potato-Chips--Backyard-Barbeque-Flavor/30378,$4.99 ,,$0.38/oz,"Kettle Brand  Potato Chips, Backyard Barbeque Flavor",,United States,
Dang Original Coconut Chips 3.17oz 3.17 oz,https://www.sayweee.com/en/product/Dang-Original-Coconut-Chips-3-17oz/2476,$4.69 ,100+ Sold,$1.47/oz,Dang Original Coconut Chips 3.17oz,-2,Thailand,
Wilde Chicken Protein Chips Sea Salt  & Vinegar 2.25 oz,https://www.sayweee.com/en/product/Wilde-Chicken-Protein-Chips-Sea-Salt----Vinegar/30374,$4.79 ,,$2.12/oz,Wilde Chicken Protein Chips Sea Salt  & Vinegar,-1,United States,
JANS SALTED EGG POTATO CHIPS - ORIGINAL 3.5 oz,https://www.sayweee.com/en/product/JANS-SALTED-EGG-POTATO-CHIPS---ORIGINAL/24611,$5.29 ,200+ Sold,$1.51/oz,JANS SALTED EGG POTATO CHIPS - ORIGINAL,-2,Indonesia,
"4505 Chicharrones Pork Rinds, Jalapeño Cheddar 2.5 oz",https://www.sayweee.com/en/product/4505-Chicharrones-Pork-Rinds--Jalape--o-Cheddar/80074,$5.19 ,,$2.07/oz,"4505 Chicharrones Pork Rinds, Jalapeño Cheddar",-2,United States,
"Dorito's Mini Corn Chips, Pepper Chicken Flavor 1.9 oz",https://www.sayweee.com/en/product/Dorito-s-Mini-Corn-Chips--Pepper-Chicken-Flavor/34618,$2.49 ,100+ Sold,$1.31/oz,"Dorito's Mini Corn Chips, Pepper Chicken Flavor",-5,Taiwan,Doritos
Oishi Marty's Crackin' Salt and Vinegar Flavor 90 g,https://www.sayweee.com/en/product/Oishi-Marty-s-Crackin--Salt-and-Vinegar-Flavor/84319,$1.99 ,100+ Sold,,Oishi Marty's Crackin' Salt and Vinegar Flavor,,Philippines,
Oishi Prawn Crackers Regular 90 g,https://www.sayweee.com/en/product/Oishi-Prawn-Crackers-Regular/85536,$1.69 ,400+ Sold,,Oishi Prawn Crackers Regular,,Philippines,
MTT Brand Instant Rice Paper Snack 7 oz,https://www.sayweee.com/en/product/MTT-Brand-Instant-Rice-Paper-Snack/84566,$3.29 ,200+ Sold,$0.47/oz,MTT Brand Instant Rice Paper Snack,-2,Vietnam,
Lesli's Honey Dipped Banana Thins 100 g,https://www.sayweee.com/en/product/Lesli-s-Honey-Dipped-Banana-Thins/89201,$1.99 ,100+ Sold,,Lesli's Honey Dipped Banana Thins,-4,United States,Leslie
Orion O! Tube Jalapeno and Cheese Flavor Chip 115 g,https://www.sayweee.com/en/product/Orion-O--Tube-Jalapeno-and-Cheese-Flavor-Chip/39275,$3.99 ,50+ Sold,$0.03/g,Orion O! Tube Jalapeno and Cheese Flavor Chip,-2,South Korea,
Boy Bawang Cornick Lechon Manok Flavor  4 oz,https://www.sayweee.com/en/product/Boy-Bawang-Cornick-Lechon-Manok-Flavor-/30838,$1.29 ,50+ Sold,$0.32/oz,Boy Bawang Cornick Lechon Manok Flavor,-2,Philippines,
Jack 'N Jill Chiz Curls 55 g,https://www.sayweee.com/en/product/Jack--N-Jill-Chiz-Curls/89102,$1.69 ,50+ Sold,$0.03/g,Jack 'N Jill Chiz Curls,-1,United States,JACK 'n JILL
Elena's Original Lapid Fried Chicken Skin Chicharon 2.5 oz,https://www.sayweee.com/en/product/Elena-s-Original-Lapid-Fried-Chicken-Skin-Chicharon/13829,$3.99 ,200+ Sold,$1.59/oz,Elena's Original Lapid Fried Chicken Skin Chicharon,-9,United States,
"Marco Polo Shrimp Snacks, Barbecue Flavor 2.5 oz",https://www.sayweee.com/en/product/Marco-Polo-Shrimp-Snacks--Barbecue-Flavor/24134,$1.69 ,100+ Sold,$0.67/oz,"Marco Polo Shrimp Snacks, Barbecue Flavor",-1,United States,
Regent Cheese Balls 60 g,https://www.sayweee.com/en/product/Regent-Cheese-Balls/9872,$1.29 ,200+ Sold,,Regent Cheese Balls,-3,Philippines,Regent
Regent Snacku Vegetable Flavored Rice Crackers 60 g,https://www.sayweee.com/en/product/Regent-Snacku-Vegetable-Flavored-Rice-Crackers/9668,$1.29 ,200+ Sold,,Regent Snacku Vegetable Flavored Rice Crackers,-4,Philippines,Regent
Golden Duck Chili Crab Seaweed Tempura 102 g,https://www.sayweee.com/en/product/Golden-Duck-Chili-Crab-Seaweed-Tempura/83972,$8.99 ,100+ Sold,$0.08/g,Golden Duck Chili Crab Seaweed Tempura,-2,Singapore,
"ORION O!Tube Chips, Sweet Chili Flavor  115 g",https://www.sayweee.com/en/product/ORION-O-Tube-Chips--Sweet-Chili-Flavor-/37079,$3.49 ,50+ Sold,$0.03/g,"ORION O!Tube Chips, Sweet Chili Flavor",-1,South Korea,
"Elena's Original Lapid Fried Pork Rinds, May Laman 4 oz",https://www.sayweee.com/en/product/Elena-s-Original-Lapid-Fried-Pork-Rinds--May-Laman/13822,$7.79 ,50+ Sold,$1.94/oz,"Elena's Original Lapid Fried Pork Rinds, May Laman",-4,United States,
"Leslie's Clover Chips, Cheese Flavor 145 g",https://www.sayweee.com/en/product/Leslie-s-Clover-Chips--Cheese-Flavor/89180,$2.69 ,200+ Sold,,"Leslie's Clover Chips, Cheese Flavor",-7,United States,Leslie
Jans Chocolate Potato Chips 3.5 oz,https://www.sayweee.com/en/product/Jans-Chocolate-Potato-Chips/40831,$4.99 ,200+ Sold,$1.42/oz,Jans Chocolate Potato Chips,-6,Indonesia,
JANS CHIPS ORIGINAL TARO CHIPS 3 oz,https://www.sayweee.com/en/product/JANS-CHIPS-ORIGINAL-TARO-CHIPS/20818,$1.99 ,50+ Sold,$0.66/oz,JANS CHIPS ORIGINAL TARO CHIPS,-1,Indonesia,
"Elena's Original Lapid Fried Pork Rinds, Vinegar Flavor 2 oz",https://www.sayweee.com/en/product/Elena-s-Original-Lapid-Fried-Pork-Rinds--Vinegar-Flavor/13824,$2.79 ,50+ Sold,$1.39/oz,"Elena's Original Lapid Fried Pork Rinds, Vinegar Flavor",-1,United States,
"Orion Turtle Chips, Sweet Corn Flavor 80 g",https://www.sayweee.com/en/product/Orion-Turtle-Chips-Sweet-Corn-Flavor/88795,$1.99 ,50+ Sold,,"Orion Turtle Chips, Sweet Corn Flavor",-74,South Korea,
Calbee Saya Snowpea Crisps  2.47 oz,https://www.sayweee.com/en/product/Calbee-Saya-Snowpea-Crisps-/83115,$1.49 ,50+ Sold,$0.60/oz,Calbee Saya Snowpea Crisps,-6,Thailand,Calbee
"Jack 'N Jill V-Cut Potato Chips, Cheese Flavor 60 g",https://www.sayweee.com/en/product/Jack--N-Jill-V-Cut-Potato-Chips--Cheese-Flavor/89119,$1.29 ,,,"Jack 'N Jill V-Cut Potato Chips, Cheese Flavor",,United States,JACK 'n JILL
Barcel Kettlez Fuego Cooked Chips Fuego 1.9 oz,https://www.sayweee.com/en/product/Barcel-Kettlez-Fuego-Cooked-Chips-Fuego/44640,$1.99 ,200+ Sold,$1.04/oz,Barcel Kettlez Fuego Cooked Chips Fuego,-1,Mexico,BIMBO
Golden Duck Salted Egg Fish Skin  105 g,https://www.sayweee.com/en/product/Golden-Duck-Salted-Egg-Fish-Skin-/83970,$8.99 ,100+ Sold,$0.08/g,Golden Duck Salted Egg Fish Skin,-2,Singapore,
"Elena's Original Lapid Fried Pork Rinds, Classic 3 oz",https://www.sayweee.com/en/product/Elena-s-Original-Lapid-Fried-Pork-Rinds--Classic/13823,$4.99 ,50+ Sold,$1.66/oz,"Elena's Original Lapid Fried Pork Rinds, Classic",,United States,
Barcel Takis Blue Heat 4 oz,https://www.sayweee.com/en/product/Barcel-Takis-Blue-Heat/91821,$1.99 ,,$0.49/oz,Barcel Takis Blue Heat,-1,Mexico,BIMBO
Oishi Baked Potato Fries Plain Salted 50 g,https://www.sayweee.com/en/product/Oishi-Baked-Potato-Fries-Plain-Salted/87158,$0.89 ,,,Oishi Baked Potato Fries Plain Salted,,Philippines,
"Leslie's Clover Chips, Ham and Cheese Flavor  145 g",https://www.sayweee.com/en/product/Leslie-s-Clover-Chips--Ham-and-Cheese-Flavor-/89187,$1.69 ,,,"Leslie's Clover Chips, Ham and Cheese Flavor",,United States,Leslie
LESLIE'S CLOVER CHIPS BBQ FLAVOR 145 g,https://www.sayweee.com/en/product/LESLIE-S-CLOVER-CHIPS-BBQ-FLAVOR/89168,$2.79 ,100+ Sold,,LESLIE'S CLOVER CHIPS BBQ FLAVOR,-4,United States,
Peacock Fish Puffcorn 40 g,https://www.sayweee.com/en/product/Peacock-Fish-Puffcorn/51211,$1.79 ,"400+ Sold,3 Left",$0.04/g,Peacock Fish Puffcorn,-1,Taiwan,
"Lay's Potato Chips, Sea Salt Flavor 65 g",https://www.sayweee.com/en/product/Lays-Potato-Chips-Sea-Salt-Flavor/80132,$2.49 ,,$0.03/g,"Lay's Potato Chips, Sea Salt Flavor",,Mainland China,Lay's
Calidad Corn Tortilla Chips  12 oz,https://www.sayweee.com/en/product/Calidad-Corn-Tortilla-Chips-/73262,$2.29 ,,$0.19/oz,Calidad Corn Tortilla Chips,-2,United States,
Barcel Takis Fuego 4 oz,https://www.sayweee.com/en/product/Barcel-Takis-Fuego/91820,$1.99 ,100+ Sold,$0.49/oz,Barcel Takis Fuego,-3,Mexico,BIMBO
Jans Sea Salt Sweet Potato Chips 3 oz,https://www.sayweee.com/en/product/Jans-Sea-Salt-Sweet-Potato-Chips/20817,$2.49 ,50+ Sold,$0.83/oz,Jans Sea Salt Sweet Potato Chips,-5,Indonesia,
"Kusuka Cassava Chips, Original  8 oz",https://www.sayweee.com/en/product/Kusuka-Cassava-Chips--Original-/3647,$3.19 ,50+ Sold,$0.39/oz,"Kusuka Cassava Chips, Original",-6,Indonesia,
"Cadina Potato Fries, Hokkaido Cheese Flavor 3.25 oz",https://www.sayweee.com/en/product/Cadina-Potato-Fries--Hokkaido-Cheese-Flavor/71121,$5.49 ,50+ Sold,$1.68/oz,"Cadina Potato Fries, Hokkaido Cheese Flavor",-1,Taiwan,
"Lay's Potato Chips, Kyushu Seaweed 1.51 oz",https://www.sayweee.com/en/product/Lays-Potato-Chips-Kyushu-Seaweed/79522,$2.29 ,100+ Sold,$1.51/oz,"Lay's Potato Chips, Kyushu Seaweed",-13,Taiwan,Lay's
"Zidi Potato Chips, Seaweed Flavor 100 g",https://www.sayweee.com/en/product/Zidi-Potato-Chips-Seaweed-Flavor/63438,$2.99 ,,,"Zidi Potato Chips, Seaweed Flavor",-8,Mainland China,Zidi
"Calbee My Pote Potato Chips, White Truffle Flavor 2.12 oz",https://www.sayweee.com/en/product/Calbee-My-Pote-Potato-Chips--White-Truffle-Flavor/87493,$2.49 ,,$1.17/oz,"Calbee My Pote Potato Chips, White Truffle Flavor",,United States,Calbee
"Jack 'N Jill Chippy, Garlic and Vinegar Flavor 110 g",https://www.sayweee.com/en/product/Jack--N-Jill-Chippy--Garlic-and-Vinegar-Flavor/89110,$0.99 ,100+ Sold,,"Jack 'N Jill Chippy, Garlic and Vinegar Flavor",-1,United States,JACK 'n JILL
Beatles Shrimp Strips Spicy Crayfish Flavor 90 g,https://www.sayweee.com/en/product/Beatles-Shrimp-Strips-Spicy-Crayfish-Flavor/39968,$4.49 ,50+ Sold,$0.04/g,Beatles Shrimp Strips Spicy Crayfish Flavor,-5,Mainland China,
"Sha Er Ge Coarse Grain Rice Crisps, Scallion Flavor 100 g",https://www.sayweee.com/en/product/Sha-Er-Ge-Coarse-Grain-Rice-Crisps--Scallion-Flavor/48298,$1.89 ,50+ Sold,,"Sha Er Ge Coarse Grain Rice Crisps, Scallion Flavor",-2,Mainland China,
Sir Norman Baker Shingaling 180 g,https://www.sayweee.com/en/product/Sir-Norman-Baker-Shingaling/84186,$2.69 ,,,Sir Norman Baker Shingaling,-1,Philippines,
Oishi Fishda Fish Kropek 80 g,https://www.sayweee.com/en/product/Oishi-Fishda-Fish-Kropek/86922,$1.99 ,100+ Sold,,Oishi Fishda Fish Kropek,,Philippines,
"Nongshim Tako Chips, Seafood Flavor Jumbo Size 286 g",https://www.sayweee.com/en/product/Nongshim-Tako-Chips--Seafood-Flavor-Jumbo-Size/29337,$5.99 ,,,"Nongshim Tako Chips, Seafood Flavor Jumbo Size",-2,South Korea,Nongshim
"Lay's Stax Potato Chips, Original Flavor  90 g",https://www.sayweee.com/en/product/Lay-s-Stax-Potato-Chips--Original-Flavor-/42353,$3.69 ,200+ Sold,$0.04/g,"Lay's Stax Potato Chips, Original Flavor",-2,Mainland China,Lay's
Calbee Salted Potato Chips Giza Giza 60 g,https://www.sayweee.com/en/product/Calbee-Salted-Potato-Chips-Giza-Giza/83741,$2.99 ,,$0.04/g,Calbee Salted Potato Chips Giza Giza,-2,Japan,
"Lay's Potato Chips, Salt & Pepper Flavor 1.51 oz",https://www.sayweee.com/en/product/Lay-s-Potato-Chips--Salt---Pepper-Flavor/34610,$2.49 ,,$1.64/oz,"Lay's Potato Chips, Salt & Pepper Flavor",,Taiwan,Lay's
Lay's Potato Chips Chestnut Flavor 90 g,https://www.sayweee.com/en/product/Lay-s-Potato-Chips-Chestnut-Flavor/33877,$3.29 ,,$0.03/g,Lay's Potato Chips Chestnut Flavor,,Mainland China,Lay's
Lobster Chips  140 g,https://www.sayweee.com/en/product/Lobster-Chips-/30883,$3.69 ,,,Lobster Chips,-2,Mainland China,
"Fry Cut Potato Chips, Steak Flavor 70 g",https://www.sayweee.com/en/product/Fry-Cut-Potato-Chips--Steak-Flavor/31629,$3.09 ,50+ Sold,$0.04/g,"Fry Cut Potato Chips, Steak Flavor",-1,Mainland China,
Mission Chicharrones Original 4 oz,https://www.sayweee.com/en/product/Mission-Chicharrones-Original/73264,$2.99 ,,$0.74/oz,Mission Chicharrones Original,-7,United States,
"Tia Lupita Cactus Grain-Free Tortilla Chips, Habanero 5 oz",https://www.sayweee.com/en/product/Tia-Lupita-Cactus-Grain-Free-Tortilla-Chips--Habanero/82472,$4.99 ,,$0.99/oz,"Tia Lupita Cactus Grain-Free Tortilla Chips, Habanero",-1,United States,
WENHEYOU Cuttlefish Chips Pepper Flavor 40 g,https://www.sayweee.com/en/product/WENHEYOU-Cuttlefish-Chips-Pepper-Flavor/83793,$3.59 ,,$0.08/g,WENHEYOU Cuttlefish Chips Pepper Flavor,,Mainland China,WENHE YOU
Diana Pachanga Mix 3.53 oz,https://www.sayweee.com/en/product/Diana-Pachanga-Mix/84362,$1.97 ,,$0.55/oz,Diana Pachanga Mix,,Mexico,
Irvins Salted Egg Potato Chips  230 g,https://www.sayweee.com/en/product/Irvins-Salted-Egg-Potato-Chips-/23158,$19.99 ,50+ Sold,$0.08/g,Irvins Salted Egg Potato Chips,-5,Singapore,IRVINS
"V-Loong Potato Sticks, Salted Egg Yolk Flavor 48 g",https://www.sayweee.com/en/product/V-Loong-Potato-Sticks--Salted-Egg-Yolk-Flavor/74871,$2.39 ,50+ Sold,$0.04/g,"V-Loong Potato Sticks, Salted Egg Yolk Flavor",-12,Mainland China,Weilong
Beny Locochas Mango Flavor Candy 60 count,https://www.sayweee.com/en/product/Beny-Locochas-Mango-Flavor-Candy/71448,$4.29 ,,$0.07/count,Beny Locochas Mango Flavor Candy,-2,Mexico,
Diana Yucca Chips 2.5 oz,https://www.sayweee.com/en/product/Diana-Yucca-Chips/81738,$2.19 ,,$0.87/oz,Diana Yucca Chips,-2,United States,DIANA
Dragonfly Fried Pork Skin Strips Hot 2.5 oz,https://www.sayweee.com/en/product/Dragonfly-Fried-Pork-Skin-Strips-Hot/82819,$2.99 ,50+ Sold,$1.19/oz,Dragonfly Fried Pork Skin Strips Hot,,United States,Dragon Fly
Crown Caramel Corn and Peanuts 150 g,https://www.sayweee.com/en/product/Crown-Caramel-Corn-and-Peanuts/1290,$3.69 ,,,Crown Caramel Corn and Peanuts,-19,South Korea,
Lay's Kyushu Seaweed Potato Chips 75 g,https://www.sayweee.com/en/product/Lay-s-Kyushu-Seaweed-Potato-Chips/9690,$2.29 ,300+ Sold,$0.03/g,Lay's Kyushu Seaweed Potato Chips,-7,Taiwan,Lay's
"Elena's Original Lapid Fried Pork Rinds, Classic 3 oz",https://www.sayweee.com/en/product/Elena-s-Original-Lapid-Fried-Pork-Rinds--Classic/13823,$4.99 ,50+ Sold,$1.66/oz,"Elena's Original Lapid Fried Pork Rinds, Classic",,United States,
Lay's Potato Chip 2IN1 Seafood Sauce  1.69 oz,https://www.sayweee.com/en/product/Lay-s-Potato-Chip-2IN1-Seafood-Sauce-/14006,$2.09 ,300+ Sold,$1.23/oz,Lay's Potato Chip 2IN1 Seafood Sauce,-32,Thailand,Lay's
HAITAI Honey Butter Chips Fun Size Value Pack 12ct 1 case,https://www.sayweee.com/en/product/HAITAI-Honey-Butter-Chips-Fun-Size-Value-Pack-12ct/31855,$17.99 ,,$17.99/case,HAITAI Honey Butter Chips Fun Size Value Pack 12ct,-4,South Korea,HAITAI
Shibuya Sweet Potato Sticks with Sesame Seed 145 g,https://www.sayweee.com/en/product/Shibuya-Sweet-Potato-Sticks-with-Sesame-Seed/30225,$3.99 ,,,Shibuya Sweet Potato Sticks with Sesame Seed,,Japan,
QinQin Prawn Cracker Spicy Flavor 80 g,https://www.sayweee.com/en/product/QinQin-Prawn-Cracker-Spicy-Flavor/48521,$2.49 ,,$0.03/g,QinQin Prawn Cracker Spicy Flavor,,Mainland China,
"Did you eat ? Crispy King Apoya, Crispy fish snack (original) 140 g",https://www.sayweee.com/en/product/Did-you-eat---Crispy-King-Apoya--Crispy-fish-snack--original-/87175,$9.99 ,,$0.07/g,"Did you eat ? Crispy King Apoya, Crispy fish snack (original)",,South Korea,
Fuyinong Small Sweet Potato 100 g,https://www.sayweee.com/en/product/Fuyinong-Small-Sweet-Potato/86872,$2.69 ,100+ Sold,,Fuyinong Small Sweet Potato,,Mainland China,
"Tia Lupita Cactus Grain-Free Tortilla Chips, Sea Salt 5 oz",https://www.sayweee.com/en/product/Tia-Lupita-Cactus-Grain-Free-Tortilla-Chips--Sea-Salt/82264,$4.99 ,,$0.99/oz,"Tia Lupita Cactus Grain-Free Tortilla Chips, Sea Salt",,United States,
"LOTTE Popping Corn Chips, Original Flavor 144 g",https://www.sayweee.com/en/product/LOTTE-Popping-Corn-Chips--Original-Flavor/34852,$5.99 ,50+ Sold,$0.04/g,"LOTTE Popping Corn Chips, Original Flavor",-6,South Korea,Lotte
Guzto's Banana Chips 100 g,https://www.sayweee.com/en/product/Guzto-s-Banana-Chips/35394,$2.08 ,,,Guzto's Banana Chips,,Philippines,
LaLa Sweet Chili Fish Cracker 100 g,https://www.sayweee.com/en/product/LaLa-Sweet-Chili-Fish-Cracker/85667,$1.69 ,,,LaLa Sweet Chili Fish Cracker,,Philippines,
Golden Fish Cracker Hot 200 g,https://www.sayweee.com/en/product/Golden-Fish-Cracker-Hot/85682,$3.39 ,,,Golden Fish Cracker Hot,,Philippines,
Nemi Snacks Cactus Sticks Mexican Lime 1.7 oz,https://www.sayweee.com/en/product/Nemi-Snacks-Cactus-Sticks-Mexican-Lime/85764,$3.69 ,,$2.17/oz,Nemi Snacks Cactus Sticks Mexican Lime,,Mexico,
Oishi Marty's Cracklin' Plain Salted Flavor 90 g,https://www.sayweee.com/en/product/Oishi-Marty-s-Cracklin--Plain-Salted-Flavor/84316,$1.99 ,,,Oishi Marty's Cracklin' Plain Salted Flavor,,Philippines,
LianCheng Sweet Potato Chips 180 g,https://www.sayweee.com/en/product/LianCheng-Sweet-Potato-Chips/83328,$6.59 ,50+ Sold,$0.03/g,LianCheng Sweet Potato Chips,-1,Taiwan,LianCheng
JANS ORGANIC PURPLE SWEET POTATO CHIPS 4 oz,https://www.sayweee.com/en/product/JANS-ORGANIC-PURPLE-SWEET-POTATO-CHIPS/20816,$3.99 ,,$0.99/oz,JANS ORGANIC PURPLE SWEET POTATO CHIPS,-1,Indonesia,
Seaweed Handmade Twisted Roll 200 g,https://www.sayweee.com/en/product/Seaweed-Handmade-Twisted-Roll/64689,$3.99 ,50+ Sold,,Seaweed Handmade Twisted Roll,-16,Taiwan,
[Oishi] Potato Chips (Barbecue) 80g x 1bag 80 g,https://www.sayweee.com/en/product/-Oishi--Potato-Chips--Barbecue--80g-x-1bag/3790,$2.49 ,50+ Sold,$0.03/g,[Oishi] Potato Chips (Barbecue) 80g x 1bag,-5,Mainland China,
LOTTE Pepero Original Large  6.35 oz,https://www.sayweee.com/en/product/LOTTE-Pepero-Original-Large-/34521,$5.99 ,,$0.94/oz,LOTTE Pepero Original Large,-1,South Korea,Lotte
Mission Spicy Chicharrones 4 oz,https://www.sayweee.com/en/product/Mission-Spicy-Chicharrones/73267,$5.19 ,,$1.29/oz,Mission Spicy Chicharrones,-6,United States,MISSION
"Want Want Lonely God Jumbo Potato Twist, Rose Salt 86 g",https://www.sayweee.com/en/product/Want-Want-Lonely-God-Jumbo-Potato-Twist--Rose-Salt/51210,$3.29 ,100+ Sold,$0.03/g,"Want Want Lonely God Jumbo Potato Twist, Rose Salt",-3,Taiwan,WANT WANT
"Crackle Bicol Express Potato Chips, Spicy Coconut Flavor  60 g",https://www.sayweee.com/en/product/Crackle-Bicol-Express-Potato-Chips--Spicy-Coconut-Flavor-/5485,$4.79 ,,$0.07/g,"Crackle Bicol Express Potato Chips, Spicy Coconut Flavor",-1,Philippines,
Crackle Snacks Salted Egg Potato Chips 70 g,https://www.sayweee.com/en/product/Crackle-Snacks-Salted-Egg-Potato-Chips/10940,$6.79 ,,$0.09/g,Crackle Snacks Salted Egg Potato Chips,-1,Philippines,CRACKLE
"Sha Er Ge Coarse Grain Rice Crisps, Spicy Flavor 100 g",https://www.sayweee.com/en/product/Sha-Er-Ge-Coarse-Grain-Rice-Crisps--Spicy-Flavor/48299,$1.99 ,50+ Sold,,"Sha Er Ge Coarse Grain Rice Crisps, Spicy Flavor",,Mainland China,Sha Er Ge
Crown Corn Chips Hot Mexican Jalapeño Flavor 118 g,https://www.sayweee.com/en/product/Crown-Corn-Chips-Hot-Mexican-Jalape--o-Flavor/34799,$4.99 ,,$0.04/g,Crown Corn Chips Hot Mexican Jalapeño Flavor,-3,South Korea,
ORION O!Karto Cream & Cheese Flavor Potato Chips 1.76 oz,https://www.sayweee.com/en/product/ORION-O-Karto-Cream---Cheese-Flavor-Potato-Chips/28254,$1.99 ,,$1.13/oz,ORION O!Karto Cream & Cheese Flavor Potato Chips,,South Korea,
Dragonfly Hot and Spicy Prawn Chips 4.2 oz,https://www.sayweee.com/en/product/Dragonfly-Hot-and-Spicy-Prawn-Chips/14003,$3.89 ,50+ Sold,$0.92/oz,Dragonfly Hot and Spicy Prawn Chips,-3,Vietnam,
"Oishi Potato Chips, Honey Butter Flavor 80 g",https://www.sayweee.com/en/product/Oishi-Potato-Chips--Honey-Butter-Flavor/39218,$3.99 ,,$0.04/g,"Oishi Potato Chips, Honey Butter Flavor",-1,Mainland China,Oishi
"Binji Ox Ear-Shaped Biscuits, Original 52 g",https://www.sayweee.com/en/product/Binji-Ox-Ear-Shaped-Biscuits--Original/48301,$2.29 ,,$0.04/g,"Binji Ox Ear-Shaped Biscuits, Original",,Mainland China,
Sea World Fried Mixed Vegetable Chips (Bugak) 10pk 1 box,https://www.sayweee.com/en/product/Sea-World-Fried-Mixed-Vegetable-Chips--Bugak--10pk/48258,$34.99 ,,$34.99/box,Sea World Fried Mixed Vegetable Chips (Bugak) 10pk,,South Korea,
Hong Tu Honey Grilled Wing Flavored Yam Chips 90 g,https://www.sayweee.com/en/product/Hong-Tu-Honey-Grilled-Wing-Flavored-Yam-Chips/50242,$2.59 ,,,Hong Tu Honey Grilled Wing Flavored Yam Chips,-3,Mainland China,
"Garden Potato Chips, Original Flavor 50 g",https://www.sayweee.com/en/product/Garden-Potato-Chips--Original-Flavor/45864,$1.99 ,,$0.03/g,"Garden Potato Chips, Original Flavor",-3,Mainland China,GARDEN
"LianCheng Sweet Potato Chips, Original 190 g",https://www.sayweee.com/en/product/LianCheng-Sweet-Potato-Chips-Original/57292,$6.49 ,,$0.03/g,"LianCheng Sweet Potato Chips, Original",-19,Taiwan,LianCheng
"Did you eat ? Crispy King Apoya, Crispy fish snack (hot chili) 140 g",https://www.sayweee.com/en/product/Did-you-eat---Crispy-King-Apoya--Crispy-fish-snack--hot-chili-/87176,$9.99 ,,$0.07/g,"Did you eat ? Crispy King Apoya, Crispy fish snack (hot chili)",,South Korea,
"Zhanzui's Cat Ear Crisps, Original Flavor 420 g",https://www.sayweee.com/en/product/Zhanzuis-Cat-Ear-Crisps-Original-Flavor/86011,$4.29 ,,,"Zhanzui's Cat Ear Crisps, Original Flavor",-4,Mainland China,Zhanzui
"Zhanzui's Cat Ear Crisps, Black Sesame Flavor 420 g",https://www.sayweee.com/en/product/Zhanzuis-Cat-Ear-Crisps-Black-Sesame-Flavor/86012,$4.29 ,,,"Zhanzui's Cat Ear Crisps, Black Sesame Flavor",-4,Mainland China,Zhanzui
