Title,Title_link,Price,count___1LWwo,unit_info___32SjE,label___2DYkt,Reviews,Orgin,Brand
Jack & Jill Maxx Candy Extra Strength 7 oz,https://www.sayweee.com/en/product/Jack---Jill-Maxx-Candy-Extra-Strength/85684,$1.69 ,50+ Sold,$0.24/oz,,,Philippines,JACK 'n JILL
Hongmao Durain Candy 350 g,https://www.sayweee.com/en/product/Hongmao-Durain-Candy/84945,$5.09 ,50+ Sold,,,,Mainland China,
Indy Dedos Spicy and Sour Candy 1 box,https://www.sayweee.com/en/product/Indy-Dedos-Spicy-and-Sour-Candy/82480,$2.19 ,,$2.19/box,,,Mexico,
Sonrics Rockaleta Chili Lollipops 16.9 oz,https://www.sayweee.com/en/product/Sonrics-Rockaleta-Chili-Lollipops/81970,$7.49 ,,$0.44/oz,,-1,United States,
Dragonfly Jelly Cups Cow Jar  24.6 oz,https://www.sayweee.com/en/product/Dragonfly-Jelly-Cups-Cow-Jar-/48653,$9.39 ,,$0.38/oz,10% Off,-1,Mainland China,Dragonfly
YUMEI Rice Jelly (Brown Sugar Flavor) 240 g,https://www.sayweee.com/en/product/YUMEI-Rice-Jelly--Brown-Sugar-Flavor-/16968,$3.39 ,300+ Sold,,,-16,Mainland China,YUMEI
Orihiro 0kcal Jelly Apple Drink 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Apple-Drink/18927,$2.99 ,50+ Sold,,,-1,Japan,
"De La Rosa Strawberry and Vanilla Marshmallows, Giant Size 14.5 oz",https://www.sayweee.com/en/product/De-La-Rosa-Strawberry-and-Vanilla-Marshmallows--Giant-Size/71658,$2.19 ,50+ Sold,$0.15/oz,,-11,Mexico,De La Rosa
Hsufuchi Assorted Peanut Crispy Candy Bucket 600 g,https://www.sayweee.com/en/product/Hsufuchi-Assorted-Peanut-Crispy-Candy-Bucket/50190,$15.19 ,,,5% Off,-1,Mainland China,HSUFUCHI
"Lotte Malang Milky Chewy Cow Candy, Multi Small Packs Inside 158 g",https://www.sayweee.com/en/product/Lotte-Malang-Milky-Chewy-Cow-Candy--Multi-Small-Packs-Inside/29486,$6.79 ,,$0.04/g,15% Off,-2,South Korea,Lotte
Bitter Chocolate 172 g,https://www.sayweee.com/en/product/Bitter-Chocolate/42143,$9.99 ,50+ Sold,$0.05/g,,-8,Japan,
Alpenliebe Mix Flavored Lollipop 200 g,https://www.sayweee.com/en/product/Alpenliebe-Mix-Flavored-Lollipop/47504,$4.59 ,200+ Sold,,,-5,Mainland China,
Pearl Milk Tea Candy 108 g,https://www.sayweee.com/en/product/Pearl-Milk-Tea-Candy/84948,$4.19 ,,$0.03/g,,,Mainland China,
Beny Locochas Sabor Sandia Watermelon Hard Candy  1 each,https://www.sayweee.com/en/product/Beny-Locochas-Sabor-Sandia-Watermelon-Hard-Candy-/82476,$3.89 ,,$3.89/each,,,Mexico,
Konjac jelly drink grape flavor 130 g,https://www.sayweee.com/en/product/Konjac-jelly-drink-grape-flavor/85105,$1.69 ,100+ Sold,,,,Mainland China,
Fujiya Pop Candy 4.34 oz,https://www.sayweee.com/en/product/Fujiya-Pop-Candy/92058,$2.89 ,1 Left,$0.66/oz,,-10,Japan,
"Aji Konjac Jelly, Passion Fruit and Grape Flavor 260 g",https://www.sayweee.com/en/product/Aji-Konjac-Jelly--Passion-Fruit-and-Grape-Flavor/7206,$4.99 ,50+ Sold,,,-1,Mainland China,AJI
Orihiro 0kcal Jelly Orange Flavor 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Orange-Flavor/84251,$2.99 ,50+ Sold,,,,Japan,
Gummy Candy Peach Flavor 5 Bags Per Pack 23 g,https://www.sayweee.com/en/product/Gummy-Candy-Peach-Flavor-5-Bags-Per-Pack/86907,$2.49 ,500+ Sold,$0.10/g,New,,Mainland China,
GOGOFUN Peach Flavored Jelly 165 g,https://www.sayweee.com/en/product/GOGOFUN-Peach-Flavored-Jelly/40081,$3.09 ,,,,-2,Mainland China,
Nobel Otoko Ume Candy 80 g,https://www.sayweee.com/en/product/Nobel-Otoko-Ume-Candy/77646,$3.49 ,,$0.04/g,,-4,Japan,Nobel
Rongshing Crisp Candy 200 g,https://www.sayweee.com/en/product/Rongshing-Crisp-Candy/84937,$5.09 ,,,,,Mainland China,
Shengkui Hawthorn Roll 90 g,https://www.sayweee.com/en/product/Shengkui-Hawthorn-Roll/48297,$2.49 ,,,,,Mainland China,
Jack 'N Jill Maxx Honey Mansi Menthol Candy  7.5 oz,https://www.sayweee.com/en/product/Jack--N-Jill-Maxx-Honey-Mansi-Menthol-Candy-/15677,$1.49 ,,$0.19/oz,11% Off,-3,Philippines,JACK 'n JILL
Jack 'N Jill Maxx Honey Lemon Menthol Candy 7.05 oz,https://www.sayweee.com/en/product/Jack--N-Jill-Maxx-Honey-Lemon-Menthol-Candy/15792,$1.49 ,,$0.21/oz,11% Off,-7,Philippines,JACK 'n JILL
Lianggao Well Rice Cake with Brown Sugar Syrup 240 g,https://www.sayweee.com/en/product/Lianggao-Well-Rice-Cake-with-Brown-Sugar-Syrup/11449,$1.79 ,,,,-9,Mainland China,
UHA Salted Red Beans Candy  109 g,https://www.sayweee.com/en/product/UHA-Salted-Red-Beans-Candy-/37701,$2.99 ,,,,-3,Japan,
"Cherry Grandfather Handmade Nougat, Coffee Flavor  100 g",https://www.sayweee.com/en/product/Cherry-Grandfather-Handmade-Nougat--Coffee-Flavor-/6946,$6.50 ,,$0.06/g,,-4,Taiwan,
"Aji Kojac Jelly, Peach and Mango Flavor 260 g",https://www.sayweee.com/en/product/Aji-Kojac-Jelly--Peach-and-Mango-Flavor/7204,$4.99 ,100+ Sold,,,,Mainland China,AJI
Snak Club Sour Gummy Bears 4 oz,https://www.sayweee.com/en/product/Snak-Club-Sour-Gummy-Bears/91876,$1.99 ,,$0.49/oz,,-4,United States,Snak Club
Konjac jelly drink salty lemon flavor 130 g,https://www.sayweee.com/en/product/Konjac-jelly-drink-salty-lemon-flavor/85104,$1.69 ,,,,,Mainland China,
WENHEYOU Cinnamon Oil Candy 90 g,https://www.sayweee.com/en/product/WENHEYOU-Cinnamon-Oil-Candy/83792,$5.59 ,,$0.06/g,,-1,Mainland China,
Chayan Black Tea and Oolong Flavored Candy 32 g,https://www.sayweee.com/en/product/Chayan-Black-Tea-and-Oolong-Flavored-Candy/83796,$6.59 ,,$0.20/g,,-1,Mainland China,Chayanyuese
"U Kiss Ice Cream Flavored Jelly, Assorted Flavors 270 g",https://www.sayweee.com/en/product/U-Kiss-Ice-Cream-Flavored-Jelly--Assorted-Flavors/68008,$3.79 ,,,,-3,Mainland China,U kiss
Maoduoli Passionfruit Gummy 160 g,https://www.sayweee.com/en/product/Maoduoli-Passionfruit-Gummy/43034,$3.99 ,50+ Sold,,,-2,Mainland China,
"Big Green Hawthorn Berry Jam Cups, 12ct 540 g",https://www.sayweee.com/en/product/Big-Green-Hawthorn-Berry-Jam-Cups--12ct/99594,$4.49 ,50+ Sold,,,-11,Mainland China,Big Green
Madhu Chocolate Saffron Milk 45% Cacao 2.6 oz,https://www.sayweee.com/en/product/Madhu-Chocolate-Saffron-Milk-45--Cacao/20026,$8.49 ,,$3.26/oz,,-3,United States,
"Kit Kat Mini, Original Less Sugar 15pcs 5.2 oz",https://www.sayweee.com/en/product/Kit-Kat-Mini--Original-Less-Sugar-15pcs/38213,$7.59 ,,$1.45/oz,5% Off,,Japan,KIT KAT
Morozoff Chocolate 8 Pieces 60 g,https://www.sayweee.com/en/product/Morozoff-Chocolate-8-Pieces/86621,$14.99 ,50+ Sold,$0.24/g,New,-1,Japan,
Jans Milk Chewy Candy Melon Flavor 4.2 oz,https://www.sayweee.com/en/product/Jans-Milk-Chewy-Candy-Melon-Flavor/42910,$1.69 ,,$0.40/oz,,-6,Indonesia,
Hawaiian Host Island Macs Milk Chocolate 5 oz,https://www.sayweee.com/en/product/Hawaiian-Host-Island-Macs-Milk-Chocolate/44634,$7.99 ,,$1.59/oz,,-2,United States,Hawaiian Host
U Kiss Vanilla Ice Cream Flavored Jelly Cups  480 g,https://www.sayweee.com/en/product/U-Kiss-Vanilla-Ice-Cream-Flavored-Jelly-Cups-/83214,$4.39 ,,,,,Mainland China,U kiss
U Kiss Vanilla Ice Cream Flavored Jelly Cups  480 g,https://www.sayweee.com/en/product/U-Kiss-Vanilla-Ice-Cream-Flavored-Jelly-Cups-/83214,$4.39 ,,,,,Mainland China,U kiss
Taimatsu Mango Pudding 500 g,https://www.sayweee.com/en/product/Taimatsu-Mango-Pudding/85359,$4.39 ,50+ Sold,,5% Off,-5,Japan,
Peanut Nougat Candy 328 g,https://www.sayweee.com/en/product/Peanut-Nougat-Candy/48522,$7.99 ,,,New,-1,Mainland China,
Gummy Candy Multi Flavor 200 g,https://www.sayweee.com/en/product/Gummy-Candy-Multi-Flavor/86903,$4.99 ,200+ Sold,,New,,Mainland China,WANT WANT
Gummy Candy Strawberry Flavor 5 Bags Per Pack 100 g,https://www.sayweee.com/en/product/Gummy-Candy-Strawberry-Flavor-5-Bags-Per-Pack/86905,$2.49 ,200+ Sold,,New,,Mainland China,
"Chomis Gomis Sandillitas Locas Candy, Watermelon Flavor 8 oz",https://www.sayweee.com/en/product/Chomis-Gomis-Sandillitas-Locas-Candy--Watermelon-Flavor/6751,$6.29 ,,$0.78/oz,,,United States,Chomis Gomis
"Chungjungone O'Food Drinking Vinegar with Konjac Jelly, Pomegranate Flavor 900 g",https://www.sayweee.com/en/product/Chungjungone-O-Food-Drinking-Vinegar-with-Konjac-Jelly--Pomegranate-Flavor/23200,$12.99 ,,,,-1,South Korea,Chung Jung One
Tangsan Black Crispy Sesame Candy 8 oz,https://www.sayweee.com/en/product/Tangsan-Black-Crispy-Sesame-Candy/44860,$4.99 ,,$0.62/oz,,,Taiwan,
White Crispy Sesame Candy 6 oz,https://www.sayweee.com/en/product/White-Crispy-Sesame-Candy/44865,$4.49 ,,$0.74/oz,,-1,Taiwan,
Rongshing Corn Candy 300 g,https://www.sayweee.com/en/product/Rongshing-Corn-Candy/84936,$3.89 ,,,,,Mainland China,
Shunlong Milk Candy 280 g,https://www.sayweee.com/en/product/Shunlong-Milk-Candy/84946,$4.89 ,,,,-1,Mainland China,
Hualisha Assorted Hard Candy 600 g,https://www.sayweee.com/en/product/Hualisha-Assorted-Hard-Candy/85166,$7.69 ,,,,,Mainland China,
Hualisha Dragon Crisp Candy 300 g,https://www.sayweee.com/en/product/Hualisha-Dragon-Crisp-Candy/85167,$4.99 ,,,,,Mainland China,
CHUNGUANG Hainan Specialty Coconut Sticky Jelly  200 g,https://www.sayweee.com/en/product/CHUNGUANG-Hainan-Specialty-Coconut-Sticky-Jelly-/99019,$4.49 ,,,,-5,Mainland China,
"Ren Ren He Tea Jelly, Honey Grapefruit Flavor 320 g",https://www.sayweee.com/en/product/Ren-Ren-He-Tea-Jelly--Honey-Grapefruit-Flavor/51214,$4.29 ,,,,,Mainland China,
Frankford Milk Chocolate Gold Coins 1.23 oz,https://www.sayweee.com/en/product/Frankford-Milk-Chocolate-Gold-Coins/53608,$1.49 ,100+ Sold,$1.21/oz,,-10,Israel,
"Yili Milk Flakes, Strawberry Flavor 160 g",https://www.sayweee.com/en/product/Yili-Milk-Flakes--Strawberry-Flavor/8846,$5.99 ,50+ Sold,$0.03/g,,-12,Mainland China,
Black Sesame Pill 108 g,https://www.sayweee.com/en/product/Black-Sesame-Pill/25328,$9.99 ,"50+ Sold,1 Left",$0.09/g,,-3,Mainland China,
Choki Choki Chococashew Snack 200 g,https://www.sayweee.com/en/product/-Choki-Choki-Chococashew-Snack/24214,$19.90 ,,$0.09/g,,,Indonesia,Choki Choki
Chomis Gomis Mangitos Locos Mango Candy  8 oz,https://www.sayweee.com/en/product/Chomis-Gomis-Mangitos-Locos-Mango-Candy-/6747,$6.29 ,,$0.78/oz,,,United States,Chomis Gomis
Gummy Candy Pineapple Flavor 5 Bags Per Pack 100 g,https://www.sayweee.com/en/product/Gummy-Candy-Pineapple-Flavor-5-Bags-Per-Pack/86904,$2.49 ,300+ Sold,,New,,Mainland China,
Mary's Chocolate Advent Calendar 200 g,https://www.sayweee.com/en/product/Mary-s-Chocolate-Advent-Calendar/80407,$29.49 ,,$0.14/g,,-6,Japan,
American Best Ginger Strip Candy 12.3 oz,https://www.sayweee.com/en/product/American-Best-Ginger-Strip-Candy/85617,$7.99 ,,$0.64/oz,,,Vietnam,
Milk Candy Stick Yogurt Flavor 128 g,https://www.sayweee.com/en/product/Milk-Candy-Stick-Yogurt-Flavor/84905,$4.89 ,100+ Sold,$0.03/g,New,,Mainland China,
Milk Candy Stick(Prebiotics Flavor) 128 g,https://www.sayweee.com/en/product/Milk-Candy-Stick-Prebiotics-Flavor-/84906,$4.89 ,50+ Sold,$0.03/g,New,,Mainland China,
Argao Guilang Tableya (Cacao Tablets) 330 g,https://www.sayweee.com/en/product/Argao-Guilang-Tableya--Cacao-Tablets-/86288,$9.99 ,,$0.03/g,New,,Philippines,
Queen Mani Choco Peanut Bar 336 g,https://www.sayweee.com/en/product/Queen-Mani-Choco-Peanut-Bar/86374,$2.99 ,,,,,Philippines,
Madhu Chocolate Dark Masala Chai 60% Cacao 2.6 oz,https://www.sayweee.com/en/product/Madhu-Chocolate-Dark-Masala-Chai-60--Cacao/20025,$8.49 ,,$3.26/oz,,-1,United States,
"LYFEN QQ Jelly, Original Flavor  150 g",https://www.sayweee.com/en/product/LYFEN-QQ-Jelly--Original-Flavor-/44861,$1.49 ,,,,-2,Mainland China,LYFEN
MN Yogurt Cubes Almond 42 g,https://www.sayweee.com/en/product/MN-Yogurt-Cubes-Almond/30749,$7.59 ,,$0.18/g,15% Off,-1,Mainland China,
Ritz Color Chocolate Sprinkles 300 g,https://www.sayweee.com/en/product/Ritz-Color-Chocolate-Sprinkles/3904,$7.59 ,,,5% Off,-2,Indonesia,Ritz
Hawthorn Syrup Lollipop 12ct 1 can,https://www.sayweee.com/en/product/Hawthorn-Syrup-Lollipop-12ct/67672,$6.69 ,,$6.69/can,25% Off,-2,Mainland China,
"Tarami Big Jelly Cup, Mixed Fruit 8.11 oz",https://www.sayweee.com/en/product/Tarami-Big-Jelly-Cup--Mixed-Fruit/66107,$2.99 ,50+ Sold,$0.36/oz,,-1,Japan,Tarami
Karila Chocolate Flower Ball Random Color  40 g,https://www.sayweee.com/en/product/Karila-Chocolate-Flower-Ball-Random-Color-/86511,$8.99 ,200+ Sold,$0.22/g,,-3,Estonia,
Royce 2020 Memories of Hokkaido Spring Season Chocolates 40ct 1 each,https://www.sayweee.com/en/product/Royce-2020-Memories-of-Hokkaido-Spring-Season-Chocolates-40ct/8838,$39.99 ,,$39.99/each,New,-8,Japan,
Sugar and Spice Taiwanese Classic Nougats 400 g,https://www.sayweee.com/en/product/Sugar-and-Spice-Taiwanese-Classic-Nougats/33609,$33.49 ,,$0.08/g,,-24,Taiwan,
"Shirakiku Jelly Cup, Peach Flavor 2ct 200 g",https://www.sayweee.com/en/product/Shirakiku-Jelly-Cup--Peach-Flavor-2ct/75348,$3.49 ,50+ Sold,,,-13,,
"Top Savor Ice Cream Flavored Jelly, Strawberry 198 g",https://www.sayweee.com/en/product/Top-Savor-Ice-Cream-Flavored-Jelly--Strawberry/79336,$2.59 ,,,,,Mainland China,
Orihiro Konjac Jelly Peach Flavor 6 pcs 120 g,https://www.sayweee.com/en/product/Orihiro-Konjac-Jelly-Peach-Flavor-6-pcs/2225,$2.99 ,50+ Sold,,,-54,Japan,ORIHIRO
"Petit Pot Organic French Pudding, Vanilla Bean Flavor  3.5 oz",https://www.sayweee.com/en/product/Petit-Pot-Organic-French-Pudding--Vanilla-Bean-Flavor-/1372,$2.99 ,,$0.85/oz,,,United States,
"Petit Pot Organic French Pudding, Dark Chocolate Flavor  3.5 oz",https://www.sayweee.com/en/product/Petit-Pot-Organic-French-Pudding--Dark-Chocolate-Flavor-/1375,$2.99 ,,$0.85/oz,,,United States,
AIZA'S PASTILLAS UBE  133 g,https://www.sayweee.com/en/product/AIZA-S-PASTILLAS-UBE-/14822,$3.99 ,,$0.03/g,,-1,Philippines,
"Konjac Strawberry Jelly, Frozen 11 oz",https://www.sayweee.com/en/product/Konjac-Strawberry-Jelly-Frozen/66020,$2.99 ,,$0.27/oz,,-1,Taiwan,
Dragonfly Jelly Cup Jar Tiger Shape 24.8 oz,https://www.sayweee.com/en/product/Dragonfly-Jelly-Cup-Jar-Tiger-Shape/48655,$10.49 ,,$0.42/oz,,,Mainland China,Dragonfly
Dragonfly Boba Tea Candy 7 oz,https://www.sayweee.com/en/product/Dragonfly-Boba-Tea-Candy/84885,$3.89 ,100+ Sold,$0.55/oz,,-3,Thailand,Dragonfly
JHL Sweet and Sour Tamarind Candy with Chili 7 oz,https://www.sayweee.com/en/product/JHL-Sweet-and-Sour-Tamarind-Candy-with-Chili/87311,$2.59 ,,$0.37/oz,,,Vietnam,
Takaoka Fresh Raw Chocolate Caramel Flavor 165 g,https://www.sayweee.com/en/product/Takaoka-Fresh-Raw-Chocolate-Caramel-Flavor/85727,$9.99 ,,$0.06/g,New,,Japan,
Hawaiian Host Aloha Macs Milk Chocolate 7 oz,https://www.sayweee.com/en/product/Hawaiian-Host-Aloha-Macs-Milk-Chocolate/44635,$11.29 ,,$1.61/oz,,-2,United States,Hawaiian Host
Maiko Matcha Chocolate Ball 4.23 oz,https://www.sayweee.com/en/product/Maiko-Matcha-Chocolate-Ball/83875,$17.99 ,,$4.25/oz,,,Japan,
Want Want Milk Chewy 318 g,https://www.sayweee.com/en/product/Want-Want-Milk-Chewy/86902,$4.99 ,100+ Sold,,New,,Mainland China,WANT WANT
Palebola Tama-Roca Tamarind with Chili 1 each,https://www.sayweee.com/en/product/Palebola-Tama-Roca-Tamarind-with-Chili/82427,$6.49 ,,$6.49/each,,,Mexico,
Gao Liang Yi Candy Mixed Flavor 500 g,https://www.sayweee.com/en/product/Gao-Liang-Yi-Candy-Mixed-Flavor/83313,$5.19 ,100+ Sold,,,-6,Mainland China,Sheng Fu Ji
Laojinmofang Pear Paste Lollipop 56 g,https://www.sayweee.com/en/product/Laojinmofang-Pear-Paste-Lollipop/83752,$6.09 ,,$0.10/g,,,Mainland China,
Guancha Volcano Chocolates  100 g,https://www.sayweee.com/en/product/Guancha-Volcano-Chocolates-/53657,$36.99 ,,$0.36/g,,-4,Mainland China,
Gummy Candy Orange Flavor 5 Bags Per Pack 100 g,https://www.sayweee.com/en/product/Gummy-Candy-Orange-Flavor-5-Bags-Per-Pack/86906,$2.49 ,200+ Sold,,New,,Mainland China,
Strawberry Mallow Dates 110 g,https://www.sayweee.com/en/product/Strawberry-Mallow-Dates/66002,$10.99 ,,$0.09/g,,-18,United States,
Mary's Bear Collection Chocolate 10Pcs 50 g,https://www.sayweee.com/en/product/Mary-s-Bear-Collection-Chocolate-10Pcs/86303,$17.69 ,300+ Sold,$0.35/g,,-1,Japan,
LAOJIN MOFANG Black Sesame Ball 14pcs 126 g,https://www.sayweee.com/en/product/LAOJIN-MOFANG-Black-Sesame-Ball-14pcs/67144,$7.99 ,400+ Sold,$0.06/g,,-41,Mainland China,
Tarami Konnyaku Jelly Drink Peach  150 g,https://www.sayweee.com/en/product/Tarami-Konnyaku-Jelly-Drink-Peach-/160,$2.49 ,500+ Sold,,,-30,Japan,Tarami
UHA CORORO Gummi Candy - Peach 1 count,https://www.sayweee.com/en/product/UHA-CORORO-Gummi-Candy--Peach/71761,$2.89 ,200+ Sold,$2.89/count,,-8,Japan,
Meiji Gummy Choco Strawberry 81 g,https://www.sayweee.com/en/product/Meiji-Gummy-Choco-Strawberry/18980,$3.99 ,300+ Sold,$0.04/g,,-14,Mainland China,
KitKat Mini Koi Maccha 12pc 4.78 oz,https://www.sayweee.com/en/product/KitKat-Mini-Koi-Maccha-12pc/473,$8.49 ,200+ Sold,$1.77/oz,5% Off,-1,Japan,
Tarami Mango Jelly Pouch 150 g,https://www.sayweee.com/en/product/Tarami-Mango-Jelly-Pouch/83518,$2.49 ,400+ Sold,,,-20,Japan,
"UHA Kororo Gummy Candy, Cola Flavor 40 g",https://www.sayweee.com/en/product/UHA-Kororo-Gummy-Candy--Cola-Flavor/17663,$2.99 ,500+ Sold,$0.07/g,,-6,Japan,
"JiJiDou Milk Lollipop, Original Flavor 60 g",https://www.sayweee.com/en/product/JiJiDou-Milk-Lollipop--Original-Flavor/2013,$2.99 ,1K+ Sold,$0.04/g,,-83,Mainland China,JIJIDOU
"Kit Kat Mini, Whole Wheat Biscuits 4.4 oz",https://www.sayweee.com/en/product/Kit-Kat-Mini--Whole-Wheat-Biscuits/38221,$7.99 ,100+ Sold,$1.81/oz,,-13,Japan,KIT KAT
Melting Sweet Lychee Candy 4.4 oz,https://www.sayweee.com/en/product/Melting-Sweet-Lychee-Candy/20808,$2.29 ,50+ Sold,$0.52/oz,,-5,Indonesia,
Tonys Freeze Dried Whole Strawberry in Matcha Flavor  60 g,https://www.sayweee.com/en/product/Tonys-Freeze-Dried-Whole-Strawberry-in-Matcha-Flavor-/24626,$2.99 ,50+ Sold,$0.04/g,,-8,Mainland China,
Tarami Big White Jelly Cup 5.2 oz,https://www.sayweee.com/en/product/Tarami-Big-White-Jelly-Cup/66116,$2.99 ,400+ Sold,$0.57/oz,,-21,Japan,Tarami
Kimbo Fresh Grass Jelly 1000 g,https://www.sayweee.com/en/product/Kimbo-Fresh-Grass-Jelly/17960,$4.29 ,50+ Sold,,,-39,Taiwan,
"ORIHIRO Jelly Peach, Mango, and Red Grape Flavor 6pcs 480 g",https://www.sayweee.com/en/product/ORIHIRO-Jelly-Peach--Mango--and-Red-Grape-Flavor-6pcs/13082,$8.99 ,200+ Sold,,,-17,Japan,ORIHIRO
JiJiDou Milk Lollipop with Probiotics 60 g,https://www.sayweee.com/en/product/JiJiDou-Milk-Lollipop-with-Probiotics/1813,$2.99 ,700+ Sold,$0.04/g,,-78,Mainland China,JIJIDOU
"Orihiro Jelly, Pear Flavor 6pcs 120 g",https://www.sayweee.com/en/product/Orihiro-Jelly--Pear-Flavor-6pcs/79396,$3.09 ,300+ Sold,,,-4,Japan,ORIHIRO
"Tarami Konnyaku Jelly Drink, Apple Flavor  150 g",https://www.sayweee.com/en/product/Tarami-Konnyaku-Jelly-Drink--Apple-Flavor-/162,$1.49 ,400+ Sold,,40% Off,-17,Japan,Tarami
Milkita Milky Creamy Fruit Lollipop Mix 4.06 oz,https://www.sayweee.com/en/product/Milkita-Milky-Creamy-Fruit-Lollipop-Mix/73305,$2.59 ,50+ Sold,$0.63/oz,,-13,Indonesia,
"Milkita Milky Creamy Candy, Neopolitan Mix 4.23 oz",https://www.sayweee.com/en/product/Milkita-Milky-Creamy-Candy--Neopolitan-Mix/73310,$2.49 ,,$0.58/oz,,-5,Indonesia,
Dragonfly Mixed Fruit Flavored Pudding 6pk 27.5 oz,https://www.sayweee.com/en/product/Dragonfly-Mixed-Fruit-Flavored-Pudding-6pk/32517,$3.49 ,,$0.12/oz,,-1,Malaysia,Dragon Fly
Classic Series Guava Hard Candy 350 g,https://www.sayweee.com/en/product/Classic-Series-Guava-Hard-Candy/3412,$2.29 ,,,,-7,Mainland China,Classic Series
"Clever Mama Milk Pudding, Strawberry Flavor 15 oz",https://www.sayweee.com/en/product/Clever-Mama-Milk-Pudding--Strawberry-Flavor/33875,$5.59 ,,$0.37/oz,,-1,Taiwan,
"Aerbeise Candy, Strawberry Flavor 150 g",https://www.sayweee.com/en/product/Aerbeise-Candy--Strawberry-Flavor/5807,$4.25 ,,,,-12,Mainland China,
EGO Guava Fruit Candy  5.29 oz,https://www.sayweee.com/en/product/EGO-Guava-Fruit-Candy-/24173,$1.99 ,50+ Sold,$0.37/oz,,-7,Hong Kong,
"Yili Milk Flakes, Orange Flavor 160 g",https://www.sayweee.com/en/product/Yili-Milk-Flakes--Orange-Flavor/22686,$6.19 ,,$0.03/g,,-8,Mainland China,
White Rabbit Cream Candy 150 g,https://www.sayweee.com/en/product/White-Rabbit-Cream-Candy/70400,$4.49 ,,,,-3,Mainland China,
"Karila Chocolate Flower with Stem, Random Color 88 g",https://www.sayweee.com/en/product/Karila-Chocolate-Flower-with-Stem--Random-Color/86513,$8.99 ,50+ Sold,$0.10/g,,-2,Finland,
Dragonfly Mini Jelly Cup Jar 56 oz,https://www.sayweee.com/en/product/Dragonfly-Mini-Jelly-Cup-Jar/48652,$7.59 ,,$0.13/oz,,,Malaysia,
Orihiro Konnyaku Konjac Grape Jelly 6 pcs 120 g,https://www.sayweee.com/en/product/Orihiro-Konnyaku-Konjac-Grape-Jelly-6-pcs/142,$2.99 ,100+ Sold,,,-38,Japan,ORIHIRO
Trolli Sour Brite Eggs 4 oz,https://www.sayweee.com/en/product/Trolli-Sour-Brite-Eggs/86304,$2.59 ,50+ Sold,$0.64/oz,,,United States,
Kakao Friends Impact Mango Mints 0.53 oz,https://www.sayweee.com/en/product/Kakao-Friends-Impact-Mango-Mints/79139,$4.35 ,50+ Sold,$8.20/oz,,,Germany,
Taiwan Dessert Black Tea Nougat 100 g,https://www.sayweee.com/en/product/Taiwan-Dessert-Black-Tea-Nougat/16317,$3.49 ,50+ Sold,$0.03/g,,-33,Taiwan,
Ricoa Flat Tops 150 g,https://www.sayweee.com/en/product/Ricoa-Flat-Tops/3520,$2.99 ,,,,-3,Philippines,Ricoa
Fujiya Anpanman Lollipop  25 count,https://www.sayweee.com/en/product/Fujiya-Anpanman-Lollipop-/50681,$24.99 ,100+ Sold,$0.99/count,,-2,Japan,
