Title,Title_link,Price,count___1LWwo,unit_info___32SjE,label___2DYkt,Reviews,Orgin,Brand
Meiji Meltyblend Green Tea Chocolate 2.11 oz,https://www.sayweee.com/en/product/Meiji-Meltyblend-Green-Tea-Chocolate/10095,$3.99 ,1K+ Sold,$1.89/oz,,-39,Mainland China,MEIJI
Dr. Liv Konjac Jelly Blueberry Flavor  150 g,https://www.sayweee.com/en/product/Dr--Liv-Konjac-Jelly-Blueberry-Flavor-/67029,$1.99 ,100+ Sold,,,-10,South Korea,
"Kabaya Pureral Gummy Candy, Apple Flavor 58 g",https://www.sayweee.com/en/product/Kabaya-Pureral-Gummy-Candy--Apple-Flavor/34333,$2.99 ,200+ Sold,$0.05/g,,-1,Japan,
Fujiya Peko Chan Peach Gummy  1.76 oz,https://www.sayweee.com/en/product/Fujiya-Peko-Chan-Peach-Gummy-/25234,$2.59 ,300+ Sold,$1.47/oz,,-20,Japan,
"UHA Kororo Gummy Candy, Soda Flavor 40 g",https://www.sayweee.com/en/product/UHA-Kororo-Gummy-Candy--Soda-Flavor/17664,$2.99 ,400+ Sold,$0.07/g,,-16,Japan,
Prince of Peace Original Ginger Chews 113 g,https://www.sayweee.com/en/product/Prince-of-Peace-Original-Ginger-Chews/73815,$1.89 ,400+ Sold,,,-43,Indonesia,Prince of Peace
Fujiya Peko Chan Grape Gummy  1.76 oz,https://www.sayweee.com/en/product/Fujiya-Peko-Chan-Grape-Gummy-/25233,$2.39 ,200+ Sold,$1.35/oz,5% Off,-16,Japan,
Jinguan Brown Sugar Candy with Plum  180 g,https://www.sayweee.com/en/product/Jinguan-Brown-Sugar-Candy-with-Plum-/10753,$2.99 ,700+ Sold,,,-59,Mainland China,
Fujiya Peko Poko Chocolatey Lollipop 0.84 oz,https://www.sayweee.com/en/product/Fujiya-Peko-Poko-Chocolatey-Lollipop/25239,$2.79 ,1K+ Sold,$3.32/oz,5% Off,-9,Japan,
Bourbon Chocolate Ichigo Mousse 1.55 oz,https://www.sayweee.com/en/product/Bourbon-Chocolate-Ichigo-Mousse/23899,$1.89 ,300+ Sold,$1.21/oz,,-26,Japan,BOURBON
SnackTalk Cow Milk Tablet  20 g,https://www.sayweee.com/en/product/SnackTalk-Cow-Milk-Tablet-/67135,$1.69 ,700+ Sold,$0.08/g,,-36,Australia,
Popin' Cookin' Tanoshii Bento Set 1 oz,https://www.sayweee.com/en/product/Popin-Cookin-Tanoshii-Bento-Set/95704,$3.99 ,100+ Sold,$3.99/oz,,-27,Japan,Kracie
Meiji Pucca Chocolate Biscuits 1.51 oz,https://www.sayweee.com/en/product/Meiji-Pucca-Chocolate-Biscuits/24616,$2.79 ,100+ Sold,$1.84/oz,,-6,Japan,MEIJI
Tarami Grape Jelly Pouch 150 g,https://www.sayweee.com/en/product/Tarami-Grape-Jelly-Pouch/83517,$2.49 ,"800+ Sold,17 Left",,,-18,Japan,
Black Ball Matcha Jelly 3ct 13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Matcha-Jelly-3ct/14239,$4.99 ,200+ Sold,$0.36/oz,,-43,United States,
"ORIHIRO Konjac Jelly, Peach snd Pink Grapefruit Flavors 12pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly--Peach-snd-Pink-Grapefruit-Flavors-12pcs/31612,$4.99 ,700+ Sold,,New,-10,Japan,ORIHIRO
"Hi-Chew Candy, Original Flavors 12.7 oz",https://www.sayweee.com/en/product/HiChew-Candy-Original-Flavors/51895,$6.99 ,200+ Sold,$0.55/oz,,-10,United States,Morinaga
Kit Kat Minis Unwrapped 7.6 oz,https://www.sayweee.com/en/product/Kit-Kat-Minis-Unwrapped/86862,$5.19 ,100+ Sold,$0.68/oz,,-13,United States,KIT KAT
Taiwan Dessert Milk Nougat  100 g,https://www.sayweee.com/en/product/Taiwan-Dessert-Milk-Nougat-/16322,$3.69 ,100+ Sold,$0.03/g,,-29,Taiwan,
Konjac Jelly Mango 11 oz,https://www.sayweee.com/en/product/Konjac-Jelly-Mango/35179,$3.99 ,300+ Sold,$0.36/oz,,-49,Taiwan,
Kracie Popin' Cookin' Tanoshii Hamburger Set 1.1 oz,https://www.sayweee.com/en/product/Kracie-Popin-Cookin-Tanoshii-Hamburger-Set/13580,$3.99 ,50+ Sold,$3.62/oz,,-37,Japan,Kracie
Meiji Fruit Gummy Assortment 12pk 156 g,https://www.sayweee.com/en/product/Meiji-Fruit-Gummy-Assortment-12pk/85408,$6.19 ,200+ Sold,$0.03/g,,-9,Japan,MEIJI
UHA Kororo Gummy Candy - Grape 1 each,https://www.sayweee.com/en/product/UHA-Kororo-Gummy-Candy---Grape/68762,$2.99 ,"400+ Sold,1 Left",$2.99/each,,-24,Japan,
Sesame Cakes 300 g,https://www.sayweee.com/en/product/Sesame-Cakes/78347,$8.49 ,1K+ Sold,,,-145,Taiwan,Helaodie
ORIHIRO Jelly Peach and Kyoho Grape Flavor 12pc 240 g,https://www.sayweee.com/en/product/ORIHIRO-Jelly-Peach-and-Kyoho-Grape-Flavor-12pc/13083,$4.99 ,100+ Sold,,,-21,Japan,ORIHIRO
"Orihiro Jelly, Apple Flavor 6pcs 120 g",https://www.sayweee.com/en/product/Orihiro-Jelly--Apple-Flavor-6pcs/79405,$3.09 ,500+ Sold,,,-4,Japan,
"QuanFuDe Sugar-Coated Hawthorns, Frozen 200 g",https://www.sayweee.com/en/product/QuanFuDe-SugarCoated-Hawthorns-Frozen/39843,$6.99 ,"500+ Sold,43 Left",$0.03/g,,-56,Mainland China,
UHA Kororo Gummy Candy - Muscat,https://www.sayweee.com/en/product/UHA-Kororo-Gummy-Candy---Muscat/68761,$2.89 ,500+ Sold,,,-13,,
Meiji Strawberry Gummies 1.79 oz,https://www.sayweee.com/en/product/Meiji-Strawberry-Gummies/91892,$1.99 ,400+ Sold,$1.11/oz,,-25,Japan,MEIJI
Lao Jie Kou Candied Hawthorn Skewers 5ct 70 g,https://www.sayweee.com/en/product/Lao-Jie-Kou-Candied-Hawthorn-Skewers-5ct/8065,$12.79 ,50+ Sold,$0.18/g,20% Off,-249,Mainland China,
"Hi-Chew Candy, Sweet and Sour Flavors 12.7 oz",https://www.sayweee.com/en/product/HiChew-Candy-Sweet-and-Sour-Flavors/51900,$6.99 ,,$0.55/oz,,-11,United States,Morinaga
Meiji Kajyu Gummy Grape 51 g,https://www.sayweee.com/en/product/Meiji-Kajyu-Gummy-Grape/20017,$1.99 ,100+ Sold,$0.03/g,,-12,Japan,MEIJI
"Kit Kat Minis, Matcha 4.78 oz",https://www.sayweee.com/en/product/Kit-Kat-Minis--Matcha/92000,$9.99 ,200+ Sold,$2.08/oz,,-5,Japan,KIT KAT
Haribo Goldbears 142g 142 g,https://www.sayweee.com/en/product/Haribo-Goldbears-142g/58573,$1.79 ,100+ Sold,,,-38,Germany,
Morinaga Ramune Soda Fizzy Candy  1.02 oz,https://www.sayweee.com/en/product/Morinaga-Ramune-Soda-Fizzy-Candy-/24617,$1.99 ,500+ Sold,$1.95/oz,5% Off,-6,Japan,
Dr. Liv Konjac Jelly Peach Flavor  150 g,https://www.sayweee.com/en/product/Dr--Liv-Konjac-Jelly-Peach-Flavor-/84785,$2.19 ,"300+ Sold,53 Left",,New,,South Korea,
Mochi - Strawberry Flavor 120 g,https://www.sayweee.com/en/product/Mochi---Strawberry-Flavor/85098,$3.33 ,300+ Sold,,New,,Mainland China,
"Meiji Chocolate Melty Blend, Strawberry Flavor 2.11 oz",https://www.sayweee.com/en/product/Meiji-Chocolate-Melty-Blend--Strawberry-Flavor/35530,$4.99 ,700+ Sold,$2.36/oz,,-2,Mainland China,MEIJI
Kasugai Frutia Lychee Gummy Candy 3.59 oz,https://www.sayweee.com/en/product/Kasugai-Frutia-Lychee-Gummy-Candy/76926,$2.49 ,200+ Sold,$0.69/oz,16% Off,,Japan,
Orihiro 0kcal Jelly Green Grape Flavor 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Green-Grape-Flavor/84253,$2.99 ,400+ Sold,,,-1,Japan,
Meiji Gummy Choco Green Grape Flavor 2.85 oz,https://www.sayweee.com/en/product/Meiji-Gummy-Choco-Green-Grape-Flavor/85159,$3.99 ,400+ Sold,$1.40/oz,,,Mainland China,MEIJI
Kit Kat Mini White Chocolate 4.1 oz,https://www.sayweee.com/en/product/Kit-Kat-Mini-White-Chocolate/85500,$8.99 ,50+ Sold,$2.19/oz,New,,Japan,KIT KAT
Mochi - Matcha Flavor 120 g,https://www.sayweee.com/en/product/Mochi---Matcha-Flavor/85097,$3.33 ,200+ Sold,,New,,Mainland China,
"Cocomels Organic Coconut Milk Caramels, Original 3.5 oz",https://www.sayweee.com/en/product/Cocomels-Organic-Coconut-Milk-Caramels--Original/46147,$2.99 ,50+ Sold,$0.85/oz,,-1,United States,
Justin's Organic Dark Chocolate Peanut Butter Cups 4.7 oz,https://www.sayweee.com/en/product/Justins-Organic-Dark-Chocolate-Peanut-Butter-Cups/80483,$6.79 ,,$1.44/oz,,-3,United States,JUSTIN`S
Smartsweets Sweet Fish 1.8 oz,https://www.sayweee.com/en/product/Smartsweets-Sweet-Fish/48995,$2.99 ,,$1.66/oz,,,United States,
Ghirardelli Milk Chocolate Chips 11.5 oz,https://www.sayweee.com/en/product/Ghirardelli-Milk-Chocolate-Chips/43019,$4.49 ,,$0.39/oz,,-1,United States,
Smart Sweets Sour Blast Buddies 1.8 oz,https://www.sayweee.com/en/product/Smart-Sweets-Sour-Blast-Buddies/79724,$2.99 ,,$1.66/oz,,,United States,Smart Sweets
Mi Dulce Mexico Jelly Cups 8 count,https://www.sayweee.com/en/product/Mi-Dulce-Mexico-Jelly-Cups/2425,$1.59 ,200+ Sold,$0.19/count,,-4,Mainland China,Mi Dulce Mexico
Unisman King ChocNut Peanut Milk Chocolate 200 g,https://www.sayweee.com/en/product/Unisman-King-ChocNut-Peanut-Milk-Chocolate/39192,$2.99 ,100+ Sold,,,-2,Philippines,
"Lotte Gummy Candy, Strawberry Flavor 66 g",https://www.sayweee.com/en/product/Lotte-Gummy-Candy--Strawberry-Flavor/85322,$1.49 ,100+ Sold,,,,South Korea,Lotte
Striking Popping Candy Lychee Flavor 1.06 oz,https://www.sayweee.com/en/product/Striking-Popping-Candy-Lychee-Flavor/82501,$1.99 ,200+ Sold,$1.87/oz,,-3,Mainland China,
KitKat Otona No Amasa  5.18 oz,https://www.sayweee.com/en/product/KitKat-Otona-No-Amasa-/476,$8.99 ,200+ Sold,$1.73/oz,,-4,Japan,KIT KAT
Philippine Brand Mango Tamarind Ball 3.5 oz,https://www.sayweee.com/en/product/Philippine-Brand-Mango-Tamarind-Ball/47112,$2.49 ,50+ Sold,$0.71/oz,,-2,Philippines,
"Asahi Tablet Candy, Mango & Peach 0.52 oz",https://www.sayweee.com/en/product/Asahi-Tablet-Candy--Mango---Peach/10335,$2.69 ,100+ Sold,$5.17/oz,,-4,Japan,
FormosaYAY Adzuki Bean Mochi 6pcs 180 g,https://www.sayweee.com/en/product/FormosaYAY-Adzuki-Bean-Mochi-6pcs/84644,$1.89 ,200+ Sold,,,-4,Taiwan,
Fujjya Chocolate Pencil Candy  0.95 oz,https://www.sayweee.com/en/product/Fujjya-Chocolate-Pencil-Candy-/25240,$2.79 ,300+ Sold,$2.93/oz,,-11,Japan,
Striking Popping Candy Watermelon Flavor 1.06 oz,https://www.sayweee.com/en/product/Striking-Popping-Candy-Watermelon-Flavor/82499,$1.99 ,100+ Sold,$1.87/oz,,-3,Mainland China,
"Orihiro Konjac Jelly, Grape  130 g",https://www.sayweee.com/en/product/Orihiro-Konjac-Jelly--Grape-/6134,$2.49 ,200+ Sold,,,-5,Japan,
"ORIHIRO Konjac Jelly, Lemon and Hokkaido Melon Flavor 12pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly--Lemon-and-Hokkaido-Melon-Flavor-12pcs/31611,$4.99 ,100+ Sold,,New,-3,Japan,ORIHIRO
Striking Popping Candy Peach Flavor 1.06 oz,https://www.sayweee.com/en/product/Striking-Popping-Candy-Peach-Flavor/82500,$1.99 ,100+ Sold,$1.87/oz,,-1,Mainland China,
De La Rosa Pulparindo Spicy and Salted Tamarind Candy 20 count,https://www.sayweee.com/en/product/De-La-Rosa-Pulparindo-Spicy-and-Salted-Tamarind-Candy/71663,$2.29 ,100+ Sold,$0.11/count,,-2,Mexico,De La Rosa
Jans Milk Chewy Candy Matcha Flavor 4.2 oz,https://www.sayweee.com/en/product/Jans-Milk-Chewy-Candy-Matcha-Flavor/42908,$1.69 ,50+ Sold,$0.40/oz,,-10,Indonesia,
Vero Mango Chili Coated Mango Lollipops 22.6 oz,https://www.sayweee.com/en/product/Vero-Mango-Chili-Coated-Mango-Lollipops/81840,$5.99 ,50+ Sold,$0.26/oz,,-1,United States,Barcel
Kopiko Coffee Candy  120 g,https://www.sayweee.com/en/product/Kopiko-Coffee-Candy-/36789,$1.49 ,300+ Sold,,,,Indonesia,Kopiko
Kinder Joy Egg with Toy  7 oz,https://www.sayweee.com/en/product/Kinder-Joy-Egg-with-Toy-/97534,$1.89 ,50+ Sold,$0.27/oz,,-26,United States,Kinder Joy
"Lotte Xylitol Gum, Apple Mint 96 g",https://www.sayweee.com/en/product/Lotte-Xylitol-Gum--Apple-Mint/39268,$4.99 ,50+ Sold,$0.05/g,,-1,South Korea,Lotte
Diana Vanilla Nougat Candy 6.73 oz,https://www.sayweee.com/en/product/Diana-Vanilla-Nougat-Candy/84358,$2.99 ,,$0.44/oz,,,Mexico,
Lucas Panzon Watermelon Hard Candy 14.1 oz,https://www.sayweee.com/en/product/Lucas-Panzon-Watermelon-Hard-Candy/86261,$4.69 ,,$0.33/oz,New,,Mexico,
Striking Popping Candy Melon Flavor 1.06 oz,https://www.sayweee.com/en/product/Striking-Popping-Candy-Melon-Flavor/82498,$1.99 ,50+ Sold,$1.87/oz,,-1,Mainland China,
De La Rosa Marzipan-Style Peanut Candy Mazapan 12 count,https://www.sayweee.com/en/product/De-La-Rosa-Marzipan-Style-Peanut-Candy-Mazapan/71661,$2.49 ,100+ Sold,$0.20/count,,-5,Mexico,De La Rosa
"Look Chocolate Aoi Hoseki, Muscat Flavor 1.41 oz",https://www.sayweee.com/en/product/Look-Chocolate-Aoi-Hoseki--Muscat-Flavor/35115,$3.99 ,200+ Sold,$2.82/oz,,-5,Japan,
Kracie Popin Cookin Tanoshii Cakes 0.9 oz,https://www.sayweee.com/en/product/Kracie-Popin-Cookin-Tanoshii-Cakes/13584,$3.59 ,50+ Sold,$3.98/oz,10% Off,-36,Japan,
"Asahi Tablet Candy, Mint 0.77 oz",https://www.sayweee.com/en/product/Asahi-Tablet-Candy--Mint/10333,$3.15 ,50+ Sold,$4.09/oz,,-2,Japan,
Banderilla Tama-Roca Original 30 oz,https://www.sayweee.com/en/product/Banderilla-Tama-Roca-Original/82444,$10.99 ,,$0.36/oz,,,Mexico,
Mei Wei Almond Flavor Coconut Milk Pudding 5.3 oz,https://www.sayweee.com/en/product/Mei-Wei-Almond-Flavor-Coconut-Milk-Pudding/83297,$1.79 ,,$0.33/oz,,,United States,
Lucas Gusano Tamarind Liquid Candy 10 count,https://www.sayweee.com/en/product/Lucas-Gusano-Tamarind-Liquid-Candy/85779,$3.79 ,,$0.37/count,New,,Mexico,
Tarami Konnyaku Peach Jelly Cup 5.64 oz,https://www.sayweee.com/en/product/Tarami-Konnyaku-Peach-Jelly-Cup/66056,$2.49 ,50+ Sold,$0.44/oz,,,Japan,Tarami
Dragonfly Mangosteen Flavored Pudding 6pk 27.5 oz,https://www.sayweee.com/en/product/Dragonfly-Mangosteen-Flavored-Pudding-6pk/32516,$3.49 ,50+ Sold,$0.12/oz,,-3,Malaysia,Dragon Fly
"Angelina Nata De Coco Red, Sweet Coconut Gel 12 oz",https://www.sayweee.com/en/product/Angelina-Nata-De-Coco-Red--Sweet-Coconut-Gel/34348,$2.79 ,2 Left,$0.23/oz,,,Philippines,
Brown Sugar Pearl Milk Tea Candy 108 g,https://www.sayweee.com/en/product/Brown-Sugar-Pearl-Milk-Tea-Candy/84947,$4.19 ,50+ Sold,$0.03/g,,,Mainland China,
Indy Hormigas Watermelon Flavor Candy 1 box,https://www.sayweee.com/en/product/Indy-Hormigas-Watermelon-Flavor-Candy/82481,$1.99 ,50+ Sold,$1.99/box,,-1,Mexico,
Gummy Candy Lychee Flavor 5 Bags Per Pack 100 g,https://www.sayweee.com/en/product/Gummy-Candy-Lychee-Flavor-5-Bags-Per-Pack/86908,$2.49 ,300+ Sold,,New,,Mainland China,
Salt & Lemon Candy  5.2 oz,https://www.sayweee.com/en/product/Salt---Lemon-Candy-/42405,$1.99 ,200+ Sold,$0.38/oz,,-1,Malaysia,
Cherry Grandfather Handmade Nougat with Cranberry  100 g,https://www.sayweee.com/en/product/Cherry-Grandfather-Handmade-Nougat-with-Cranberry-/6936,$7.99 ,,$0.07/g,,-4,Taiwan,
"Beny Locochas Sabor Mango Hard Candy with Chili,60ct 1 each",https://www.sayweee.com/en/product/Beny-Locochas-Sabor-Mango-Hard-Candy-with-Chili-60ct/82477,$3.89 ,,$3.89/each,,,Mexico,
Beny Locochas Sabor Chamoy Hard Candy 1 each,https://www.sayweee.com/en/product/Beny-Locochas-Sabor-Chamoy-Hard-Candy/82478,$3.89 ,,$3.89/each,,,Mexico,
Fujiya Peko Crunch Milk Candy  1.8 oz,https://www.sayweee.com/en/product/Fujiya-Peko-Crunch-Milk-Candy-/25237,$2.99 ,100+ Sold,$1.66/oz,,-4,Japan,
Lucas Salsagheti Mango 10.2 oz,https://www.sayweee.com/en/product/Lucas-Salsagheti-Mango/81936,$5.19 ,,$0.50/oz,,-3,United States,LUCAS
"Aerbeise Candy, Caramel Flavor 150 g",https://www.sayweee.com/en/product/Aerbeise-Candy--Caramel-Flavor/40147,$4.79 ,50+ Sold,$0.03/g,,-1,Mainland China,
Gummy Candy Cola Flavor 5 Bags Per Pack 100 g,https://www.sayweee.com/en/product/Gummy-Candy-Cola-Flavor-5-Bags-Per-Pack/86909,$2.49 ,200+ Sold,,New,-1,Mainland China,
Morinaga Hi-Chew Original Mix 3.53 oz,https://www.sayweee.com/en/product/Morinaga-Hi-Chew-Original-Mix/83121,$2.19 ,50+ Sold,$0.62/oz,,-9,,
Orihiro Jelly Apple and Orange Flavors 12pcs 240 g,https://www.sayweee.com/en/product/Orihiro-Jelly-Apple-and-Orange-Flavors-12pcs/84250,$4.90 ,200+ Sold,,,,Japan,
