Title,Title_link,Price,count___1LWwo,label___2DYkt,basePrice___25MCL,Headline,Field1,Field2,Field3
LJK Five Spice Flavor Sunflower Seeds in Shell 500 g,https://www.sayweee.com/en/product/LJK-Five-Spice-Flavor-Sunflower-Seeds-in-Shell/30894,$5.99,100+ Sold,,,LJK Five Spice Flavor Sunflower Seeds in Shell,(1),Mainland China,
Shanliren Scaphium Scaphigerum 145 g,https://www.sayweee.com/en/product/Shanliren-Scaphium-Scaphigerum/39164,$13.39,,,,Shanliren Scaphium Scaphigerum,(3),Mainland China,
Shanliren Roasted Seeds and Nuts Gift Package 1470 g,https://www.sayweee.com/en/product/Shanliren-Roasted-Seeds-and-Nuts-Gift-Package/39166,$26.99,,,,Shanliren Roasted Seeds and Nuts Gift Package,,Mainland China,
Shanliren Roast Peanuts 227 g,https://www.sayweee.com/en/product/Shanliren-Roast-Peanuts/39175,$3.39,,,,Shanliren Roast Peanuts,,Mainland China,
"Macadamia Nuts, Coconut Butter Flavor  70 g",https://www.sayweee.com/en/product/Macadamia-Nuts--Coconut-Butter-Flavor-/39213,$5.29,,,,"Macadamia Nuts, Coconut Butter Flavor",,Mainland China,
"Jujube filled with Grape and Walnut, 284g",https://www.sayweee.com/en/product/Jujube-filled-with-Grape-and-Walnut-284g/95176,$7.19,,,,"Jujube filled with Grape and Walnut, 284g",(4),,
"Lao Jie Kou Sunflower Seeds, Hickory Flavor 500 g",https://www.sayweee.com/en/product/Lao-Jie-Kou-Sunflower-Seeds-Hickory-Flavor/94770,$6.49,"300+ Sold,4 Left",,,"Lao Jie Kou Sunflower Seeds, Hickory Flavor",(295),Mainland China,LAOJIEKOU
Grassplot Roasted Sunflower Seeds 252 g,https://www.sayweee.com/en/product/Grassplot-Roasted-Sunflower-Seeds/86751,$4.09,,New,,Grassplot Roasted Sunflower Seeds,(1),Mainland China,
Bestore Chestnut Kernel  80 g,https://www.sayweee.com/en/product/Bestore-Chestnut-Kernel-/39471,$3.39,50+ Sold,,,Bestore Chestnut Kernel,(1),Mainland China,
Hsin Tung Yang Green Tea Pumpkin Seeds 13.4 oz,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Green-Tea-Pumpkin-Seeds/80887,$9.29,,,,Hsin Tung Yang Green Tea Pumpkin Seeds,(6),Taiwan,HSIN TUNG YANG
[DongMingBridge] Jujube Filled with Walnut 284g 10 oz,https://www.sayweee.com/en/product/DongMingBridge-Jujube-Filled-with-Walnut-284g/96868,$9.99,50+ Sold,New,,[DongMingBridge] Jujube Filled with Walnut 284g,(10),Mainland China,
"WUFUJI Vinaigrette Broad Beans, Original Flavor 380 g",https://www.sayweee.com/en/product/WUFUJI-Vinaigrette-Broad-Beans--Original-Flavor/29959,$6.49,,,,"WUFUJI Vinaigrette Broad Beans, Original Flavor",(9),Mainland China,
Guan Hua Roasted Licorice Peanuts  400 g,https://www.sayweee.com/en/product/Guan-Hua-Roasted-Licorice-Peanuts-/44643,$4.99,,,,Guan Hua Roasted Licorice Peanuts,(1),Mainland China,
LJK Five Spice Flavor Sunflower Seeds in Shell 500 g,https://www.sayweee.com/en/product/LJK-Five-Spice-Flavor-Sunflower-Seeds-in-Shell/30894,$5.99,100+ Sold,,,LJK Five Spice Flavor Sunflower Seeds in Shell,(1),Mainland China,
XNK Sunflower Seeds 180 g,https://www.sayweee.com/en/product/XNK-Sunflower-Seeds/31674,$3.79,,,,XNK Sunflower Seeds,(4),Mainland China,
Shan Li Ren Roasted Walnut Shelled  100 g,https://www.sayweee.com/en/product/Shan-Li-Ren-Roasted-Walnut-Shelled-/34855,$11.09,200+ Sold,,,Shan Li Ren Roasted Walnut Shelled,(16),Mainland China,
"XS Sunflower Seed, Walnut Flavor 258 g",https://www.sayweee.com/en/product/XS-Sunflower-Seed--Walnut-Flavor/34772,$3.29,,5% Off,$3.49,"XS Sunflower Seed, Walnut Flavor",(3),Mainland China,
Shan Li Ren Roasted Amber Walnut Kernel  125 g,https://www.sayweee.com/en/product/Shan-Li-Ren-Roasted-Amber-Walnut-Kernel-/34849,$4.99,,,,Shan Li Ren Roasted Amber Walnut Kernel,(1),Mainland China,
Five Spice Flavored Fried Peanuts  140 g,https://www.sayweee.com/en/product/Five-Spice-Flavored-Fried-Peanuts-/43039,$2.29,,,,Five Spice Flavored Fried Peanuts,(3),Mainland China,
Kou Show Spiced Broad Beans 150 g,https://www.sayweee.com/en/product/Kou-Show-Spiced-Broad-Beans/43027,$2.99,,,,Kou Show Spiced Broad Beans,,Mainland China,
Kou Show Spicy Peanuts 150 g,https://www.sayweee.com/en/product/Kou-Show-Spicy-Peanuts/43038,$2.99,50+ Sold,,,Kou Show Spicy Peanuts,(3),Mainland China,
Big Green Organic Roasted Shelled Chestnuts  3.5 oz,https://www.sayweee.com/en/product/Big-Green-Organic-Roasted-Shelled-Chestnuts-/98301,$1.89,600+ Sold,,,Big Green Organic Roasted Shelled Chestnuts,(232),Mainland China,Big Green
ChaCha Caramel Sunflower Seeds 160 g,https://www.sayweee.com/en/product/ChaCha-Caramel-Sunflower-Seeds/33962,$3.19,1K+ Sold,,,ChaCha Caramel Sunflower Seeds,(94),United States,
"ChaCha Sunflower Seeds, Sea Salt Flavor 130 g",https://www.sayweee.com/en/product/ChaCha-Sunflower-Seeds--Sea-Salt-Flavor/62535,$2.49,700+ Sold,,,"ChaCha Sunflower Seeds, Sea Salt Flavor",(77),Mainland China,
"Sihong Roasted Walnuts, Milk Flavor 418 g",https://www.sayweee.com/en/product/Sihong-Roasted-Walnuts--Milk-Flavor/8927,$7.19,400+ Sold,,,"Sihong Roasted Walnuts, Milk Flavor",(101),Mainland China,
Spicy Green Peas 240 g,https://www.sayweee.com/en/product/Spicy-Green-Peas/48742,$2.39,200+ Sold,40% Off,$3.99,Spicy Green Peas,(19),Taiwan,
"Dang Bar, Peanut Butter Flavor 1.4 oz",https://www.sayweee.com/en/product/Dang-Bar--Peanut-Butter-Flavor/1878,$2.29,,,,"Dang Bar, Peanut Butter Flavor",(1),Canada,
"Boy Bawang Cornick, BBQ Flavor 4 oz",https://www.sayweee.com/en/product/Boy-Bawang-Cornick--BBQ-Flavor/3524,$0.99,100+ Sold,28% Off,$1.39,"Boy Bawang Cornick, BBQ Flavor",(3),Philippines,Boy Bawang
"Fried Broad Bean, Garlic Flavor 150 g",https://www.sayweee.com/en/product/Fried-Broad-Bean--Garlic-Flavor/22751,$2.49,50+ Sold,,,"Fried Broad Bean, Garlic Flavor",(4),Taiwan,
"Koh Kae Coated Peanuts, Coffee Flavor 8.11 oz",https://www.sayweee.com/en/product/Koh-Kae-Coated-Peanuts--Coffee-Flavor/48066,$3.19,200+ Sold,35% Off,$4.99,"Koh Kae Coated Peanuts, Coffee Flavor",(4),Thailand,
"Nagaraya Cracker Nuts, Original Flavor  5.7 oz",https://www.sayweee.com/en/product/Nagaraya-Cracker-Nuts--Original-Flavor-/3527,$2.29,,,,"Nagaraya Cracker Nuts, Original Flavor",,Philippines,Nagaraya
"Nagaraya Cracker Nuts, Garlic Flavor 5.7 oz",https://www.sayweee.com/en/product/Nagaraya-Cracker-Nuts--Garlic-Flavor/3529,$2.29,200+ Sold,,,"Nagaraya Cracker Nuts, Garlic Flavor",,Philippines,Nagaraya
Bestore Cashew Nuts 120 g,https://www.sayweee.com/en/product/Bestore-Cashew-Nuts/39627,$5.29,,,,Bestore Cashew Nuts,,Mainland China,BESTORE
Roasted Sunflower Seeds 428 g,https://www.sayweee.com/en/product/Roasted-Sunflower-Seeds/33872,$5.79,,,,Roasted Sunflower Seeds,,Mainland China,
"Fried Salty Peanuts, Original Flavor 120 g",https://www.sayweee.com/en/product/Fried-Salty-Peanuts--Original-Flavor/43045,$1.99,400+ Sold,,,"Fried Salty Peanuts, Original Flavor",(2),Mainland China,
YUMEI Sesame cake 150 g,https://www.sayweee.com/en/product/YUMEI-Sesame-cake/20627,$4.99,,,,YUMEI Sesame cake,(4),Mainland China,YUMEI
Hbaf Starlight Pang Pang Almond 6.7 oz,https://www.sayweee.com/en/product/Hbaf-Starlight-Pang-Pang-Almond/24689,$8.99,,,,Hbaf Starlight Pang Pang Almond,(1),South Korea,
Jans Tari Bali Garlic Roasted Peanut 300 g,https://www.sayweee.com/en/product/Jans-Tari-Bali-Garlic-Roasted-Peanut/42180,$7.99,50+ Sold,,,Jans Tari Bali Garlic Roasted Peanut,(1),Indonesia,
"Setton Farms Pistachios, Dry Roasted with Sea Salt Flavor 16 oz",https://www.sayweee.com/en/product/Setton-Farms-Pistachios-Dry-Roasted-with-Sea-Salt-Flavor/53413,$6.19,,35% Off,$9.59,"Setton Farms Pistachios, Dry Roasted with Sea Salt Flavor",(13),United States,Setton Farm
WUFUJI Spiced Broad Beans  380 g,https://www.sayweee.com/en/product/WUFUJI-Spiced-Broad-Beans-/31486,$6.49,50+ Sold,,,WUFUJI Spiced Broad Beans,(13),Mainland China,WUFUJI
Kou Show Spicy Broad Beans 150 g,https://www.sayweee.com/en/product/Kou-Show-Spicy-Broad-Beans/43035,$2.99,,,,Kou Show Spicy Broad Beans,,Mainland China,
