Title,Title_link,Price,count___1LWwo,label___2DYkt,basePrice___25MCL,Headline,Field1,Field2,Field3
Gong He Japanese Original Peanuts 340 g,https://www.sayweee.com/en/product/Gong-He-Japanese-Original-Peanuts/75625,$3.49,50+ Sold,,,Gong He Japanese Original Peanuts,(24),Mainland China,GHNC
Gong He Caramel Flavored Sunflower Seeds 375 g,https://www.sayweee.com/en/product/Gong-He-Caramel-Flavored-Sunflower-Seeds/14501,$3.49,400+ Sold,,,Gong He Caramel Flavored Sunflower Seeds,(31),Mainland China,
Huang Fei Hong Spicy Peanuts with Dried Shrimps 98 g,https://www.sayweee.com/en/product/Huang-Fei-Hong-Spicy-Peanuts-with-Dried-Shrimps/97419,$3.89,200+ Sold,,,Huang Fei Hong Spicy Peanuts with Dried Shrimps,(58),Mainland China,HUANG FEI HONG
KH Original Roasted Peanuts 170 g,https://www.sayweee.com/en/product/KH-Original-Roasted-Peanuts/79229,$4.19,500+ Sold,,,KH Original Roasted Peanuts,(185),United States,
"Lian Feng Hickory Nut Kernels, Pepper Flavor 108 g",https://www.sayweee.com/en/product/Lian-Feng-Hickory-Nut-Kernels--Pepper-Flavor/83478,$12.99,800+ Sold,,,"Lian Feng Hickory Nut Kernels, Pepper Flavor",(186),Mainland China,LIAN FENG
Gong He Shandong Spiced Peanuts 340 g,https://www.sayweee.com/en/product/Gong-He-Shandong-Spiced-Peanuts/75622,$3.79,400+ Sold,,,Gong He Shandong Spiced Peanuts,(30),Mainland China,GHNC
"Murgerbon Almonds, Tiramisu Flavor 180 g",https://www.sayweee.com/en/product/Murgerbon-Almonds-Tiramisu-Flavor/13993,$6.59,100+ Sold,,,"Murgerbon Almonds, Tiramisu Flavor",(75),South Korea,
Southern Milk Peanut Kernels 500 g,https://www.sayweee.com/en/product/Southern-Milk-Peanut-Kernels/25204,$5.49,50+ Sold,,,Southern Milk Peanut Kernels,(35),Mainland China,
Diehuapai Spiced Broad Beans 185 g,https://www.sayweee.com/en/product/Diehuapai-Spiced-Broad-Beans/12241,$1.99,1K+ Sold,,,Diehuapai Spiced Broad Beans,(126),Mainland China,
"Sihong Roasted Walnuts, Salt and Pepper Flavor 418 g",https://www.sayweee.com/en/product/Sihong-Roasted-Walnuts--Salt-and-Pepper-Flavor/9244,$7.99,100+ Sold,,,"Sihong Roasted Walnuts, Salt and Pepper Flavor",(50),Mainland China,
"GHNC Sunflower Seeds, Pepper Flavor  375 g",https://www.sayweee.com/en/product/GHNC-Sunflower-Seeds--Pepper-Flavor-/4239,$5.99,200+ Sold,,,"GHNC Sunflower Seeds, Pepper Flavor",(17),Mainland China,GHNC
Wang Organic Roasted Chestnut 5.29 oz,https://www.sayweee.com/en/product/Wang-Organic-Roasted-Chestnut/85714,$4.49,700+ Sold,10% Off,$4.99,Wang Organic Roasted Chestnut,(2),Mainland China,
Ding Dong Mixed Nuts Garlic 100 g,https://www.sayweee.com/en/product/Ding-Dong-Mixed-Nuts-Garlic/17277,$1.99,800+ Sold,,,Ding Dong Mixed Nuts Garlic,(7),Philippines,
Fuyinong Organic Peeled Chestnuts  100 g,https://www.sayweee.com/en/product/Fuyinong-Organic-Peeled-Chestnuts-/86871,$2.69,400+ Sold,,,Fuyinong Organic Peeled Chestnuts,,Mainland China,
Green Hat Roasted Chestnut 2pk 8.46 oz,https://www.sayweee.com/en/product/Green-Hat-Roasted-Chestnut-2pk/30561,$4.99,200+ Sold,New,,Green Hat Roasted Chestnut 2pk,(2),South Korea,
"Corn Nuts, Original 4 oz",https://www.sayweee.com/en/product/Corn-Nuts-Original/81724,$1.59,50+ Sold,,,"Corn Nuts, Original",(1),United States,CORN NUTS
Bigs Dill Pickle Sunflower Seeds  5.35 oz,https://www.sayweee.com/en/product/Bigs-Dill-Pickle-Sunflower-Seeds-/84075,$2.19,,,,Bigs Dill Pickle Sunflower Seeds,,United States,
Hsin Tung Yang Dried Soybean with Bamboo Shoots and Chili 5.3 oz,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Dried-Soybean-with-Bamboo-Shoots-and-Chili/80888,$1.99,600+ Sold,,,Hsin Tung Yang Dried Soybean with Bamboo Shoots and Chili,(28),Taiwan,HSIN TUNG YANG
Woodstock Farms Organic Dark Chocolate Almonds 12 oz,https://www.sayweee.com/en/product/Woodstock-Farms-Organic-Dark-Chocolate-Almonds/49010,$11.99,,,,Woodstock Farms Organic Dark Chocolate Almonds,(1),United States,
Woodstock Farms Organic Raw Cashews 11.5 oz,https://www.sayweee.com/en/product/Woodstock-Farms-Organic-Raw-Cashews/50629,$8.49,50+ Sold,,,Woodstock Farms Organic Raw Cashews,,,
Woodstock Farms Organic Pecan Halves 8.5 oz,https://www.sayweee.com/en/product/Woodstock-Farms-Organic-Pecan-Halves/50628,$8.99,,,,Woodstock Farms Organic Pecan Halves,,United States,
Wonderful Roasted and Salted No Shells Pistachios  12 oz,https://www.sayweee.com/en/product/Wonderful-Roasted-and-Salted-No-Shells-Pistachios-/51305,$17.19,50+ Sold,,,Wonderful Roasted and Salted No Shells Pistachios,(9),United States,
Woodstock Farms Organic Raw Almonds 11.5 oz,https://www.sayweee.com/en/product/Woodstock-Farms-Organic-Raw-Almonds/50630,$12.99,,,,Woodstock Farms Organic Raw Almonds,,United States,
"Peanuts, Green Pepper Flavor 155 g",https://www.sayweee.com/en/product/Peanuts--Green-Pepper-Flavor/48691,$2.79,500+ Sold,,,"Peanuts, Green Pepper Flavor",(12),Mainland China,
