Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Lyfen Japanese-Style Seedless Prune 80 g,https://www.sayweee.com/en/product/Lyfen-Japanese-Style-Seedless-Prune/27459,$4.99,400+ Sold,$0.06/g,Lyfen Japanese-Style Seedless Prune,(100),Mainland China,LYFEN
Preserved Dried Plums  170 g,https://www.sayweee.com/en/product/Preserved-Dried-Plums-/30919,$5.79,200+ Sold,$0.03/g,Preserved Dried Plums,(9),Mainland China,
Yimenggongshe Hawthorn Strips  280 g,https://www.sayweee.com/en/product/Yimenggongshe-Hawthorn-Strips-/98184,$3.29,400+ Sold,,Yimenggongshe Hawthorn Strips,(168),Mainland China,
Sihong Jujube with Walnuts 500 g,https://www.sayweee.com/en/product/Sihong-Jujube-with-Walnuts/95542,$12.99,300+ Sold,,Sihong Jujube with Walnuts,(108),Mainland China,SIHONG
"LLM Green Plum Snack, Green Tea Flavor 160 g",https://www.sayweee.com/en/product/LLM-Green-Plum-Snack--Green-Tea-Flavor/1370,$3.99,200+ Sold,,"LLM Green Plum Snack, Green Tea Flavor",(14),Mainland China,LLM
Bestore Dried Mango 108 g,https://www.sayweee.com/en/product/Bestore-Dried-Mango/244,$4.79,200+ Sold,$0.04/g,Bestore Dried Mango,(51),Mainland China,
Yida Hawthorn Wafers 200 g,https://www.sayweee.com/en/product/Yida-Hawthorn-Wafers/26428,$2.29,400+ Sold,,Yida Hawthorn Wafers,(102),Mainland China,
Yida Hawthorn Hard Jelly  150 g,https://www.sayweee.com/en/product/Yida-Hawthorn-Hard-Jelly-/31293,$1.99,500+ Sold,,Yida Hawthorn Hard Jelly,(77),Mainland China,
YIFEN Candied Hawthorn Roll 125 g,https://www.sayweee.com/en/product/YIFEN-Candied-Hawthorn-Roll/2793,$1.99,"400+ Sold,21 Left",,YIFEN Candied Hawthorn Roll,(21),Mainland China,LYFEN
Hawthorn Jelly 135 g,https://www.sayweee.com/en/product/Hawthorn-Jelly/18296,$3.69,600+ Sold,,Hawthorn Jelly,(29),Mainland China,
Big Green Hawthorn Jelly Candy 3.3 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Jelly-Candy/97897,$1.59,100+ Sold,$0.48/oz,Big Green Hawthorn Jelly Candy,(54),Mainland China,Big Green
Crispy Red Dates 252 g,https://www.sayweee.com/en/product/Crispy-Red-Dates/4870,$4.59,200+ Sold,,Crispy Red Dates,(156),Mainland China,SIHONG
Sihong Crispy Sesame Dates 252 g,https://www.sayweee.com/en/product/Sihong-Crispy-Sesame-Dates/12569,$3.99,200+ Sold,,Sihong Crispy Sesame Dates,(84),Mainland China,
Dried Date 500 g,https://www.sayweee.com/en/product/Dried-Date/25440,$10.89,50+ Sold,,Dried Date,(25),Mainland China,
Happy Company Preserved Dried Plums 160 g,https://www.sayweee.com/en/product/Happy-Company-Preserved-Dried-Plums/67992,$13.99,,$0.08/g,Happy Company Preserved Dried Plums,(9),Japan,
Taiwan Seedless Plum Original  40 g,https://www.sayweee.com/en/product/Taiwan-Seedless-Plum-Original-/84646,$2.99,100+ Sold,$0.07/g,Taiwan Seedless Plum Original,(1),Taiwan,
"Rind Skin-On Dried Fruit, Straw-Peary 2.75 oz",https://www.sayweee.com/en/product/Rind-Skin-On-Dried-Fruit--Straw-Peary/48994,$5.79,,$2.10/oz,"Rind Skin-On Dried Fruit, Straw-Peary",(1),United States,
"Pitted Preserved Plum, Tangerine Peel Flavor 60 g",https://www.sayweee.com/en/product/Pitted-Preserved-Plum--Tangerine-Peel-Flavor/39336,$3.59,200+ Sold,$0.05/g,"Pitted Preserved Plum, Tangerine Peel Flavor",(3),Mainland China,
Coyote Hunt's Holy Crispy Natural Freeze-Dried Lychees 0.75 oz,https://www.sayweee.com/en/product/Coyote-Hunt-s-Holy-Crispy-Natural-Freeze-Dried-Lychees/43734,$4.99,50+ Sold,$6.65/oz,Coyote Hunt's Holy Crispy Natural Freeze-Dried Lychees,(5),Mainland China,
"Rind Skin On-Dried Fruit, Coco-Melon 2.75 oz",https://www.sayweee.com/en/product/Rind-Skin-On-Dried-Fruit--Coco-Melon/48993,$5.79,,$2.10/oz,"Rind Skin On-Dried Fruit, Coco-Melon",,United States,
Coyote Hunt's Holy Crispy Natural Freeze-Dried Jujube Date 0.75 oz,https://www.sayweee.com/en/product/Coyote-Hunt-s-Holy-Crispy-Natural-Freeze-Dried-Jujube-Date/43733,$4.99,,$6.65/oz,Coyote Hunt's Holy Crispy Natural Freeze-Dried Jujube Date,,United States,
