Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Plum Tablets 450 g,https://www.sayweee.com/en/product/Plum-Tablets/62518,$14.99,3 Left,$0.03/g,Plum Tablets,(10),Taiwan,
Miwango Dried Irwin Mangoes 75 g,https://www.sayweee.com/en/product/Miwango-Dried-Irwin-Mangoes/76939,$8.49,,$0.11/g,Miwango Dried Irwin Mangoes,(2),Taiwan,
TenWow Salted Preserved Half Plum  115 g,https://www.sayweee.com/en/product/TenWow-Salted-Preserved-Half-Plum-/87413,$5.66,,$0.04/g,TenWow Salted Preserved Half Plum,,Mainland China,
KAT FAT Chan Pui Ying Che 400 g,https://www.sayweee.com/en/product/KAT-FAT-Chan-Pui-Ying-Che/84920,$7.69,,,KAT FAT Chan Pui Ying Che,,Mainland China,
Preserved Plum 8 oz,https://www.sayweee.com/en/product/Preserved-Plum/84584,$7.49,,$0.93/oz,Preserved Plum,(2),Taiwan,
Preserved Fruit 8 oz,https://www.sayweee.com/en/product/Preserved-Fruit/84587,$7.49,50+ Sold,$0.93/oz,Preserved Fruit,(2),Taiwan,
Jinye Hawthorn Jelly Stick 108 g,https://www.sayweee.com/en/product/Jinye-Hawthorn-Jelly-Stick/84457,$3.29,100+ Sold,$0.03/g,Jinye Hawthorn Jelly Stick,,Mainland China,
Ume House Black Plum 80 g,https://www.sayweee.com/en/product/Ume-House-Black-Plum/84454,$4.49,50+ Sold,$0.05/g,Ume House Black Plum,(1),Mainland China,
Tang Yao Food Dried Jujube 265 g,https://www.sayweee.com/en/product/Tang-Yao-Food-Dried-Jujube/84458,$8.69,,$0.03/g,Tang Yao Food Dried Jujube,,Mainland China,
WanXingLong Shredded Dry Fig Peach Flavor 10pk 150 g,https://www.sayweee.com/en/product/WanXingLong-Shredded-Dry-Fig-Peach-Flavor-10pk/82611,$10.69,,$0.07/g,WanXingLong Shredded Dry Fig Peach Flavor 10pk,,Mainland China,WanXingLong
【DMDQ】Dried Red Dates 500g 500 g,https://www.sayweee.com/en/product/DMDQDried-Red-Dates-500g/98353,$9.99,,,【DMDQ】Dried Red Dates 500g,(1),Mainland China,
TenWow Han Preserved Plum 150 g,https://www.sayweee.com/en/product/TenWow-Han-Preserved-Plum/99559,$4.99,50+ Sold,$0.03/g,TenWow Han Preserved Plum,(12),Mainland China,TenWow
YM Jujube Cake with Osmanthus 168 g,https://www.sayweee.com/en/product/YM-Jujube-Cake-with-Osmanthus/99796,$4.99,50+ Sold,,YM Jujube Cake with Osmanthus,(9),Mainland China,
Hongluo Assorted Preserves 400 g,https://www.sayweee.com/en/product/Hongluo-Assorted-Preserves/85696,$9.39,,,Hongluo Assorted Preserves,,Mainland China,
SESAME COOKIES 7.05 oz,https://www.sayweee.com/en/product/SESAME-COOKIES/84639,$4.69,200+ Sold,$0.66/oz,SESAME COOKIES,(9),Taiwan,
Huihong Dried Starfruit 227 g,https://www.sayweee.com/en/product/Huihong-Dried-Starfruit/84934,$5.59,50+ Sold,,Huihong Dried Starfruit,,Mainland China,
Huihong Half Dried Peach 284 g,https://www.sayweee.com/en/product/Huihong-Half-Dried-Peach/84935,$5.59,,,Huihong Half Dried Peach,(2),Mainland China,
Haoweijia Dried Pulm 132 g,https://www.sayweee.com/en/product/Haoweijia-Dried-Pulm/84938,$4.09,100+ Sold,$0.03/g,Haoweijia Dried Pulm,,Mainland China,
Pickled Bamboo Shoot 200 g,https://www.sayweee.com/en/product/Pickled-Bamboo-Shoot/85096,$3.39,100+ Sold,,Pickled Bamboo Shoot,,Mainland China,
KAT FAT Chan Pui Mui 400 g,https://www.sayweee.com/en/product/KAT-FAT-Chan-Pui-Mui/84921,$7.69,,,KAT FAT Chan Pui Mui,,Mainland China,
Shun Tai Natural Dried Aiwen Mango Slices  150 g,https://www.sayweee.com/en/product/Shun-Tai-Natural-Dried-Aiwen-Mango-Slices-/12358,$11.59,3 Left,$0.07/g,Shun Tai Natural Dried Aiwen Mango Slices,(3),Taiwan,
Hawthorn Cake 90 g,https://www.sayweee.com/en/product/Hawthorn-Cake/22737,$0.89,400+ Sold,,Hawthorn Cake,(8),Mainland China,
Farmers Grange Sweet Preserved Dried Plum  108 g,https://www.sayweee.com/en/product/Farmers-Grange-Sweet-Preserved-Dried-Plum-/4233,$2.99,200+ Sold,,Farmers Grange Sweet Preserved Dried Plum,(48),Mainland China,Farmers Grange
Chan Pui Ying Che Seedless Preserved Plums 400 g,https://www.sayweee.com/en/product/Chan-Pui-Ying-Che-Seedless-Preserved-Plums/21760,$6.89,50+ Sold,,Chan Pui Ying Che Seedless Preserved Plums,(99),Mainland China,
Lyfen Dried Durian 30 g,https://www.sayweee.com/en/product/Lyfen-Dried-Durian/27492,$4.99,,$0.16/g,Lyfen Dried Durian,(102),Mainland China,LYFEN
Big Green Hawthorn Berry Balls 5.9 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Berry-Balls/66684,$2.79,,$0.47/oz,Big Green Hawthorn Berry Balls,(120),Mainland China,Big Green
Jack Fruit Chips  250 g,https://www.sayweee.com/en/product/Jack-Fruit-Chips-/97412,$3.59,900+ Sold,,Jack Fruit Chips,(118),Vietnam,
Farmers Grange Preserved Plum 230 g,https://www.sayweee.com/en/product/Farmers-Grange-Preserved-Plum/8878,$5.99,100+ Sold,,Farmers Grange Preserved Plum,(11),Mainland China,
Three Squirrels Dried Mango 116 g,https://www.sayweee.com/en/product/Three-Squirrels-Dried-Mango/83490,$4.99,,$0.04/g,Three Squirrels Dried Mango,(3),Mainland China,
SYZ Dried Apricots  110 g,https://www.sayweee.com/en/product/SYZ-Dried-Apricots-/14067,$4.29,,$0.03/g,SYZ Dried Apricots,(1),Mainland China,
JUBES NATA DE COCO BUKO PANDAN 12.7 oz,https://www.sayweee.com/en/product/JUBES-NATA-DE-COCO-BUKO-PANDAN/22497,$1.99,50+ Sold,$0.15/oz,JUBES NATA DE COCO BUKO PANDAN,(1),Indonesia,
Dried Plum 90 g,https://www.sayweee.com/en/product/Dried-Plum/35093,$3.19,,$0.03/g,Dried Plum,,Mainland China,
LYFEN Seedless Hawthorn Fruits  188 g,https://www.sayweee.com/en/product/LYFEN-Seedless-Hawthorn-Fruits-/40835,$4.59,,,LYFEN Seedless Hawthorn Fruits,(4),Mainland China,LYFEN
Miwango Dried Guava 100 g,https://www.sayweee.com/en/product/Miwango-Dried-Guava/76949,$7.99,,$0.07/g,Miwango Dried Guava,(2),Taiwan,
Big Green Freeze Dried Apple Slices 20 g,https://www.sayweee.com/en/product/Big-Green-Freeze-Dried-Apple-Slices/96183,$1.29,,$0.06/g,Big Green Freeze Dried Apple Slices,(4),Mainland China,Big Green
