Title,Title_link,Thumbnail,brand-title,price-sup,Price,comment-star__count,Headline,Field1,Field2,Field3
Quadratini Bite Size Wafer Cookies Coconut Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-coconut-flavor-250g/1017005151?scene=item_search.result&bu_type=search&module_name=input&index=16&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,8,Quadratini Bite Size Wafer Cookies Coconut Flavor 250g,8,Itlay,4.2
Peacock Wafer Roll Coffee Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-coffee-63g/1016097001?scene=item_search.result&bu_type=search&module_name=input&index=17&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Peacock Brand Herbs,Buy $150 get 1 free gift,$3.29,,Peacock Wafer Roll Coffee Flavor 63g,Be the first!,China,
Japanese Kit Kat Cocoa Flavor Wafer,https://www.yamibuy.com/en/p/kitkat-cocoa-flavor-wafer/1018046401?scene=item_search.result&bu_type=search&module_name=input&index=18&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,"Pay with Gift Card to get sale price: $6.15,Buy $150 get 1 free gift",$6.99,1,Japanese Kit Kat Cocoa Flavor Wafer,1,Japan,5
Purple Sweet Potato Wafer 7oz,https://www.yamibuy.com/en/p/purple-sweet-potato-wafer-7oz/1017045521?scene=item_search.result&bu_type=search&module_name=input&index=19&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$2.29,,Purple Sweet Potato Wafer 7oz,Be the first!,Hong Kong,
Peacock Wafer Roll Egg Pudding Flavor 63g,https://www.yamibuy.com/en/p/peacock-wafer-roll-egg-pudding-flavor-63g/1017045141?scene=item_search.result&bu_type=search&module_name=input&index=20&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Peacock Brand Herbs,Buy $150 get 1 free gift,$3.29,,Peacock Wafer Roll Egg Pudding Flavor 63g,Be the first!,China,
Japanese Kit Kat Chocolate Wafer Original 14pc,https://www.yamibuy.com/en/p/kitkat-chocolate-wafer-14pc/1018046441?scene=item_search.result&bu_type=search&module_name=input&index=21&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,,Japanese Kit Kat Chocolate Wafer Original 14pc,Be the first!,Japan,
Uji Matcha Wafer 7oz,https://www.yamibuy.com/en/p/uji-matcha-wafer-7oz/1017045511?scene=item_search.result&bu_type=search&module_name=input&index=22&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$2.29,,Uji Matcha Wafer 7oz,Be the first!,Hong Kong,
Deka Wafer Bites Ube Flavor 198g,https://www.yamibuy.com/en/p/wafer-bites-ube-flavor-198g/1016093711?scene=item_search.result&bu_type=search&module_name=input&index=23&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JANS,Buy $150 get 1 free gift,$3.49,,Deka Wafer Bites Ube Flavor 198g,Be the first!,Indonesia,
Wafer Rolls Filled with Cconut Cream,https://www.yamibuy.com/en/p/wafer-rolls-filled-with-cconut-cream/1017045331?scene=item_search.result&bu_type=search&module_name=input&index=24&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,XIAO QUAN,Buy $150 get 1 free gift,$4.29,,Wafer Rolls Filled with Cconut Cream,Be the first!,China,
Cream Wafer Pack Strawberry  Flavor 400g,https://www.yamibuy.com/en/p/imei-cream-wafer-pack-strawberry-flavor-400g/1016046491?scene=item_search.result&bu_type=search&module_name=input&index=25&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMEI,Buy $150 get 1 free gift,$4.19,,Cream Wafer Pack Strawberry  Flavor 400g,1,Taiwan,3
Chocolate and Caramel Crispy Wafer Roll 185g,https://www.yamibuy.com/en/p/two-flavors-chocolate-caramel-crispy-wafer-roll-185g/1017037871?scene=item_search.result&bu_type=search&module_name=input&index=26&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,Buy $150 get 1 free gift,$5.99,4,Chocolate and Caramel Crispy Wafer Roll 185g,4,Japan,5
Japanese Kit Kat Raspberry Chocolate Wafer,https://www.yamibuy.com/en/p/raspberry-chocolate/1018040191?scene=item_search.result&bu_type=search&module_name=input&index=27&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,Buy $150 get 1 free gift,$6.99,11,Japanese Kit Kat Raspberry Chocolate Wafer,11,Japan,4.7
Party Wafer Coconut Flavor 250g,https://www.yamibuy.com/en/p/gastone-lago-party-wafer-coconut-250g/1016066441?scene=item_search.result&bu_type=search&module_name=input&index=28&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GASTONE LAGO,Buy $150 get 1 free gift,$4.29,,Party Wafer Coconut Flavor 250g,1,New Zealand,5
Quadratini Bite Size Wafer Cookies Chocolate Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-chocolate-flavor-250g/1016007551?scene=item_search.result&bu_type=search&module_name=input&index=29&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,42,Quadratini Bite Size Wafer Cookies Chocolate Flavor 250g,42,Itlay,4.9
Quadratini Bite Size Wafer Cookies Tiramisu Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-tiramisu-flavor-250g/1017005221?scene=item_search.result&bu_type=search&module_name=input&index=30&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,48,Quadratini Bite Size Wafer Cookies Tiramisu Flavor 250g,50,Itlay,4.9
Salted Egg Cube Wafer Spicy Flavor 100g,https://www.yamibuy.com/en/p/sp11/1016092381?scene=item_search.result&bu_type=search&module_name=input&index=31&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SNAZK BITES,Buy $150 get 1 free gift,$3.99,2,Salted Egg Cube Wafer Spicy Flavor 100g,2,Malaysia,5
KEKOU Angle Wafer 114g,https://www.yamibuy.com/en/p/kekou-angle-wafer-114g/1016000181?scene=item_search.result&bu_type=search&module_name=input&index=32&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LUCKY,Buy $150 get 1 free gift,$1.59,18,KEKOU Angle Wafer 114g,18,Taiwan,4.4
Healthful Wafer Roll Hazelnut Cocoa,https://www.yamibuy.com/en/p/healthful-wafer-roll-hazelnut-cocoa/1017043351?scene=item_search.result&bu_type=search&module_name=input&index=33&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Healthful,Buy $150 get 1 free gift,,2,Healthful Wafer Roll Hazelnut Cocoa,2,Taiwan,4
Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-vanilla-flavor-250g/1016007621?scene=item_search.result&bu_type=search&module_name=input&index=34&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,10,Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,10,Itlay,4.4
Quadratini Bite Size Wafer Cookies Cappuccino Flavor 220g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-cappuccino-flavor-220g/1017005191?scene=item_search.result&bu_type=search&module_name=input&index=35&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,20,Quadratini Bite Size Wafer Cookies Cappuccino Flavor 220g,22,Itlay,4.8
Wafer Roll Coffee 400g,https://www.yamibuy.com/en/p/healthful-wafer-roll-coffee-400g/1017036041?scene=item_search.result&bu_type=search&module_name=input&index=36&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Healthful,Buy $150 get 1 free gift,$15.99,,Wafer Roll Coffee 400g,2,Taiwan,5
Quadratini Bite Size Wafer Cookies Lemon Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-lemon-flavor-250g/1017005171?scene=item_search.result&bu_type=search&module_name=input&index=37&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,Buy $150 get 1 free gift,$5.29,18,Quadratini Bite Size Wafer Cookies Lemon Flavor 250g,18,Itlay,4.9
Deka Choco Wafer Roll 360g,https://www.yamibuy.com/en/p/dua-kelinci-deka-choco-wafer-roll-360g/1016016671?scene=item_search.result&bu_type=search&module_name=input&index=38&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DUA KELINCI,Buy $150 get 1 free gift,$4.49,15,Deka Choco Wafer Roll 360g,15,Indonesia,4.2
Wafer Roll Chocolate 400g,https://www.yamibuy.com/en/p/healthful-wafer-roll-chocolate-400g/1017036021?scene=item_search.result&bu_type=search&module_name=input&index=39&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Healthful,Buy $150 get 1 free gift,$14.99,,Wafer Roll Chocolate 400g,2,Taiwan,5
Deka Choco Banana Wafer Roll 360g,https://www.yamibuy.com/en/p/dua-kelinci-deka-choco-banana-wafer-roll-360g/1016016661?scene=item_search.result&bu_type=search&module_name=input&index=40&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DUA KELINCI,Buy $150 get 1 free gift,$4.49,11,Deka Choco Banana Wafer Roll 360g,11,Indonesia,3.9
Party Wafer Chocolate & Milk Flavor 220g,https://www.yamibuy.com/en/p/gastone-lago-party-duo-chocolate-milk-220g/1016066371?scene=item_search.result&bu_type=search&module_name=input&index=41&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GASTONE LAGO,Buy $150 get 1 free gift,$5.29,,Party Wafer Chocolate & Milk Flavor 220g,1,New Zealand,5
Deka Wafer Bites Durian Flavor 198g,https://www.yamibuy.com/en/p/deka-wafer-bites-durian-flavor-198g/1016093721?scene=item_search.result&bu_type=search&module_name=input&index=42&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JANS,Buy $150 get 1 free gift,$3.49,,Deka Wafer Bites Durian Flavor 198g,Be the first!,Indonesia,
Chocolate Wafer Sticks 330g,https://www.yamibuy.com/en/p/astor-chocolate-wafer-sticks-tin-330g/1018031121?scene=item_search.result&bu_type=search&module_name=input&index=43&content=wafer,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ASTOR,Buy $150 get 1 free gift,$4.79,,Chocolate Wafer Sticks 330g,2,Indonesia,5
