Title,Title_link,Thumbnail,brand-title,price-sup,Price,comment-star__count,Headline,Field1,Field2,Field3
Mini Wafer Bites Peanut Butter 80g,https://www.yamibuy.com/en/p/mini-wafer-bites-peanut-butter-80g/3016098681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LAVA BITES,,,,Mini Wafer Bites Peanut Butter 80g,Be the first!,Malaysia,
Sake Flavor Chocolate Wafer 8pc,https://www.yamibuy.com/en/p/kit-kat-sake-flavor-chocolate-wafer-9pc/3017012941,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kit kat,,,8,Sake Flavor Chocolate Wafer 8pc,8,United States,5
KIT KAT Save The Blue Ocean White Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-save-the-blue-ocean-white-chocolate-wafer-11pc/3018044671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT Save The Blue Ocean White Chocolate wafer 11pc,Be the first!,Japan,
Soybean Milk Flavored Wafer Cookie Sugar Reduce 60% 12pc,https://www.yamibuy.com/en/p/soybean-milk-flavored-wafer-cookie-sugar-reduce-60-12pc/3016085041,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,,,1,Soybean Milk Flavored Wafer Cookie Sugar Reduce 60% 12pc,1,Japan,5
HOKKAIDO Hazel Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/hokkaido-royce-hazel-chocolate-wafer-12pc/3017014471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,,,1,HOKKAIDO Hazel Chocolate Wafer 12pc,1,Japan,5
DHA Wafer Biscuit Yogurt Flavor 1 Years Old 32g,https://www.yamibuy.com/en/p/dha-wafer-biscuit-yogurt-flavor-1-years-old-32g/3016090301,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WAKODO,,,,DHA Wafer Biscuit Yogurt Flavor 1 Years Old 32g,Be the first!,Japan,
Melon Flavor Wafer 11pc,https://www.yamibuy.com/en/p/melon-flavor-wafer-11pc/3017043951,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,$7.99,,Melon Flavor Wafer 11pc,Be the first!,Japan,
KIT KAT SHIZUOKA WASABI Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-shizuoka-wasabi-flavor-chocolate-wafer-12pc/3017012831,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,2,KIT KAT SHIZUOKA WASABI Flavor Chocolate Wafer 10pc,2,Japan,5
KIT KAT KYODO Grill Tea Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-kyodo-grill-tea-flavor-chocolate-wafer-12pc/3017012851,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,1,KIT KAT KYODO Grill Tea Flavor Chocolate Wafer 10pc,1,Japan,5
JAPAN KIT KAT Black Cocoa Chocolate wafer 14pc,https://www.yamibuy.com/en/p/japan-kit-kat-black-cocoa-chocolate-wafer-14pc/3018036901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,JAPAN KIT KAT Black Cocoa Chocolate wafer 14pc,Be the first!,Japan,
JAPAN KIT KAT Matcha Chocolate wafer 12pc,https://www.yamibuy.com/en/p/japan-kit-kat-macha-chocolate-wafer-12pc/3018035931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,JAPAN KIT KAT Matcha Chocolate wafer 12pc,3,Japan,4.7
Wafer Biscuit 16pc,https://www.yamibuy.com/en/p/bourbon-wafer-biscuit-16pc/3016068351,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,,,,Wafer Biscuit 16pc,12,Japan,4.8
KIT KAT KYODO Matcha Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-kyodo-matcha-flavor-chocolate-wafer-12pc/3017012881,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,1,KIT KAT KYODO Matcha Flavor Chocolate Wafer 10pc,1,Japan,3
FUJI Strawberry Cheese Cake Flavor Chocolate Wafer 8pc,https://www.yamibuy.com/en/p/kit-kat-fuji-strawberry-cheese-cake-flavor-chocolate-wafer-9pc/3017012931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kit kat,,,1,FUJI Strawberry Cheese Cake Flavor Chocolate Wafer 8pc,1,United States,5
KIT KAT Wafer Bars Strawberry Flavor  13pc,https://www.yamibuy.com/en/p/kit-kat-strawberry-flavor-13pc/3017036371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,$7.99,,KIT KAT Wafer Bars Strawberry Flavor  13pc,Be the first!,Japan,
KIT KAT Melon Chocolate wafer 11pc,https://www.yamibuy.com/en/p/kit-kat-melon-chocolate-wafer-11pc/3018046901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT Melon Chocolate wafer 11pc,Be the first!,Japan,
Pokémon wafer cookies 1 sheet,https://www.yamibuy.com/en/p/japan-lotte-pok-mon-wafer-cookies-1-sheet/3016082291,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOTTE Japan,,,1,Pokémon wafer cookies 1 sheet,1,Japan,5
Coffee Mini Cut Wafer 12pc,https://www.yamibuy.com/en/p/coffee-mini-cut-wafer-12pc/3017043611,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,$7.99,,Coffee Mini Cut Wafer 12pc,Be the first!,Japan,
KIT KAT HIROSHIMA Maple Chocolate Flavor Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-hiroshima-maple-chocolate-flavor-wafer-12pc/3017012901,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,KIT KAT HIROSHIMA Maple Chocolate Flavor Wafer 10pc,Be the first!,Japan,
YOKOHAMA Strawberry Cheese Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-yokohama-strawberry-cheese-flavor-chocolate-wafer-12pc/3017012841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,1,YOKOHAMA Strawberry Cheese Flavor Chocolate Wafer 10pc,1,Japan,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
GARUDAFOOD GERY Chocolatos Wafer Roll Dark Chocolate Flavour 160g,https://www.yamibuy.com/en/p/garudafood-gery-chocolatos-wafer-roll-dark-chocolate-flavour-160g/3016051991,https://cdn.yamibuy.net/item/db09abbc09fa6081a5837169a0482533_684x684.webp,GARUDA,,,,GARUDAFOOD GERY Chocolatos Wafer Roll Dark Chocolate Flavour 160g,1,Indonesia,5
KIT KAT HIROSHIMA Maple Chocolate Flavor Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-hiroshima-maple-chocolate-flavor-wafer-12pc/3017012901,https://cdn.yamibuy.net/item/d77e0050969283865e77ae7193b4fa54_684x684.webp,NESTLE,,,,KIT KAT HIROSHIMA Maple Chocolate Flavor Wafer 10pc,Be the first!,Japan,
YOKOHAMA Strawberry Cheese Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-yokohama-strawberry-cheese-flavor-chocolate-wafer-12pc/3017012841,https://cdn.yamibuy.net/item/23093d28a7f5ec7d0b5b1f4ea8c91238_684x684.webp,NESTLE,,,1,YOKOHAMA Strawberry Cheese Flavor Chocolate Wafer 10pc,1,Japan,5
SHINSHU Red Apple Flavor Chocolate Wafer 10pc,https://www.yamibuy.com/en/p/kit-kat-shinshu-red-apple-flavor-chocolate-wafer-12pc/3017012871,https://cdn.yamibuy.net/item/110d663ad198762b15cd5ac37717ed46_684x684.webp,NESTLE,,,1,SHINSHU Red Apple Flavor Chocolate Wafer 10pc,1,Japan,5
KYOSHU Strawberry Flavor Chocolate Wafer 12pc,https://www.yamibuy.com/en/p/kit-kat-kyoshu-strawberry-flavor-chocolate-wafer-12pc/3017012921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kit kat,,,,KYOSHU Strawberry Flavor Chocolate Wafer 12pc,Be the first!,United States,
Strawberry Milk Flavor Wafer 12pc,https://www.yamibuy.com/en/p/kit-kat-strawberry-milk-flavor-wafer-12pc/3017036451,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kit kat,,$7.99,,Strawberry Milk Flavor Wafer 12pc,Be the first!,United States,
Wafer Biscuit Milk Flavor 118g,https://www.yamibuy.com/en/p/bestore-wafer-biscuit-milk-flavor-118g/3017032961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,,$6.99,,Wafer Biscuit Milk Flavor 118g,Be the first!,China,
Creamy Milk Tea Wafer Roll 96g 6pcs(Shelf life:2022/5/8),https://www.yamibuy.com/en/p/tea-latte-rolled-heart-crisp-96g/3017038541,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIEN HAW FOODS,,,,Creamy Milk Tea Wafer Roll 96g 6pcs(Shelf life:2022/5/8),Be the first!,Taiwan,
JAPAN HOKKAIDO MATCHA Chocolate Wafer 6pc,https://www.yamibuy.com/en/p/japan-hokkaido-macha-chocolate-wafer-6pc/3018036461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,,,,JAPAN HOKKAIDO MATCHA Chocolate Wafer 6pc,1,Japan,5
JAPAN Wafer 14piece,https://www.yamibuy.com/en/p/japan-morinaga-wafer-14piece/3016069401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MORINAGA,,,,JAPAN Wafer 14piece,2,Japan,5
JAPAN KIT KAT Strawberry Milk Chocolate wafer 11pc,https://www.yamibuy.com/en/p/japan-kit-kat-strawberry-milk-chocolate-wafer-12pc/3018036921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NESTLE,,,,JAPAN KIT KAT Strawberry Milk Chocolate wafer 11pc,2,Japan,3.5
JAPAN HOKKAIDO Fruit Chocolate Wafer 6pc,https://www.yamibuy.com/en/p/japan-hokkaido-fruit-chocolate-wafer-6pc/3018036361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYCE,,,,JAPAN HOKKAIDO Fruit Chocolate Wafer 6pc,Be the first!,Japan,
TAIYANG Millet Crisp Hot 50g,https://www.yamibuy.com/en/p/taiyang-millet-crisp-hot-50g/1017006961,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,Buy $150 get 1 free gift,$1.49,92,TAIYANG Millet Crisp Hot 50g,92,China,3.9
BACKERY Egg Roll Bricelets Oeufs 315g,https://www.yamibuy.com/en/p/choi-heong-yuen-backery-egg-roll-bricelets-oeufs-315g/1017006061,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,Buy $150 get 1 free gift,$13.99,52,BACKERY Egg Roll Bricelets Oeufs 315g,52,Macao,4.8
Huajiao Rice Crust Hot Spicy Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-hot-spicy-flavor-158g/1017041661,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$2.49,18,Huajiao Rice Crust Hot Spicy Flavor 158g,18,China,4.7
CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,https://www.yamibuy.com/en/p/chio-heong-yuen-vegetarian-phoenix-egg-roll-with-seaweed-150g/1017005141,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,Buy $150 get 1 free gift,$8.99,104,CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,106,Macao,4.7
YAM Twisted Roll Sea Sedge Flavor 88g,https://www.yamibuy.com/en/p/yumei-yam-twisted-roll-sea-sedge-flavor-88g/1017014941,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,Buy $150 get 1 free gift,,241,YAM Twisted Roll Sea Sedge Flavor 88g,241,China,4.7
TAIYANG Millet Crisp Five Spices 50g,https://www.yamibuy.com/en/p/taiyang-millet-crisp-five-spices-50g/1017006981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,Buy $150 get 1 free gift,,69,TAIYANG Millet Crisp Five Spices 50g,70,China,4
Egg Roll  Egg Yolk Flavor 178g,https://www.yamibuy.com/en/p/egg-roll-egg-yolk-flavor-178g/1017037701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOTASTE,Buy $150 get 1 free gift,$6.99,46,Egg Roll  Egg Yolk Flavor 178g,46,China,4.8
YAM Twisted  Roll Caramel & Spicy Flavor  88g,https://www.yamibuy.com/en/p/yumei-yam-twisted-roll-brown-sugar-flavor-88g/1017014931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,Buy $150 get 1 free gift,$1.99,439,YAM Twisted  Roll Caramel & Spicy Flavor  88g,440,China,4.7
Japanese Chocolate Egg Roll Limited Edition 7pc,https://www.yamibuy.com/en/p/japanese-chocolate-egg-roll-limited-edition-7pc/1017044711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Yoku Moku,Buy $150 get 1 free gift,$19.99,2,Japanese Chocolate Egg Roll Limited Edition 7pc,2,Japan,5
TAIYANG Millet Crisp Cumin Flavor 50g,https://www.yamibuy.com/en/p/taiyang-millet-crisp-cumin-flavor-50g/1017006971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,Buy $150 get 1 free gift,$1.49,88,TAIYANG Millet Crisp Cumin Flavor 50g,88,China,4.2
Millet Crisp Crust Cumin Flavor  130g,https://www.yamibuy.com/en/p/millet-crisp-crust-cumin-130g/1017043911,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$1.99,1,Millet Crisp Crust Cumin Flavor  130g,1,China,5
Millet Crisp Crust(spicy) 130g,https://www.yamibuy.com/en/p/millet-crisp-crust-spicy-130g/1017043931,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$1.99,3,Millet Crisp Crust(spicy) 130g,3,China,5
Coconut Flavour Wafers 700g,https://www.yamibuy.com/en/p/coconut-flavour-wafers-700g/1017044021,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$12.99,,Coconut Flavour Wafers 700g,Be the first!,Hong Kong,
Waffle Knot Coffee 32 pc 256g,https://www.yamibuy.com/en/p/waffle-knot-coffee-32-pk/1017043391,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,June 1st,Buy $150 get 1 free gift,$19.99,3,Waffle Knot Coffee 32 pc 256g,3,Taiwan,5
Sesame Bars 220g,https://www.yamibuy.com/en/p/zhimaguan-sesame-bars-220g/1017006401,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHIMAGUAN,Buy $150 get 1 free gift,,12,Sesame Bars 220g,12,China,4.2
Musang King Durian Flavor Egg Roll 64g,https://www.yamibuy.com/en/p/musang-king-durian-flavor-egg-roll-64g/1017045231,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,Buy $150 get 1 free gift,,,Musang King Durian Flavor Egg Roll 64g,Be the first!,China,
Rice Chips 280g,https://www.yamibuy.com/en/p/rice-chips-280g/1017045631,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,kaqi,Buy $150 get 1 free gift,,,Rice Chips 280g,Be the first!,China,
BACKERY Phoenix Egg Rolls 300g,https://www.yamibuy.com/en/p/choi-heong-yuen-backery-phoenix-egg-rolls-300g/1017006071,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,Buy $150 get 1 free gift,$13.49,13,BACKERY Phoenix Egg Rolls 300g,13,Macao,4.8
Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,https://www.yamibuy.com/en/p/new-year-gift-pack-salted-egg-yolk-crispy-egg-rolls-308g/1017045271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,Buy $150 get 1 free gift,$8.49,,Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,Be the first!,China,
AJI Egg Roll White Peach Flavor 218g,https://www.yamibuy.com/en/p/aji-egg-roll-white-peach-flavor-218g/1017045721,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI,Buy $150 get 1 free gift,$6.79,,AJI Egg Roll White Peach Flavor 218g,Be the first!,China,
CHIO HEONG YUEN Mini Egg Roll 150g,https://www.yamibuy.com/en/p/chio-heong-yuen-mini-egg-roll-150g/1017005321,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,Buy $150 get 1 free gift,$7.99,24,CHIO HEONG YUEN Mini Egg Roll 150g,24,Macao,4.7
Waffle Knot Sesame 32pc 256g,https://www.yamibuy.com/en/p/waffle-knot-sesame-32pc/1017043371,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,June 1st,Buy $150 get 1 free gift,$19.99,3,Waffle Knot Sesame 32pc 256g,3,Taiwan,4.3
Lucky Package 1158g,https://www.yamibuy.com/en/p/lucky-package-1158g/1017043971,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,yifen,Buy $150 get 1 free gift,,,Lucky Package 1158g,Be the first!,China,
Millet Crisp Crust(Tomato) 130g,https://www.yamibuy.com/en/p/millet-crisp-crust-tomato-130g/1017043921,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$1.99,1,Millet Crisp Crust(Tomato) 130g,1,China,5
Strawberry Flavour Wafers 700g,https://www.yamibuy.com/en/p/strawberry-flavour-wafers-tin-700g/1017043981,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$12.99,,Strawberry Flavour Wafers 700g,Be the first!,Hong Kong,
June 1 Waffle Knot Assam Black tea 32 pc,https://www.yamibuy.com/en/p/june-1-waffle-knot-assam-black-tea-32-pc/1017045191,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,June 1st,Buy $150 get 1 free gift,$19.99,,June 1 Waffle Knot Assam Black tea 32 pc,Be the first!,Taiwan,
Millet Crisp Cumin Flavor 105g,https://www.yamibuy.com/en/p/millet-crisp-crust-cumin-flavor-105g/1017037511,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HAOBALAIBA,Buy $150 get 1 free gift,$1.69,,Millet Crisp Cumin Flavor 105g,Be the first!,China,
Chocolate Flavour Wafers Tin 700g,https://www.yamibuy.com/en/p/chocolate-flavour-wafers-tin-700g/1017044001,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$12.99,1,Chocolate Flavour Wafers Tin 700g,1,Hong Kong,5
Huajiao Rice Crust Spicy Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-spicy-flavor-158g/1017041681,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$2.49,11,Huajiao Rice Crust Spicy Flavor 158g,11,China,4.5
Peanut Flavour Wafers Tin 700g,https://www.yamibuy.com/en/p/peanut-flavour-wafers-tin-700g/1017043991,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$12.99,,Peanut Flavour Wafers Tin 700g,Be the first!,Hong Kong,
Durian Flavour Wafers 700g,https://www.yamibuy.com/en/p/durian-flavour-wafers-700g/1017044011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,Buy $150 get 1 free gift,$12.99,,Durian Flavour Wafers 700g,Be the first!,Hong Kong,
Rice Cracker Honey Sauce  Flavor 108g,https://www.yamibuy.com/en/p/rice-cracker-honey-sauce-flavor-108g/1017044271,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,Buy $150 get 1 free gift,$2.99,,Rice Cracker Honey Sauce  Flavor 108g,Be the first!,China,
Fried Dough Twist White Sesame Flavor 420g,https://www.yamibuy.com/en/p/fried-dough-twist-white-sesame-flavor-420g/1017044461,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,Buy $150 get 1 free gift,$5.39,1,Fried Dough Twist White Sesame Flavor 420g,1,N/A,4
Crispy Rice Chips original flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-original-flavor-220g/1017045361,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,Buy $150 get 1 free gift,$3.69,,Crispy Rice Chips original flavor 220g,Be the first!,China,
Seaweed Egg Roll 80g,https://www.yamibuy.com/en/p/seaweed-egg-roll-80g/1017045261,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,Buy $150 get 1 free gift,$4.99,,Seaweed Egg Roll 80g,Be the first!,China,
Rice Cracker 218g,https://www.yamibuy.com/en/p/rice-cracker-218g/1017045641,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,Buy $150 get 1 free gift,$4.69,,Rice Cracker 218g,Be the first!,China,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Crispy Crepe Cookie 88g,https://www.yamibuy.com/en/p/bourbon-crispy-crepe-cookie-93g/1017004561,https://cdn.yamibuy.net/item/04bda1cac5c6cf13ff54c9486a5764fb_684x684.webp,BOURBON,Buy $150 get 1 free gift,$2.59,279,Crispy Crepe Cookie 88g,280,Japan,4.7
Salted Egg Yolks Filled Egg Rolls 220g,https://www.yamibuy.com/en/p/salted-egg-yolks-filled-egg-rolls-220g/1017044541,https://cdn.yamibuy.net/item/1b6f6fdd679acf629f16968c32532b7e_684x684.webp,HUAMEI,Buy $150 get 1 free gift,$5.49,,Salted Egg Yolks Filled Egg Rolls 220g,Be the first!,China,
10 Nut Roll Purple Sweet Potato Flavor 160g,https://www.yamibuy.com/en/p/10-nut-roll-purple-sweet-potato-fav-160g/1017045451,https://cdn.yamibuy.net/item/59db6bf79276878f321e50f56a4e4126_684x684.webp,Pei Tien,Buy $150 get 1 free gift,$2.69,,10 Nut Roll Purple Sweet Potato Flavor 160g,Be the first!,Taiwan,
Crispy Rice Chips Hot and Spicy flavor 220g,https://www.yamibuy.com/en/p/crispy-rice-chips-hot-and-spicy-flavor-220g/1017045371,https://cdn.yamibuy.net/item/f4e9052167f2167023f30f04411b058e_684x684.webp,YUMEI,Buy $150 get 1 free gift,$3.69,,Crispy Rice Chips Hot and Spicy flavor 220g,Be the first!,China,
Cracker 128g,https://www.yamibuy.com/en/p/cracker-128g/1017045671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,WOLONG,Buy $150 get 1 free gift,,,Cracker 128g,Be the first!,China,
Small Fried Dough Twist Salty Seaweed Flavor 250g,https://www.yamibuy.com/en/p/small-fried-dough-twist-salty-seaweed-flavor-250g/1017044861,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHONGWANG,Buy $150 get 1 free gift,$3.29,,Small Fried Dough Twist Salty Seaweed Flavor 250g,Be the first!,China,
"12 Grain Crispi Roll, Taro 180g",https://www.yamibuy.com/en/p/12-grain-crispi-roll-taro-180g/1017045471,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Pei Tien,Buy $150 get 1 free gift,$2.49,,"12 Grain Crispi Roll, Taro 180g",Be the first!,Taiwan,
Egg Roll Soy Milk Flavor 178g,https://www.yamibuy.com/en/p/egg-roll-soy-flavor-178g/1017037711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOTASTE,Buy $150 get 1 free gift,$6.99,26,Egg Roll Soy Milk Flavor 178g,26,China,4.9
AJI Egg Roll Mango & Pomelo Flavor 218g,https://www.yamibuy.com/en/p/aji-egg-roll-mango-pomelo-flavor-218g/1017045711,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI,Buy $150 get 1 free gift,$6.69,,AJI Egg Roll Mango & Pomelo Flavor 218g,Be the first!,China,
Huajiao Rice Crust Peppercorn Flavor 158g,https://www.yamibuy.com/en/p/huajiao-rice-crust-peppercorn-flavor-158g/1017041671,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HJSJ,Buy $150 get 1 free gift,$2.49,14,Huajiao Rice Crust Peppercorn Flavor 158g,14,China,4.2
AJI Hong Kong Style Egg Roll Milk Tea Flavored 218g,https://www.yamibuy.com/en/p/aji-hong-kong-style-egg-roll-milk-tea-flavored-218g/1017045701,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AJI,Buy $150 get 1 free gift,$6.69,,AJI Hong Kong Style Egg Roll Milk Tea Flavored 218g,Be the first!,China,
Waffle Knot Green Onion 32 pc 256g,https://www.yamibuy.com/en/p/waffle-knot-green-onion-32-pk/1017043381,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,June 1st,Buy $150 get 1 free gift,$19.99,,Waffle Knot Green Onion 32 pc 256g,Be the first!,Taiwan,
Pepper Crispy Rice Crackers Green Pepper Flavor 108g,https://www.yamibuy.com/en/p/pepper-crispy-rice-crackers-rotten-pepper-flavor-108g/1017045221,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,xasunfood,Buy $150 get 1 free gift,$2.99,,Pepper Crispy Rice Crackers Green Pepper Flavor 108g,Be the first!,China,
Small Fried Dough Twist Salted Scallion Flavor 250g,https://www.yamibuy.com/en/p/small-fried-dough-twist-salted-shallot-flavor-250g/1017044841,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHONGWANG,Buy $150 get 1 free gift,$3.29,,Small Fried Dough Twist Salted Scallion Flavor 250g,Be the first!,China,
GAVOTTES Crepes Gift Box 1500g,https://www.yamibuy.com/en/p/gavottes-crepes-1500g/1017043011,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAVOTTES,Buy $150 get 1 free gift,$34.99,,GAVOTTES Crepes Gift Box 1500g,Be the first!,France,
Mango Crispy Egg Roll 100g,https://www.yamibuy.com/en/p/mango-crispy-egg-roll-100g/1017045251,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,Buy $150 get 1 free gift,$2.19,,Mango Crispy Egg Roll 100g,Be the first!,China,
Salted Egg Yolk Roll 309g,https://www.yamibuy.com/en/p/salted-egg-yolk-roll-309g/1017045421,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,Buy $150 get 1 free gift,$12.99,,Salted Egg Yolk Roll 309g,Be the first!,N/A,
Durian Crisp Egg Roll 218g,https://www.yamibuy.com/en/p/durian-crisp-egg-roll-218g/1017040321,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KALUOKAMAN,Buy $150 get 1 free gift,$3.89,13,Durian Crisp Egg Roll 218g,13,China,4.8
Cheese Filled Egg Rolls 220g,https://www.yamibuy.com/en/p/cheese-filled-egg-rolls-220g/1017044551,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAMEI,Buy $150 get 1 free gift,$5.49,,Cheese Filled Egg Rolls 220g,Be the first!,China,
