Title,Title_link,brand-title,Price,comment-star__count,Field1,Field2,Field3
MARINATED DRIED TOFU CURD 12 packs 75g/pack - Vegetarian Snacks Ready to Eat  Braised Bean Curd Products,https://www.yamibuy.com/en/p/marinated-dried-tofu-curd-12-packs-75g-pack-vegetarian-snacks-ready-to-eat-braised-bean-curd-products/3019074071?scene=item_search.result&bu_type=search&module_name=input&index=26&content=dried%20bean%20curd,NestLady,,,Be the first!,United States,
Megmilk Daily Bone Skim Stick 16g x 7 pcs 112g,https://www.yamibuy.com/en/p/megmilk-daily-bone-skim-stick-16g-x-7-pcs-112g/3030039151?scene=item_search.result&bu_type=search&module_name=input&index=27&content=dried%20bean%20curd,BEAN STALK SNOW,$12.99,,Be the first!,Japan,
Hot Pot Wide Bean Noodle 265g,https://www.yamibuy.com/en/p/yumei-hot-pot-wide-bean-noodle-265g/1021074511?scene=item_search.result&bu_type=search&module_name=input&index=28&content=dried%20bean%20curd,YUMEI,,141,141,China,4.7
Taste of China Frozen Bean Curd 385g,https://www.yamibuy.com/en/p/taste-of-china-frozen-bean-curd-385g/3019076411?scene=item_search.result&bu_type=search&module_name=input&index=29&content=dried%20bean%20curd,Taste of China,$3.99,,Be the first!,China,
Taste of China Bean Curd Sheet 385g,https://www.yamibuy.com/en/p/taste-of-china-bean-curd-sheet-385g/3019076421?scene=item_search.result&bu_type=search&module_name=input&index=30&content=dried%20bean%20curd,Taste of China,$4.99,,Be the first!,China,
Dried Plum Slice 14g,https://www.yamibuy.com/en/p/i-factory-umeboshi-no-sheet-84g-6/1019048611?scene=item_search.result&bu_type=search&module_name=input&index=31&content=dried%20bean%20curd,I FACTORY,$2.49,229,229,Japan,4.8
Freeze Dried Strawberry 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-strawberry-20g/1019034271?scene=item_search.result&bu_type=search&module_name=input&index=32&content=dried%20bean%20curd,BIG GREEN,$1.99,178,178,China,4.6
DXC Mung Bean Cake 180g,https://www.yamibuy.com/en/p/dxc-mung-bean-cake-180g/1016057771?scene=item_search.result&bu_type=search&module_name=input&index=33&content=dried%20bean%20curd,Dao Xiang Cun,$6.89,636,636,China,4.7
Roasted Broad Bean Crab Roe Flavor 285g,https://www.yamibuy.com/en/p/ganyuan-roasted-fried-beans-crab-flavor-285g/1019019361?scene=item_search.result&bu_type=search&module_name=input&index=34&content=dried%20bean%20curd,KAM YUEN,$3.89,498,498,China,4.9
Freeze Dried Peach Slices 20g,https://www.yamibuy.com/en/p/big-green-freeze-dried-peach-slices-20g/1019034291?scene=item_search.result&bu_type=search&module_name=input&index=35&content=dried%20bean%20curd,BIG GREEN,,63,63,China,4.3
