Title,Title_link,Thumbnail,brand-title,price-sup,comment-star__count,Price,brand-variants,Headline,Field1,Field2,Field3
Potato Chips Tomato Flavor 90g,https://www.yamibuy.com/en/p/lay-s-potato-chips-tomato-flavor-90g/1017045391?scene=item_search.result&bu_type=search&module_name=input&index=21&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,,$3.79,,Potato Chips Tomato Flavor 90g,Be the first!,China,
Shrimp Chips Sriracha Mayo 94g,https://www.yamibuy.com/en/p/shrimp-chips-sriracha-mayo-94g/1017044471?scene=item_search.result&bu_type=search&module_name=input&index=22&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,1,$2.29,,Shrimp Chips Sriracha Mayo 94g,1,Japan,5
MY POTE White Truffle Potato Chips 60g,https://www.yamibuy.com/en/p/my-pote-white-truffle-potato-chips-60g/1017045381?scene=item_search.result&bu_type=search&module_name=input&index=23&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,,$1.99,,MY POTE White Truffle Potato Chips 60g,Be the first!,Japan,
Orion Turtle Chips Flamin Lime,https://www.yamibuy.com/en/p/orion-turtle-chips-flamin-lime/1017044661?scene=item_search.result&bu_type=search&module_name=input&index=24&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ORION,Buy $150 get 1 free gift,,$4.89,,Orion Turtle Chips Flamin Lime,Be the first!,Korea,
Super Potato Chips Sour Cream & Onion 1.98oz,https://www.yamibuy.com/en/p/super-potato-sour-cream-onion/1017044741?scene=item_search.result&bu_type=search&module_name=input&index=25&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CALBEE,Buy $150 get 1 free gift,,$2.49,,Super Potato Chips Sour Cream & Onion 1.98oz,Be the first!,Japan,
【Editor's Pick】Asian Salsa & Chips,https://www.yamibuy.com/en/p/asian-salsa-chips/1017044141?scene=item_search.result&bu_type=search&module_name=input&index=26&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,OTHER BRANDS,Buy $150 get 1 free gift,,,,【Editor's Pick】Asian Salsa & Chips,Be the first!,N/A,
Potato Chips  Tomato Flavor 122g,https://www.yamibuy.com/en/p/potato-chips-tomato-flavor-122g/1017042411?scene=item_search.result&bu_type=search&module_name=input&index=27&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,V-loong,Buy $150 get 1 free gift,,$2.99,,Potato Chips  Tomato Flavor 122g,Be the first!,China,
Orio Turtle Chips--Sweet Corn Flavor 560g,https://www.yamibuy.com/en/p/orio-turtle-chips-sweet-corn-flavor-560g/1017044671?scene=item_search.result&bu_type=search&module_name=input&index=28&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ORION,Buy $150 get 1 free gift,,$18.99,,Orio Turtle Chips--Sweet Corn Flavor 560g,Be the first!,Korea,
Potato Chips Black Pepper & Chili Flavor 100g,https://www.yamibuy.com/en/p/potato-chips-black-pepper-chili-flavor-100g/1017045481?scene=item_search.result&bu_type=search&module_name=input&index=29&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAYUAN,Buy $150 get 1 free gift,,$3.99,,Potato Chips Black Pepper & Chili Flavor 100g,Be the first!,Taiwan,
Vegetable Chips Barbecue 142g,https://www.yamibuy.com/en/p/vegetable-chips-barbecue-142g/1017045531?scene=item_search.result&bu_type=search&module_name=input&index=30&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,PULP PANTRY,Buy $150 get 1 free gift,,$5.69,,Vegetable Chips Barbecue 142g,Be the first!,United States,
Clover Chips BBQ Flavor 145g,https://www.yamibuy.com/en/p/clover-chips-bbq-flavor-145g/1017043871?scene=item_search.result&bu_type=search&module_name=input&index=31&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LESLIE'S,Buy $150 get 1 free gift,,$2.29,,Clover Chips BBQ Flavor 145g,Be the first!,Philippine,
Potato Chips BBQ Flavor 122g,https://www.yamibuy.com/en/p/potato-chips-bbq-flavor-122g/1017042421?scene=item_search.result&bu_type=search&module_name=input&index=32&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,V-loong,Buy $150 get 1 free gift,,$2.99,,Potato Chips BBQ Flavor 122g,Be the first!,China,
BBQ Potato Straw Chips Tomato Flavor 80g,https://www.yamibuy.com/en/p/bbq-potato-straw-chips-tomato-flavor-80g/1017044721?scene=item_search.result&bu_type=search&module_name=input&index=33&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KAKA,Buy $150 get 1 free gift,,$4.69,,BBQ Potato Straw Chips Tomato Flavor 80g,Be the first!,Taiwan,
Jaga Chocolate Potato Chips 40g,https://www.yamibuy.com/en/p/jaga-chocolate-potato-chips-40g/1017037861?scene=item_search.result&bu_type=search&module_name=input&index=34&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,Buy $150 get 1 free gift,17,$2.49,,Jaga Chocolate Potato Chips 40g,17,Japan,4.6
Clover Chips Cheese Flavor 145g,https://www.yamibuy.com/en/p/clover-chips-cheese-flavor-145g/1017043861?scene=item_search.result&bu_type=search&module_name=input&index=35&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LESLIE'S,Buy $150 get 1 free gift,1,$1.99,,Clover Chips Cheese Flavor 145g,1,Philippine,5
Potato Chips Crispy Grilled Fish Flavor 70g,https://www.yamibuy.com/en/p/potato-chips-crispy-grilled-fish-flavor-70g/1017040911?scene=item_search.result&bu_type=search&module_name=input&index=36&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,,$2.49,,Potato Chips Crispy Grilled Fish Flavor 70g,Be the first!,China,
Potato Chips Sauerkraut Flavor 28g,https://www.yamibuy.com/en/p/potato-chips-sauerkraut-flavor-28g/1017040701?scene=item_search.result&bu_type=search&module_name=input&index=37&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Lay's,Buy $150 get 1 free gift,22,$2.49,,Potato Chips Sauerkraut Flavor 28g,22,China,4.5
Potato Chips Fleur De Sel Flavor 100g TW,https://www.yamibuy.com/en/p/potato-chips-fleur-de-sel-flavor-100g-tw/1017045491?scene=item_search.result&bu_type=search&module_name=input&index=38&content=chips,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HUAYUAN,Buy $150 get 1 free gift,,$3.99,,Potato Chips Fleur De Sel Flavor 100g TW,Be the first!,Taiwan,
