Title,Title_link,brand-title,brand-variants,Price,comment-star__count,price-valid,price-invalid,price-discount,Headline,DetailPrice,OriginalPrice,Field1,Field2,Field3
Guava Jelly Drink 220g,https://www.yamibuy.com/en/p/guava-suction-220g/1018046021?scene=item_search.result&bu_type=search&module_name=input&index=19&content=jelly,Chen Jiah Juang,,$2.89,,,,,Guava Jelly Drink 220g,,,Be the first!,Taiwan,
Tangerine Peel & Lemon Jelly 70g*5,https://www.yamibuy.com/en/p/tangerine-peel-lemon-jelly-70g-5/1018044741?scene=item_search.result&bu_type=search&module_name=input&index=20&content=jelly,SUNITY,,$5.99,7,,,,Tangerine Peel & Lemon Jelly 70g*5,,,7,China,4.9
Konjac Jelly Strawberry 312g,https://www.yamibuy.com/en/p/jeagueijih-konjac-jelly-strawberry-312g/1018030391?scene=item_search.result&bu_type=search&module_name=input&index=21&content=jelly,jeagueijih,,$3.99,12,,,,Konjac Jelly Strawberry 312g,,,12,Taiwan,4.4
Kommyaku Jelly Grape Flavor 130g,https://www.yamibuy.com/en/p/orihiro-kommyaku-jelly-grape-flavor-130g/1018004401?scene=item_search.result&bu_type=search&module_name=input&index=22&content=jelly,ORIHIRO,7 Options,,44,$2.39,$2.99,21% OFF,Kommyaku Jelly Grape Flavor 130g,$2.39,$2.99,44,Japan,4.7
Kommyaku Jelly Lychi Flavor 130g,https://www.yamibuy.com/en/p/orihiro-kommyaku-jelly-lychi-flavor-130g/1018015851?scene=item_search.result&bu_type=search&module_name=input&index=23&content=jelly,ORIHIRO,7 Options,,16,$2.19,$2.49,13% OFF,Kommyaku Jelly Lychi Flavor 130g,$2.19,$2.49,16,Japan,4.7
Konjac Jelly Purunto St Shine Muscat 130g,https://www.yamibuy.com/en/p/purunto-st-shine-muscat-130g/1018045581?scene=item_search.result&bu_type=search&module_name=input&index=24&content=jelly,ORIHIRO,,$2.29,,,,,Konjac Jelly Purunto St Shine Muscat 130g,,,Be the first!,Japan,
Konjaku Juice Jelly-Strawbrry Flavor 110g,https://www.yamibuy.com/en/p/konjaku-juice-jelly-strawbrry-flavor-110g/1018049161?scene=item_search.result&bu_type=search&module_name=input&index=25&content=jelly,WHIKO,,$2.99,,,,,Konjaku Juice Jelly-Strawbrry Flavor 110g,,,Be the first!,China,
Milky Oatmeal Herbal Jelly 222g*2Cups 444g,https://www.yamibuy.com/en/p/sunity-milky-oatmeal-herbal-jelly-222g-2cups/1018027141?scene=item_search.result&bu_type=search&module_name=input&index=26&content=jelly,SUNITY,5 Options,$4.39,106,,,,Milky Oatmeal Herbal Jelly 222g*2Cups 444g,,,106,China,4.7
Milky Longan Herbal Jelly 222g*2Cups 444g,https://www.yamibuy.com/en/p/sunity-milky-longan-herbal-jelly-222g-2cups/1018027131?scene=item_search.result&bu_type=search&module_name=input&index=27&content=jelly,SUNITY,5 Options,$4.39,113,,,,Milky Longan Herbal Jelly 222g*2Cups 444g,,,113,China,4.6
Kojac Jelly - Peach and Mango Flavor 260g,https://www.yamibuy.com/en/p/kojac-jelly-peach-and-mango-flavor-260g/1018040551?scene=item_search.result&bu_type=search&module_name=input&index=28&content=jelly,AJI,3 Options,$4.69,3,,,,Kojac Jelly - Peach and Mango Flavor 260g,,,3,China,5
Fruits Jelly Drink Orange Flavor 150g,https://www.yamibuy.com/en/p/shirakiku-fruits-jelly-drink-orange-flavor-150g/1018006661?scene=item_search.result&bu_type=search&module_name=input&index=29&content=jelly,SHIRAKIKU,10 Options,$1.29,47,,,,Fruits Jelly Drink Orange Flavor 150g,,,47,Japan,4.63
Mini Tiger Jelly Cup 4.9oz,https://www.yamibuy.com/en/p/mini-tiger-jelly-cup-4-9oz/1018049431?scene=item_search.result&bu_type=search&module_name=input&index=30&content=jelly,DRAGONFLY BRAND,,$3.99,,,,,Mini Tiger Jelly Cup 4.9oz,,,Be the first!,China,
Mango Flavor Jelly 400g,https://www.yamibuy.com/en/p/jingjing-mango-flavor-jelly-400g/1018004181?scene=item_search.result&bu_type=search&module_name=input&index=31&content=jelly,JINGJING,2 Options,$1.69,88,,,,Mango Flavor Jelly 400g,,,88,Taiwan,4.8
Brown Sugar & Date Jelly 70g*5,https://www.yamibuy.com/en/p/brown-sugar-date-jelly-70g-5/1018044751?scene=item_search.result&bu_type=search&module_name=input&index=32&content=jelly,SUNITY,,$5.99,,,,,Brown Sugar & Date Jelly 70g*5,,,Be the first!,China,
Konjac Jelly Green Grape 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-green-grape-150g-x10-packs/1026022931?scene=item_search.result&bu_type=search&module_name=input&index=33&content=jelly,DR.LIV,,,17,$17.49,,,Konjac Jelly Green Grape 150g x10 Packs,$17.49,$21.90,17,Korea,5
Konjac Jelly Grapefruit 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-grapefruit-150g-x10-packs/1026022951?scene=item_search.result&bu_type=search&module_name=input&index=34&content=jelly,DR.LIV,,,29,$17.49,,,Konjac Jelly Grapefruit 150g x10 Packs,$17.49,$21.90,29,Korea,5
Kommyaku Jelly Apple Flavor 130g,https://www.yamibuy.com/en/p/orihiro-kommyaku-jelly-apple-flavor-130g/1018004391?scene=item_search.result&bu_type=search&module_name=input&index=35&content=jelly,ORIHIRO,7 Options,,46,$2.19,$2.49,13% OFF,Kommyaku Jelly Apple Flavor 130g,$2.19,$2.49,46,Japan,4.6
Konjac Jelly Sweet Mascut Flavor Low Calories Drink 150g,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-sweet-muscat-150g/1026022231?scene=item_search.result&bu_type=search&module_name=input&index=36&content=jelly,DR.LIV,16 Options,,61,$1.85,$2.19,16% OFF,Konjac Jelly Sweet Mascut Flavor Low Calories Drink 150g,$1.85,$2.19,61,Korea,4.8
Konjac Jelly Apple Mango 150g,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-apple-mango-150g/1026022291?scene=item_search.result&bu_type=search&module_name=input&index=37&content=jelly,DR.LIV,16 Options,,71,$1.85,$2.19,16% OFF,Konjac Jelly Apple Mango 150g,$1.85,$2.19,71,Korea,4.8
QOO Jelly Drink Grape Flavor 125g,https://www.yamibuy.com/en/p/minute-maid-qoo-jelly-drink-grape-flavor-125g/1018004751?scene=item_search.result&bu_type=search&module_name=input&index=38&content=jelly,MINUTE MAID,2 Options,$2.69,6,,,,QOO Jelly Drink Grape Flavor 125g,,,6,United States,3.7
Konjac Jelly  Passion Fruit and Grape Flavor 260g,https://www.yamibuy.com/en/p/konjac-jelly-passion-fruit-and-grape-flavor-260g/1018040541?scene=item_search.result&bu_type=search&module_name=input&index=39&content=jelly,AJI,3 Options,$4.99,3,,,,Konjac Jelly  Passion Fruit and Grape Flavor 260g,,,3,China,5
Konjac Jelly Sweet Muscat 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-sweet-muscat-150g-x10-packs/1026022901?scene=item_search.result&bu_type=search&module_name=input&index=40&content=jelly,DR.LIV,,,19,$17.49,,,Konjac Jelly Sweet Muscat 150g x10 Packs,$17.49,$21.90,19,Korea,4.9
Cranberry and Blueberry Jelly 50g,https://www.yamibuy.com/en/p/cranberry-and-blueberry-jelly-51g/1018042821?scene=item_search.result&bu_type=search&module_name=input&index=41&content=jelly,LITTLE JASMINE,,$2.49,,,,,Cranberry and Blueberry Jelly 50g,,,Be the first!,United States,
Konjac Jelly Peach 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-peach-150g-x10-packs/1026022921?scene=item_search.result&bu_type=search&module_name=input&index=42&content=jelly,DR.LIV,,,10,$17.49,,,Konjac Jelly Peach 150g x10 Packs,$17.49,$21.90,10,Korea,4.9
Konjac Jelly Lychee 312g,https://www.yamibuy.com/en/p/jeagueijih-konjac-jelly-lychee-312g/1018030371?scene=item_search.result&bu_type=search&module_name=input&index=43&content=jelly,jeagueijih,,$3.99,11,,,,Konjac Jelly Lychee 312g,,,11,Taiwan,4.5
Konjac Jelly  Lychee and Pineapple Flavor 260g,https://www.yamibuy.com/en/p/konjac-jelly-lychee-and-pineapple-flavor-260g/1018040531?scene=item_search.result&bu_type=search&module_name=input&index=44&content=jelly,AJI,3 Options,$4.99,3,,,,Konjac Jelly  Lychee and Pineapple Flavor 260g,,,3,China,4.7
Herbal Jelly Kumquat Lemon 198g*2,https://www.yamibuy.com/en/p/herbal-jelly-kumquat-lemon-198g-2/1018044721?scene=item_search.result&bu_type=search&module_name=input&index=45&content=jelly,SUNITY,,$3.69,2,,,,Herbal Jelly Kumquat Lemon 198g*2,,,2,China,5
Konjac Jelly Mango 312g,https://www.yamibuy.com/en/p/jeagueijih-konjac-jelly-mango-312g/1018030381?scene=item_search.result&bu_type=search&module_name=input&index=46&content=jelly,jeagueijih,,$3.99,12,,,,Konjac Jelly Mango 312g,,,12,Taiwan,4.5
Konjac Jelly Blueberry 150g,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-blueberry-150g/1026022281?scene=item_search.result&bu_type=search&module_name=input&index=47&content=jelly,DR.LIV,16 Options,,37,$1.85,$2.19,16% OFF,Konjac Jelly Blueberry 150g,$1.85,$2.19,37,Korea,4.8
QOO Jelly Drink Orange Flavor 125g,https://www.yamibuy.com/en/p/minute-maid-qoo-jelly-drink-orange-flavor-125g/1018004761?scene=item_search.result&bu_type=search&module_name=input&index=48&content=jelly,MINUTE MAID,,$2.69,16,,,,QOO Jelly Drink Orange Flavor 125g,,,16,United States,4.1
,,,,,,,,,,,,,,
QOO Jelly Drink Peach Falvour 125g,https://www.yamibuy.com/en/p/minute-maid-qoo-jelly-drink-peach-falvour-125g/1018004811,MINUTE MAID,2 Options,$3.59,15,,,,QOO Jelly Drink Peach Falvour 125g,,,Be the first!,United States,4.4
Coconut Jelly Assorted 400g,https://www.yamibuy.com/en/p/jingjing-coconut-jelly-assorted-400g/1018023531,JINGJING,4 Options,$2.19,2,,,,Coconut Jelly Assorted 400g,,,2,Taiwan,5
Jelly Peach Flavor 180g,https://www.yamibuy.com/en/p/jelly-spouted-bag-peach-flavor-180g/1018040561,YAKISS,,$2.39,5,,,,Jelly Peach Flavor 180g,,,5,Hong Kong,4.8
Jelly Millk Tea Flavor 180g,https://www.yamibuy.com/en/p/jelly-spouted-bag-millk-tea-flavor-180g/1018040571,YAKISS,,$2.39,6,,,,Jelly Millk Tea Flavor 180g,,,6,Hong Kong,4.5
Konjac Jelly Apple Mango 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-apple-mango-150g-x10-packs/1026022971,DR.LIV,,,27,$17.49,,,Konjac Jelly Apple Mango 150g x10 Packs,$17.49,$21.90,27,Korea,4.9
Konjac Jelly Blueberry 150g x10 Packs,https://www.yamibuy.com/en/p/dr-liv-konjac-jelly-blueberry-150g-x10-packs/1026022961,DR.LIV,,,17,$17.49,,,Konjac Jelly Blueberry 150g x10 Packs,$17.49,$19.99,17,Korea,4.9
Pudding Jelly Coke Flavor 150g,https://www.yamibuy.com/en/p/qq-jelly-smudgeable-jelly-cola-flavor-150g/1018036861,yifen,,,5,$0.89,$1.49,41% OFF,Pudding Jelly Coke Flavor 150g,$0.89,$1.49,5,China,3.8
Jelly Lemon Tea Flavor 180g,https://www.yamibuy.com/en/p/jelly-lemon-tea-flavor-180g/1018043631,YAKISS,3 Options,$2.59,6,,,,Jelly Lemon Tea Flavor 180g,,,6,Hong Kong,4.3
Szechuan Jelly Dessert Powder 250g,https://www.yamibuy.com/en/p/kangyaku-liang-gao-fen-dessert-powder-cake-flavor-250g/1018011501,KANGYAKU,,$2.19,11,,,,Szechuan Jelly Dessert Powder 250g,,,11,China,3.8
Konnyaku Konjac Jelly Apple Flavor 130g,https://www.yamibuy.com/en/p/kykc02ya/1018046831,YAMAKICHI SEIKA,3 Options,$2.29,,,,,Konnyaku Konjac Jelly Apple Flavor 130g,,,Be the first!,Japan,
Jelly Durian Mango Flavor 180g,https://www.yamibuy.com/en/p/jelly-durian-mango-flavor-180g/1018043641,YAKISS,3 Options,$2.59,4,,,,Jelly Durian Mango Flavor 180g,,,4,Hong Kong,3.5
Energy Jelly 130g,https://www.yamibuy.com/en/p/momentary-w-charge-130g/1018039561,ORIHIRO,,$2.39,,,,,Energy Jelly 130g,,,Be the first!,Japan,
Jelly Macchiato Cocoa flavor 180g,https://www.yamibuy.com/en/p/jelly-macchiato-cocoa-flavor-180g/1018043651,YAKISS,3 Options,$2.59,1,,,,Jelly Macchiato Cocoa flavor 180g,,,1,Hong Kong,3
Konjac Jelly Passion Fruit 312g,https://www.yamibuy.com/en/p/jeagueijih-konjac-jelly-passion-fruit-312g/1018030361,jeagueijih,,$3.99,13,,,,Konjac Jelly Passion Fruit 312g,,,13,Taiwan,4.5
Coconut Jelly Candy 200g,https://www.yamibuy.com/en/p/nanguo-coconut-jelly-candy-200g/1018017901,NANGUO,,$2.99,1,,,,Coconut Jelly Candy 200g,,,1,China,2
LOTTE YOGURT JELLY GUMMY CANDY (50g)-YOGURT FLAVORED,https://www.yamibuy.com/en/p/lotte-yogurt-jelly-gummy-candy-50g-yogurt-flavored/3018023751,Jelly.B,3 Options,$3.99,2,,,,LOTTE YOGURT JELLY GUMMY CANDY (50g)-YOGURT FLAVORED,,,2,Korea,3
Teochew Gummy Jelly 250g,https://www.yamibuy.com/en/p/item/5018042651,MushroomStorm,,,1,$8.54,$8.99,6% OFF,Teochew Gummy Jelly 250g,$8.54,$8.99,1,China,5
Konjac White Peach & Grape Flavor Jelly 12pcs,https://www.yamibuy.com/en/p/orihiro-konjac-white-peach-grape-flavor-jelly-12pcs/3018032091,ORIHIRO,,,,$7.99,$9.99,21% OFF,Konjac White Peach & Grape Flavor Jelly 12pcs,$7.99,$9.99,Be the first!,Japan,
TOKYO Sakura Jelly 3pc,https://www.yamibuy.com/en/p/tokyo-eitaro-sakura-jelly-3pc/3018008151,eitaro,,,23,$19.00,$27.99,33% OFF,TOKYO Sakura Jelly 3pc,$19.00,$27.99,23,China,4.6
Prunto Konnyaku Jelly Grape 6pc,https://www.yamibuy.com/en/p/prunto-konnyaku-jelly-grape-6pc/3018042551,ORIHIRO,,,,$2.58,$3.60,29% OFF,Prunto Konnyaku Jelly Grape 6pc,$2.58,$3.60,Be the first!,Japan,
Prunto Konnyaku Jelly Orange & Muscat 12pc,https://www.yamibuy.com/en/p/prunto-konnyaku-jelly-orange-green-grapes-12pc/3018042601,ORIHIRO,,,,$7.47,$9.00,18% OFF,Prunto Konnyaku Jelly Orange & Muscat 12pc,$7.47,$9.00,Be the first!,Japan,
Jushida Konnyaku Jelly - Passion Fruit 160g,https://www.yamibuy.com/en/p/jushida-konnyaku-jelly-passion-fruit-160g/3018044501,NESTLE,,,,$4.79,$5.99,21% OFF,Jushida Konnyaku Jelly - Passion Fruit 160g,$4.79,$5.99,Be the first!,Japan,
Chia Konjac Grape Jelly 144g,https://www.yamibuy.com/en/p/chia-konjac-grape-jelly-144g/3018046161,ROYAL FAMILY,,$8.99,,,,,Chia Konjac Grape Jelly 144g,,,Be the first!,Taiwan,
Jelly Chocolate Flavor 6p,https://www.yamibuy.com/en/p/jelly-chocolate-flavor-6pc/3018045201,ORIHIRO,5 Options,,,$3.99,$6.99,43% OFF,Jelly Chocolate Flavor 6p,$3.99,$6.99,Be the first!,Japan,
Konjac Macha Jelly 6pc,https://www.yamibuy.com/en/p/konjac-macha-jelly-6pc/3018045861,ORIHIRO,42 Options,,,$3.90,$6.99,45% OFF,Konjac Macha Jelly 6pc,$3.90,$6.99,Be the first!,Japan,
Meal Replacement Enzyme Jelly Instant Probiotics Intestinal Smoothing Fruit and Vegetable Enzyme Jelly 35g*10,https://www.yamibuy.com/en/p/meal-replacement-enzyme-jelly-instant-probiotics-intestinal-smoothing-fruit-and-vegetable-enzyme-jelly-35g-10/3026030541,Nanjing Tongrentang,,$41.90,,,,,Meal Replacement Enzyme Jelly Instant Probiotics Intestinal Smoothing Fruit and Vegetable Enzyme Jelly 35g*10,,,Be the first!,China,
Blueberry Pomegranate Collagen Enzyme Jelly 105g Replenish collagen through the stomach and intestines,https://www.yamibuy.com/en/p/blueberry-pomegranate-collagen-enzyme-jelly-105g-replenish-collagen-through-the-stomach-and-intestines/3026030931,Nanjing Tongrentang,,$38.90,,,,,Blueberry Pomegranate Collagen Enzyme Jelly 105g Replenish collagen through the stomach and intestines,,,Be the first!,China,
JAPAN FETTUCCINE JELLY DROPS COLA 50g,https://www.yamibuy.com/en/p/japan-bourbon-fettuccine-jelly-drops-cola-50g/3018032801,BOURBON,42 Options,,,$2.99,$4.99,41% OFF,JAPAN FETTUCCINE JELLY DROPS COLA 50g,$2.99,$4.99,Be the first!,Japan,
Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,https://www.yamibuy.com/en/p/heart-shaped-fruit-juice-collagen-jelly-white-peach-flavor-56g/3018041541,KANRO,,,,$2.90,$3.60,20% OFF,Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,$2.90,$3.60,Be the first!,Japan,
Konnyaku Jelly Muscat 6pc,https://www.yamibuy.com/en/p/konnyaku-jelly-muscat-6pc/3018042561,ORIHIRO,,,,$2.58,$3.60,29% OFF,Konnyaku Jelly Muscat 6pc,$2.58,$3.60,Be the first!,Japan,
Jelly Drink White Peach Flavor 150g,https://www.yamibuy.com/en/p/tarami-jelly-drink-white-peach-flavor-150g/3018031451,TARAMI,,,7,$3.20,$4.20,24% OFF,Jelly Drink White Peach Flavor 150g,$3.20,$4.20,7,Japan,4.9
Lemon+Cantaloupe Flavor Konjac Jelly 12pcs,https://www.yamibuy.com/en/p/lemon-cantaloupe-flavor-konjac-jelly-12pcs/3018043971,ORIHIRO,,,1,$4.99,$7.99,38% OFF,Lemon+Cantaloupe Flavor Konjac Jelly 12pcs,$4.99,$7.99,1,Japan,5
Sakura flavor fruit jelly 120g,https://www.yamibuy.com/en/p/sakura-flavor-fruit-jelly-120gx2/3018041751,BE & CHEERY,,$9.90,,,,,Sakura flavor fruit jelly 120g,,,Be the first!,China,
HOKKAIDO Cantaloupe Jelly 12pc,https://www.yamibuy.com/en/p/hokkaido-hori-cantaloupe-jelly-12pc/3018008781,HORI,,,6,$15.50,$29.99,49% OFF,HOKKAIDO Cantaloupe Jelly 12pc,$15.50,$29.99,6,Japan,4.5
Prunto Konnyaku Jelly Apple & Grape  12pc,https://www.yamibuy.com/en/p/prunto-konnyaku-jelly-apple-grape-12pc/3018042591,ORIHIRO,,,,$7.47,$9.00,18% OFF,Prunto Konnyaku Jelly Apple & Grape  12pc,$7.47,$9.00,Be the first!,Japan,
Purun and Konjac Jelly Pouch Watermelon 20g x 6pcs 120g,https://www.yamibuy.com/en/p/purun-and-konjac-jelly-pouch-watermelon-20g-x-6pcs-120g/3018039621,ORIHIRO,,,,$3.99,$4.99,21% OFF,Purun and Konjac Jelly Pouch Watermelon 20g x 6pcs 120g,$3.99,$4.99,Be the first!,Japan,
Prunto Konnyaku Jelly Peach 6pc,https://www.yamibuy.com/en/p/orihiro-low-calorie-konjac-juice-jelly-instant-instant-white-peach-flavor-120g/3018041841,ORIHIRO,,$2.80,,,,,Prunto Konnyaku Jelly Peach 6pc,,,Be the first!,Japan,
Prunto Konnyaku Jelly Grape 6pc,https://www.yamibuy.com/en/p/orihiro-low-calorie-konjac-juice-jelly-instant-and-convenient-purple-grape-flavor-12g/3018041831,ORIHIRO,,$2.80,,,,,Prunto Konnyaku Jelly Grape 6pc,,,Be the first!,Japan,
Konnyaku Jelly Muscat 6pcs,https://www.yamibuy.com/en/p/orihiro-konnyaku-jelly-muscat-6pcs/3018020471,ORIHIRO,,,3,$3.99,$4.99,21% OFF,Konnyaku Jelly Muscat 6pcs,$3.99,$4.99,3,Japan,5
Jushida Konnyaku Jelly - Lychee 160g,https://www.yamibuy.com/en/p/jushida-konnyaku-jelly-lychee-160g/3018044481,NESTLE,,,,$4.79,$5.99,21% OFF,Jushida Konnyaku Jelly - Lychee 160g,$4.79,$5.99,Be the first!,Japan,
