Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
Aloe Drink-Pomegranate 1.5L,https://www.yamibuy.com/en/p/aloe-drink-pomegranate-1-5l/1020064461,JAYONE,,$3.49,,,,Be the first!,,Korea,
Sparkling Water Lemon-Lime Sparkling Water 340g,https://www.yamibuy.com/en/p/sparkling-water-lemon-lime-sparkling-water-340g/1020065661,WATERLOO,,$0.69,,,,Be the first!,,United States,
Ginger Honey Tea 550g,https://www.yamibuy.com/en/p/han-cha-kan-ginger-honey-tea-550g/1020041881,HANCHAKAN,,$4.99,,,,Be the first!,,Taiwan,
Lychee Flavored Drink With Nata De COCO 320ml,https://www.yamibuy.com/en/p/mogu-mogu-lychee-flavored-drink-with-nata-de-coco-320ml/1020006051,MOGU MOGU,46,$1.49,14 Options,,,46,Thailand,Thailand,4.7
Ramune Soda Cantaloupe Flavor 200ml,https://www.yamibuy.com/en/p/ramun-soda-cantaloupe-flavor-200ml/1020036541,HATAKOSEN,14,$1.99,3 Options,,,14,Melon Flavor,Japan,4.8
Watermelon Flavor Soda 335ml,https://www.yamibuy.com/en/p/kelly-one-angry-bobo-watermelon-flavor-335ml/1020055671,WAHAHA,45,,,$1.39,$1.99,45,,China,4.8
Ramune Soda Strawberry Flavor 200ml,https://www.yamibuy.com/en/p/ramun-soda-strawberry-flavor-200ml/1020036531,HATAKOSEN,24,,,$1.69,$1.99,24,,Japan,4.8
Sparkling Water Grape Flavor 500ml,https://www.yamibuy.com/en/p/sparkling-water-grape-flavor-500ml/1020060001,HEYTEA,1,$2.89,,,,1,,China,5
Aquarius Sports Drink 950ml,https://www.yamibuy.com/en/p/aquarius-sports-drink-950ml/1020063661,COCA COLA,,$3.69,,,,Be the first!,,United States,
Corn Silk Tea Drink 500ml,https://www.yamibuy.com/en/p/lotte-corn-silk-tea-500ml/1020006651,LOTTE Korea,104,$2.69,6 Options,,,104,Korea,Korea,4.6
COCA COLA Irohasu Transparent Japanese Peach Flavor Water  555ml,https://www.yamibuy.com/en/p/coca-cola-irohasu-transparent-japanese-peach-flavor-water-555ml/1020015011,I LOHAS,21,$2.49,5 Options,,,21,Japan,Japan,4.8
Mango Naturally  Artificially Flavored Non Carbonated Soft Drink 1L,https://www.yamibuy.com/en/p/mango-naturally-artificially-flavored-non-carbonated-soft-drink-1l/1020057541,CALPICO,6,,,$2.93,$4.89,6,,Japan,5
Kaman Orange Soda Sparkling Water Can 330ml,https://www.yamibuy.com/en/p/kaman-orange-soda-sparkling-water-can-330ml/1020048091,Genki Forest,63,,7 Options,$1.39,$1.49,63,,China,4.7
Strawberry Flavored Drink With Nata De COCO 320ml,https://www.yamibuy.com/en/p/mogu-mogu-strawberry-flavored-drink-with-nata-de-coco-320ml/1020012111,MOGU MOGU,11,$1.19,14 Options,,,11,Thailand,Thailand,4.6
