Title,Title_link,brand-title,comment-star__count,Price,brand-variants,DetailPrice,OriginalPrice,Field1,Field2,Field3,Field4
【Hot n Spicy Value Set】Salty Egg Instant Noodle 92g * 3pc WONGLOKAT Herbal Tea 310ml * 6pc,https://www.yamibuy.com/en/p/hot-n-spicy-value-set-salty-egg-instant-noodle-92g-3pc-wonglokat-herbal-tea-310ml-6pc/1020031661,OTHER BRANDS,4,,,$11.14,$13.11,4,China,N/A,5
Great Tiger Vitamin Drink 250ml,https://www.yamibuy.com/en/p/hi-tiger-great-tiger-vitamin-drink-250ml/1020028851,HI-TIGER,8,$1.49,,,,8,China,China,4
Hong Kong Style Dessert Poplar Nectar Mango Flavor 330ml,https://www.yamibuy.com/en/p/hong-kong-style-dessert-poplar-nectar-mango-flavor-330ml/1147008331,DULIYOUHUO,6,$3.99,,,,6,,China,4.2
Mitsuya Soda Pop Peach 500ml,https://www.yamibuy.com/en/p/asahi-mitsuya-peach-500ml/1020035781,ASAHI,5,$2.29,,,,5,,Japan,5
Cheng Bou Leong Herbal Tea 300ml,https://www.yamibuy.com/en/p/yeo-s-cheng-bou-leong-herbal-tea-300ml/1020009441,YEO'S,5,$0.89,15 Options,,,5,Singapore,Singapore,5
Ice Green Tea 300ml,https://www.yamibuy.com/en/p/yeo-s-ice-green-tea-300ml/1020005631,YEO'S,8,$0.99,15 Options,,,8,Can Package,Singapore,4.1
JIANJIAO Sport Drink Fiber 550ml,https://www.yamibuy.com/en/p/jianjiao-sport-drink-fiber-550ml/1020009621,NONGFUSPRING,45,$2.49,2 Options,,,45,China,China,5
Aloe Vera Drink 500ml,https://www.yamibuy.com/en/p/han-asia-aloe-vera-drink-500ml/1020024751,HAN ASIA,1,$1.39,,,,1,China,Korea,5
Orange Flavored Drink With Nata De COCO 320ml,https://www.yamibuy.com/en/p/mogu-mogu-orange-flavored-drink-with-nata-de-coco-320ml/1020006261,MOGU MOGU,8,$1.19,14 Options,,,8,Thailand,Thailand,4.4
Green Dakara Shio Lychee & Yogurt 490ml,https://www.yamibuy.com/en/p/green-dakara-shio-lychee-yogurt-490ml/1020056921,SUNTORY,3,,,$2.49,$2.69,3,,Japan,4.3
Welch‘s’ Budo Polyphenol Sparkling 430ml,https://www.yamibuy.com/en/p/welch-s-budo-polyphenol-sparkling-430ml/1020054921,ASAHI,4,$2.49,,,,4,,Japan,5
【Japanese snack box】 Fruity Summer,https://www.yamibuy.com/en/p/fruity-summer/1020054411,OTHER BRANDS,4,,,$49.99,$51.95,4,China,N/A,5
Assam Milk Tea-Apple Flavou 400ml*6,https://www.yamibuy.com/en/p/t-grand-assam-milk-tea-apple-flavou-400ml-6/1020041181,T.GRAND,4,$5.99,,,,4,,Taiwan,5
Plum Soda  335ml,https://www.yamibuy.com/en/p/plum-soda-335g/1020058981,SFC,1,,,$1.49,$1.59,1,,Korea,5
DONG SUH FOODS Barley Tea 500ml,https://www.yamibuy.com/en/p/dong-suh-foods-barley-tea-500ml/1020020261,Dong Suh Foods Corporation,4,$1.69,4 Options,,,4,Korea,Korea,4.5
Santory Genmaicha Green Tea With Roasted Rice 500ml,https://www.yamibuy.com/en/p/genmaicha/1020040191,SUNTORY,3,$2.49,,,,3,,Japan,4.7
Hawthorn Drink Mix 340ml,https://www.yamibuy.com/en/p/sxxb-hawthorn-drink-mix-340ml/1020031651,SXXB,9,,,$1.19,$1.69,9,China,China,3.8
Gran Tea Milk Tea 190ml,https://www.yamibuy.com/en/p/gran-tea-milk-tea-190ml/1020055291,SANGARIA,4,$1.29,,,,4,,Japan,4.8
MATCHA LOVE Drink Unsweetened 190ml,https://www.yamibuy.com/en/p/ito-en-matcha-love-drink-unsweetened-190ml/1020026341,ITO EN,5,$2.99,4 Options,,,5,Japan,Japan,5
Grass Jelly Drink Lychee Flavor 320g,https://www.yamibuy.com/en/p/chinchin-grass-jelly-drink-lychee-flavor-320g/1020007881,CHINCHIN,4,$0.99,5 Options,,,4,Taiwan,Taiwan,4.5
Kalamansi Soda  335ml,https://www.yamibuy.com/en/p/kalamansi-soda-335g/1020058971,SFC,,$1.59,,,,Be the first!,,Korea,
Detective Conan Apple Soda 350ml,https://www.yamibuy.com/en/p/mc-cider-350ml/1020055011,DYDO,1,$2.49,,,,1,,Japan,5
Premium Lemon Squash,https://www.yamibuy.com/en/p/itoen-premium-lemon-squash/1020039921,ITO EN,7,$2.59,,,,7,,Japan,4.4
Bireley's Orange Drink 280g,https://www.yamibuy.com/en/p/bireley-s-orange-kanjiru-kajitsu-280g/1020054811,ASAHI,3,$2.49,,,,3,,Japan,4
Dietary Fiber Jasmine Green Tea 500ml,https://www.yamibuy.com/en/p/iemon-plus-oishii-toshitsu-taisaku-500ml/1020055381,SUNTORY,5,$3.29,,,,5,,Japan,4.8
Barley tea 600ml,https://www.yamibuy.com/en/p/date-barley-tea-600ml-pet/1020050751,POKKA SAPPORO,2,$2.29,,,,2,,Japan,5
Natural Water Peach Flavor 540ml,https://www.yamibuy.com/en/p/mellow-peach-suntory-natural-water-frozen-combined-540ml-pet/1020050371,SUNTORY,2,$2.49,,,,2,,Japan,5
Sea Salt and Lemon Drink 500ml,https://www.yamibuy.com/en/p/unif-sea-salt-and-lemon-drink-500ml/1020015121,Unif,3,$1.99,,,,3,China,Taiwan,4
Lemon Drink 500ml,https://www.yamibuy.com/en/p/master-kong-lemon-drink-500ml/1020005211,MASTER KONG,3,$1.49,,,,3,China,China,4.7
Grass Jelly Drink Honey Flavor 320g,https://www.yamibuy.com/en/p/chinchin-grass-jelly-drink-honey-flavor-320g/1020007871,CHINCHIN,3,$0.99,5 Options,,,3,Taiwan,Taiwan,4.3
Honey Basil Seed Drink 320g,https://www.yamibuy.com/en/p/chinchin-honey-basil-seed-drink-320g/1020007951,CHINCHIN,4,$1.69,,,,4,Taiwan,Taiwan,4.5
Is Better BPA Free 500ml,https://www.yamibuy.com/en/p/boxed-water-is-better-bpa-free-500ml/1020025241,BOXED WATER,4,$2.19,2 Options,,,4,United States,United States,4.2
Calpis Soda Shifuku No Jikan Orange 500ml,https://www.yamibuy.com/en/p/calpis-soda-shifuku-no-jikan-orange-500ml/1020057631,ASAHI,1,$2.29,,,,1,,Japan,4
Hokkaido Melon Soda 420ml,https://www.yamibuy.com/en/p/hokkaido-yubari-melon-soda-420ml-pet/1020050851,POKKA SAPPORO,2,$2.09,,,,2,,Japan,4.5
Plum Drink 1500ml,https://www.yamibuy.com/en/p/three-tsu-vector-plum-1-5l-pet/1020050561,ASAHI,1,$4.99,,,,1,,Japan,5
FUJI SODA   Pineapple (Ramune)  200ml,https://www.yamibuy.com/en/p/fuji-soda-pineapple-ramune-200ml/1020033981,FUJI  SODA,,$1.79,,,,Be the first!,,Japan,
Mituya Soda Honey Lemon Flavor 500ml,https://www.yamibuy.com/en/p/mituya-hachilemo-500ml/1020054931,ASAHI,2,$2.49,,,,2,,Japan,4.5
Dodekamin 500ml,https://www.yamibuy.com/en/p/dodekamin-500ml/1020054841,ASAHI,1,$2.49,,,,1,,Japan,5
Protein Water 500ml,https://www.yamibuy.com/en/p/scan-mertz-water-protein-500ml-pet/1020050461,ITO EN,2,$2.49,,,,2,,Japan,5
White Peach Drink 380g,https://www.yamibuy.com/en/p/nectar-pebbly-white-peach-380g-cans/1020050441,FUJIYA,2,$2.49,,,,2,,Japan,5
Sparkling Yuzu Black Tea 500ml,https://www.yamibuy.com/en/p/tao-ti-sparkling-yuzu-black-tea-500ml/1020042931,TAO TI,3,$1.99,,,,Be the first!,,Taiwan,4.7
Orange Black Tea 500ml,https://www.yamibuy.com/en/p/tt-orange-black-tea-500ml/1020042921,TAO TI,2,$1.99,,,,2,,Taiwan,5
Green Tea 600ml,https://www.yamibuy.com/en/p/chakojyo-no-makanai-ryokucha-600ml/1020056901,POKKA SAPPORO,2,$1.99,,,,2,,Japan,5
Peach Drink 320ml,https://www.yamibuy.com/en/p/nectar-peach-320ml-pet/1020050431,FUJIYA,1,$2.29,,,,1,,Japan,5
Bird's Nest Drink 250ml,https://www.yamibuy.com/en/p/foco-bird-s-nest-drink-250ml/1020013941,FOCO,3,$1.09,,,,3,Thailand,Thailand,3.3
Fun Marble Drink Ramune Soft Carbonated Drink Original Flavor 200ml,https://www.yamibuy.com/en/p/kimura-ramune-soda-orginal-flavor-200ml/1020009481,KIMURA元祖,93,,,$1.49,$1.59,93,Japan,Japan,4.9
Bilberry Fresh Vitality Green Tea 500ml,https://www.yamibuy.com/en/p/master-kong-bilberry-fresh-vitality-green-tea-500ml/1020030651,MASTER KONG,1,,,$1.19,$1.49,1,China,China,5
100% USDA Nature Oolong Tea 500ml,https://www.yamibuy.com/en/p/kaito-100-usda-nature-oolong-tea-500ml/1020005761,KAITO,2,$2.99,,,,2,,Japan,4
Oceanic Lime Drink w/sea salt 500ml,https://www.yamibuy.com/en/p/yeo-s-oceanic-lime-drink-w-sea-salt-500ml/1020018011,YEO'S,3,$2.49,,,,3,Singapore,Singapore,4.3
Hyosho Lemon Water 500g,https://www.yamibuy.com/en/p/hyosho-lemon-water-500g/1020055331,SANGARIA,1,$2.69,2 Options,,,1,,Japan,5
Melon Cream Soda 500ml,https://www.yamibuy.com/en/p/guzzling-melon-cream-soda-500mlpet/1020050721,POKKA SAPPORO,,,,$2.09,$2.29,Be the first!,,Japan,
VitaminI C Grape Ddink 500ml,https://www.yamibuy.com/en/p/master-kong-vitamini-c-grape-ddink-500ml/1020038761,MASTER KONG,1,,,$1.29,$1.49,1,,China,5
DONG SUH FOODS Solomon't Seal Tea 500ml,https://www.yamibuy.com/en/p/dong-suh-foods-solomon-t-seal-tea-500ml/1020020241,Dong Suh Foods Corporation,1,$1.69,4 Options,,,1,Korea,Korea,4
Soda Drink Melon Flavor,https://www.yamibuy.com/en/p/soda-drink-melon-flavor/1020056771,SANGARIA,,,,$2.09,$2.29,Be the first!,,Japan,
Shuwashuwa Melon Soda 500ml,https://www.yamibuy.com/en/p/shuwashuwa-melon-soda-500ml/1020055261,SANGARIA,,,,$1.99,$2.29,Be the first!,,Japan,
Coconut Drink With Pupl 500ml,https://www.yamibuy.com/en/p/laguna-coconut-drink-with-pupl-500ml/1020034221,LAGUNA,1,$1.29,,,,1,,China,4
Dorian Soda 300ml,https://www.yamibuy.com/en/p/tomomasu-dorian-soda-300ml/1020013451,TOMOMASU,18,$2.19,5 Options,,,18,Japan,Japan,4.2
Karada Omoi No Hosui Seikatsu 600ml,https://www.yamibuy.com/en/p/karada-omoi-no-hosui-seikatsu-600ml/1020059451,ASAHI,,,,$2.29,$3.29,Be the first!,,Japan,
Orange Soda 450ml,https://www.yamibuy.com/en/p/mitsuya-japan-fruit-shiranui-450ml-pet/1020050591,ASAHI,1,$2.79,,,,Be the first!,,Japan,5
Orange Collagen Sparkling Water 410ml,https://www.yamibuy.com/en/p/orange-collagen-sparkling-water-410ml/1020056151,Youth Lock,,$2.49,4 Options,,,Be the first!,,China,
Natchan Orange Papper pack 250g,https://www.yamibuy.com/en/p/suntory-natchan-orange-papper-pack-250g/1020020371,SUNTORY,,$2.19,,,,Be the first!,Japan,Japan,
Grass Jelly Drink Coconut Flavor 320g,https://www.yamibuy.com/en/p/chinchin-grass-jelly-drink-coconut-flavor-320g/1020007851,CHINCHIN,,$0.99,5 Options,,,Be the first!,Taiwan,Taiwan,
Sparkling Water Black Razzberry 340g,https://www.yamibuy.com/en/p/sparkling-water-black-razzberry-340g/1020058521,LACROIX,1,$0.89,,,,1,,United States,5
【Value Set】WONGLOKAT Black Herbal Tea 6 pc 310ml * 6,https://www.yamibuy.com/en/p/value-set-wonglokat-black-herbal-tea-6-pc-310ml-6/1020031991,WANGLAOJI,51,,2 Options,$9.19,$10.14,51,China,China,4.6
ICE PEAK Dark Plum Soup 310ml,https://www.yamibuy.com/en/p/ice-peak-dark-plum-soup-310ml/1020006821,BING FENG,61,$1.19,2 Options,,,61,China,China,4.3
Xiao Ming Liu Liu Da Tea 480ml,https://www.yamibuy.com/en/p/unif-xiao-ming-liu-liu-da-tea-480ml/1020006791,Unif,121,,5 Options,$1.59,$1.69,121,China,Taiwan,4.6
Cool Cold Ice Black Tea Iced Mint 500ml,https://www.yamibuy.com/en/p/master-kong-cool-cold-ice-black-tea-iced-mint-500ml/1020029291,MASTER KONG,10,$1.39,11 Options,,,10,Cool Cold Ice Black Tea,China,5
Premium Morning Tea Milk 550ml,https://www.yamibuy.com/en/p/suntory-premium-morning-tea-milk-550ml/1020015661,SUNTORY,63,$2.19,5 Options,,,63,Japan,Japan,4
Green Apple Flavor Soda Sparkling Water Can 330ml,https://www.yamibuy.com/en/p/green-apple-flavor-soda-sparkling-water-can-330ml/1020057491,Genki Forest,42,$1.49,7 Options,,,42,,China,4.7
Sparkling Water Lemon Flavor 330ml,https://www.yamibuy.com/en/p/sparkling-water-lemon-flavor-310ml/1020054551,ARCTIC OCEAN,2,$1.49,,,,2,,China,4
Cherry Blossom Peach Sparkling Drink 275ml,https://www.yamibuy.com/en/p/cherry-blossom-peach-sparkling-275ml/1020047261,ERCHANG,39,,6 Options,$2.69,$3.29,39,Cherry Blossom-Peach,China,4.8
Alien Electrolyte Water Lychee Sea Salt 500ml,https://www.yamibuy.com/en/p/alien-electrolyte-water-lychee-sea-salt-500ml/1020054251,Genki Forest,17,$2.09,,,,17,,China,4.7
Soy Milk Beverage 245ml,https://www.yamibuy.com/en/p/plant-protein-beverage/1020047791,Viee,15,$1.69,,,,15,,China,4.7
【Value Set】Cucumber Soda Water 480ml * 15pc,https://www.yamibuy.com/en/p/genki-forest-cucumber-soda-water-480ml-15pc/1020031131,Genki Forest,20,,9 Options,$23.99,$29.85,20,Bottle,China,4.9
CC Japan Craftea Luxury Peach Honey Black Tea 410ml,https://www.yamibuy.com/en/p/kochakaden-craftea/1020037181,COCA COLA,31,,,$2.09,$2.49,31,,United States,4.7
Let's Be Mild Coffee 175ml,https://www.yamibuy.com/en/p/lotte-let-s-be-mild-coffee-175ml/1020006991,LOTTE Korea,45,$0.99,,,,45,Korea,Korea,4.5
Fun Marble Drink Ramune Soft Carbonated Drink Yuzu Citrus Flavor 200ml,https://www.yamibuy.com/en/p/kimura-ramune-soda-yuzu-citrus-flavor-200ml/1020009511,KIMURA元祖,34,,,$1.49,$1.59,34,Japan,Japan,4.7
Lemon Black Tea 500 ml,https://www.yamibuy.com/en/p/nongfuspring-lemon-black-tea-500-ml/1020007341,NONGFUSPRING,50,$1.99,5 Options,,,Be the first!,China,China,4.7
Jasmine Fruit Tea 500ml,https://www.yamibuy.com/en/p/master-kong-jasmine-fruit-tea-500ml/1020008091,MASTER KONG,34,$1.49,,,,34,China,China,4.5
Eastern Leaves Jasmine Tea 500ml,https://www.yamibuy.com/en/p/nongfuspring-eastern-leaves-jasmine-tea-500ml/1020015111,NONGFUSPRING,19,$1.89,,,,19,China,China,4.8
Wax-Gourd Tea Drink 960ml,https://www.yamibuy.com/en/p/wax-gourd-tea-drink-960ml/1020033261,GREEN DOT,,$3.49,,,,Be the first!,,Taiwan,
Peach Drink 250mlx6pk,https://www.yamibuy.com/en/p/ksf-peach-drink-250mlx6-pk/1020061351,MASTER KONG,4,$5.29,,,,4,,China,4.5
Eenrgy Drink White Peach Flavor 550ml,https://www.yamibuy.com/en/p/jianjiao-eenrgy-drink-white-peach-flavor-550ml/1020041161,NONGFUSPRING,29,$1.89,,,,29,,China,4.9
Demi Soda Grapefruit Flavor 250ml,https://www.yamibuy.com/en/p/dong-a-demi-soda-grape-fruit-250ml/1020040641,DONG-A,35,,,$1.09,$1.29,35,,Korea,4.5
FRUITS ADE Apple Peach Mango Soft Drink,https://www.yamibuy.com/en/p/cheerio-3tsu-no-kajitsu/1020041931,Japanese,12,$1.99,,,,12,,Japan,4.6
JIANJIAO Sport Drink Peptide 550ml,https://www.yamibuy.com/en/p/jianjiao-sport-drink-peptide-550ml/1020009611,NONGFUSPRING,42,$2.49,2 Options,,,42,China,China,4.9
TRIPLE SPECIALTY DRINK,https://www.yamibuy.com/en/p/minute-maid-triple-specialty-drink/1020016321,MINUTE MAID,3,$1.69,4 Options,,,3,China,United States,5
Ramune Orange Soda 27g,https://www.yamibuy.com/en/p/ramune-orange-soda-27g/1020062841,MORINAGA,1,$1.29,,,,1,,Japan,5
Grass Jelly Dessert 320g,https://www.yamibuy.com/en/p/chinchin-grass-jelly-dessert-320g/1020008001,CHINCHIN,17,$1.29,,,,17,Taiwan,CHINCHIN,3.6
Iced Lemon Black Tea 310ml,https://www.yamibuy.com/en/p/master-kong-iced-lemon-black-tea-310ml/1020009911,MASTER KONG,12,$0.99,1 Options,,,12,China,China,4.4
Osmanthus Plum Drink 400ml,https://www.yamibuy.com/en/p/jiu-long-zhai-osmanthus-plum-drink-400ml/1020015851,JIU LONG ZHAI,27,$1.99,2 Options,,,27,China,China,3.8
Pepsi Salty Lychee 245ml,https://www.yamibuy.com/en/p/suntory-pepsi-salty-lychee/1020042051,SUNTORY,14,$2.49,,,,14,,Japan,4.2
Mistio Lemon Sparkling 16.9oz,https://www.yamibuy.com/en/p/mistio-lemon-sparkling-16-9oz/1020057131,DYDO,1,$1.99,,,,1,,Japan,5
Fun Marble Drink Ramune Soft Carbonated Drink Melon Flavor 200ml,https://www.yamibuy.com/en/p/kimura-ramune-soda-melon-flavor-200ml/1020009461,KIMURA元祖,12,,,$1.49,$1.59,12,Japan,Japan,4.6
Plum Soda 275ml,https://www.yamibuy.com/en/p/erchang-plum-soda-275ml/1020039321,ERCHANG,21,,6 Options,$2.69,$3.99,21,,China,4.8
Micro-bubble Water White Cherry Flavor 500ml,https://www.yamibuy.com/en/p/kenlib-micro-bubble-water-white-cherry-flavor-500ml/1020041511,KENLIB,24,$1.99,,,,24,,China,4.6
Kagoshima Chiran Kocha Sugar Free 500ml,https://www.yamibuy.com/en/p/pokka-sapporo-kagoshima-chiran-kocha-muto-500ml/1020044651,POKKA SAPPORO,6,$2.29,,,,6,,Japan,5
Bird's Nest Coconut Drink 180ml,https://www.yamibuy.com/en/p/bwell-bird-s-nest-coconut-drink-180ml/1020026791,BWELL,26,$4.99,4 Options,,,26,Thailand,Thailand,4.5
VITA Honey Lemon Tea 500ml,https://www.yamibuy.com/en/p/vita-honey-lemon-tea-500ml/1020004931,VITASOY,19,$1.39,3 Options,,,19,Hong Kong,Hong Kong,4.8
Demi Soda Orange Flavor 250ml,https://www.yamibuy.com/en/p/dong-a-demi-soda-orange-250ml/1020040611,DONG-A,11,,,$1.09,$1.29,11,,Korea,4.3
Ramune Super Kiwi Flavor 200ml,https://www.yamibuy.com/en/p/fuji-soda-super-kiwi-ramune-200ml/1020038411,FUJIYA,3,,5 Options,$1.69,$1.79,3,,Japan,4.7
Aloe Vera King Natural Flavored Aloe Drink 500ml,https://www.yamibuy.com/en/p/okf-aloe-vera-king-natural-flavored-aloe-drink-500ml/1020005291,OKF,23,$1.39,,,,23,Korea,Korea,4.2
TAOTI Kyobo Grape Flavor Drink Carbonated 500ml,https://www.yamibuy.com/en/p/taoti-kyobo-grape-flavor-drink-carbonated-500ml/1020021831,TAO TI,19,$1.99,6 Options,,,19,Taiwan,Taiwan,4.9
Genki Sparkling Water Yogurt Flavor 330ml*6,https://www.yamibuy.com/en/p/genki-sparkling-water-yogurt-flavor-330ml/1020060491,Genki Forest,2,,,$8.94,$8.99,2,,China,4.5
Aloe- Strawberry Soft Drink 500ml,https://www.yamibuy.com/en/p/yogo-vera-aloe-strawberry-soft-drink-500ml/1020013071,Yogo Vera,4,$1.69,6 Options,,,4,Korea,Korea,4.5
"Pepsi Cinnamon Coke, 245ml",https://www.yamibuy.com/en/p/tokuho-pepsi-sweet-cinnamon-suntory/1020043671,SUNTORY,4,$2.99,,,,4,,Japan,5
FUJI SODA Original Ramune 200ml,https://www.yamibuy.com/en/p/fuji-soda-original-ramune-200ml/1020033961,FUJI  SODA,2,,,$1.69,$1.79,2,,Japan,5
Ba Wang Si Soda Pear Flavor 550ml,https://www.yamibuy.com/en/p/ba-wang-si-soda-pear-flavor-550ml/1020031281,BAWANGSI,50,,5 Options,$1.49,$1.79,50,China,China,4.7
Qoo Orange Flavored Drink  470g,https://www.yamibuy.com/en/p/minute-maid-qoo-orange-flavored-drink-470g/1020020351,MINUTE MAID,2,$2.69,3 Options,,,2,Japan,United States,5
Yogurt Drink 4 Packs 125ml*4,https://www.yamibuy.com/en/p/want-want-yogurt-drink-4-packs-125ml-4/1020011121,WANT WANT,11,$2.99,2 Options,,,11,China,Taiwan,4
Peach Soda 275ml,https://www.yamibuy.com/en/p/erchang-peach-soda-275ml/1020039361,ERCHANG,12,,,$3.69,$3.99,12,,China,4.5
Black Tea with Muscat Low Sugar,https://www.yamibuy.com/en/p/ucc-kocha-no-jikan-tea-w-muscat/1020042091,UCC,12,$2.49,,,,12,,Japan,5
Apple Soda 330ml,https://www.yamibuy.com/en/p/apple-soda-330ml/1020052141,BING FENG,4,$1.19,,,,Be the first!,,China,5
Lemon Soda,https://www.yamibuy.com/en/p/pokka-sapporo-natsuzora-shikuwasa-soda/1020042021,POKKA SAPPORO,10,$1.99,,,,10,,Japan,4.9
Coconut Water 500ml,https://www.yamibuy.com/en/p/ufc-coconut-water-500ml/1020006491,UFC,11,,,$1.99,$2.09,11,,Thailand,4.4
Kawaii Ramune 260ml,https://www.yamibuy.com/en/p/kawaii-ramune-260ml/1020055161,SANGARIA,,$1.89,,,,Be the first!,,Japan,
Crystal Sugar Grapefruit Drink 500ml,https://www.yamibuy.com/en/p/master-kong-crystal-sugar-grapefruit-drink-500ml/1020029461,MASTER KONG,7,,,$1.29,$1.49,7,China,China,4.9
FUJI SODA Super Lemon (Ramune) 200ml,https://www.yamibuy.com/en/p/fuji-soda-super-lemon-ramune-200ml/1020034031,FUJI  SODA,5,$1.79,,,,5,,Japan,5
Craft Boss Straight Tea 450ml,https://www.yamibuy.com/en/p/craft-boss-straight-tea-450ml/1020057891,SUNTORY,3,,,$2.69,$2.89,3,,Japan,4.7
Oi Ocha Koi Cha Slim 1L,https://www.yamibuy.com/en/p/oi-ocha-koi-cha-slim-1l/1020057761,ITO EN,3,$4.29,,,,3,,Japan,5
Herbal tea plant drink 500ml bottle,https://www.yamibuy.com/en/p/wanglaoji-herbal-tea-plant-drink-500ml-bottle/1020042951,WANGLAOJI,35,$1.49,,,,35,,China,4.9
【Value Set】Unsweetened Dark Green Tea 500ml * 12pc,https://www.yamibuy.com/en/p/value-set-ito-en-unsweetened-dark-green-tea-500ml-12pc/1020031751,ITO EN,9,,,$21.99,$23.88,9,Taiwan,Japan,5
100% Natural Pink Coconut Water 340ml,https://www.yamibuy.com/en/p/nutrivsta-100-natural-pink-coconut-water-340ml/1020019201,NUTRIVSTA,40,,2 Options,$2.69,$3.29,40,United States,Thailand,4.2
Light Drink Original 500ml,https://www.yamibuy.com/en/p/yili-group-light-drink-original-500ml/1020036991,Yili Group,47,$2.09,3 Options,,,47,Original,China,4.8
MITSUYA Tokusei Lemonade 431g,https://www.yamibuy.com/en/p/asahi-mitsuya-tokusei-lemonade-431g/1020045621,ASAHI,8,$2.49,,,,8,,Japan,4.6
Kenko Mineral Mugicha 650ml,https://www.yamibuy.com/en/p/kenko-mineral-mugicha-650ml/1020057791,ITO EN,2,$2.39,,,,2,,Japan,5
OTSUKA Soft Drink (Pocari Sweat) 500ml,https://www.yamibuy.com/en/p/otsuka-soft-drink-pocari-sweat-500ml/1020033971,Otsuka Oronine,2,$3.39,,,,2,,Japan,4
Tropical Flavor Drink 420ml,https://www.yamibuy.com/en/p/minute-maid-tropical-flavor-drink-420ml/1020016331,MINUTE MAID,5,$1.69,4 Options,,,5,China,United States,5
Ramune Soda Lychee 200ml,https://www.yamibuy.com/en/p/shirakiku-ramune-soda-lychee-200ml/1020010731,SHIRAKIKU,31,,9 Options,$1.69,$1.79,31,Japan,Japan,4.9
100% Natural Coconut Water 500ml,https://www.yamibuy.com/en/p/coco-king-100-natural-coconut-water-500ml/1020028861,COCO KING,6,,,$1.19,$1.59,6,Thailand,Thailand,4
【Value Set】Roasted Green Tea Unsweetened 500ml * 12pc,https://www.yamibuy.com/en/p/value-set-ito-en-roasted-green-tea-unsweetened-500ml-12pc/1020031491,ITO EN,5,,8 Options,$19.99,$23.88,5,Taiwan,Japan,3.6
Welch‘s Grape Flavor Drink 280ml,https://www.yamibuy.com/en/p/welch-s-budo-yural-no-polyphenol-280ml/1020054741,ASAHI,3,$2.29,,,,3,,Japan,5
Plum Drink  310ml,https://www.yamibuy.com/en/p/master-kong-plum-drink-310ml/1020012991,MASTER KONG,8,$0.99,,,,8,China,China,3.9
HBL Peanut Drink 300ml,https://www.yamibuy.com/en/p/hbl-peanut-drink-300ml/1020017841,Hong Bao Lai,,$1.09,,,,Be the first!,Not Organic,China,
Assam Thai Milk Tea 300ml*6,https://www.yamibuy.com/en/p/t-grand-assam-thai-milk-tea-300ml-6/1020041201,T.GRAND,2,$5.99,,,,2,,Taiwan,4
Korean Red Ginseng Drink 120ml,https://www.yamibuy.com/en/p/sura-red-ginseng-drink-10-120ml/1020040581,SURASANG,1,$2.59,,,,Be the first!,,Korea,5
Melon Soda  335ml,https://www.yamibuy.com/en/p/melon-soda-335g/1020058961,SFC,1,,,$1.49,$1.59,1,,Korea,5
Craft Boss Lemon Tea 450ml,https://www.yamibuy.com/en/p/kraft-boss-lemon-tea-450ml-pet/1020050411,SUNTORY,4,$2.69,,,,4,,Japan,4.8
Lychee Flavor Water 530ml,https://www.yamibuy.com/en/p/nongfuspring-lychee-flavor-water-530ml/1020012641,NONGFUSPRING,5,$1.89,,,,5,China,China,3.4
台湾道地 极品乌龙茶 500ml,https://www.yamibuy.com/en/p/500ml/1020036561,TAO TI,3,$1.99,,,,3,,Taiwan,5
WHITE GROUND DRINK 340ml,https://www.yamibuy.com/en/p/rico-white-ground-drink-340ml/1020014521,RICO,8,$0.99,,,,8,Taiwan,Taiwan,4.1
Non-Carbonated Mini Soft Drink 4Packs Fruits&Veggies Flavor  840ml,https://www.yamibuy.com/en/p/calpico-non-carbonated-mini-soft-drink-4packs-fruits-veggies-flavor-840ml/1020017621,CALPICO,3,$5.25,,,,3,Thailand,Japan,5
Sparkling Water Yugurt Flavor 320ml,https://www.yamibuy.com/en/p/sparkling-water-yugurt-flavor-320ml/1020056301,Yili Group,19,$2.49,2 Options,,,19,,China,4.7
Calpis Teaumi Orange  Concentrate 470ml,https://www.yamibuy.com/en/p/calpis-teaumi-orange-470ml/1020054781,ASAHI,2,$5.99,,,,2,,Japan,5
Calpis Kanjyuku Kyoho Grape Concentrate 470ml,https://www.yamibuy.com/en/p/calpis-kanjyuku-kyoho-470ml/1020054771,ASAHI,1,$5.99,,,,1,,Japan,4
Aloe Vera Drink Mango Flavor with Real Pulp 500ml,https://www.yamibuy.com/en/p/aloe-vera-drink-with-mango-real-pulp-500ml/1020049961,TROPICAL WORLD,6,$0.99,,,,6,,Taiwan,4.8
Low Calories Jasmine Tea 500ml,https://www.yamibuy.com/en/p/otona-no-calolimit-jasmine-tea-500ml/1020055031,DYDO,2,$2.69,,,,2,,Japan,5
Pink Guava Flavored Drink With Coconut Jelly 320ml,https://www.yamibuy.com/en/p/mogu-mogu-pink-guava-flavored-drink-with-nata-de-coco-320ml/1020006041,MOGU MOGU,1,$1.09,14 Options,,,1,,Tailand,5
Yogurt Soft Drink 4packs,https://www.yamibuy.com/en/p/wahaha-yogurt-soft-drink-4packs/1020005041,WAHAHA,22,$5.09,,,,22,,China,4.5
VITA Lemon Tea 500ml,https://www.yamibuy.com/en/p/vita-lemon-tea-500ml/1020004941,VITASOY,34,$1.39,3 Options,,,34,Hong Kong,Hong Kong,4.6
