Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Chongqing Instant Hot Sour Noodles 300g,https://www.yamibuy.com/en/p/jinpai-chong-qing-instant-noodle-sour-hot-flavor-257g/1021029591?scene=item_search.result&bu_type=search&module_name=input&index=14&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KINGS NOODLE,469,$4.99,,,,Chongqing Instant Hot Sour Noodles 300g,470,,China,4.4
NoodleZero 6 pack single - Seafood,https://www.yamibuy.com/en/p/noodlezero-6-pack-single-seafood/1021087701?scene=item_search.result&bu_type=search&module_name=input&index=15&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Noodle Zero,,$23.49,,,,NoodleZero 6 pack single - Seafood,Be the first!,,United States,
JINPAI Chong Qing Noodles 178g,https://www.yamibuy.com/en/p/jinpai-chong-qing-noodles-100g/1021029581?scene=item_search.result&bu_type=search&module_name=input&index=16&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KINGS NOODLE,364,$4.99,,,,JINPAI Chong Qing Noodles 178g,364,China,China,4.6
Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-spicy-seafood-flavor-73g/1021002141?scene=item_search.result&bu_type=search&module_name=input&index=17&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,275,$1.89,,,,Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,276,Japan,Japan,4.7
"River Snails Rice Noodle Liuzhou specialty, 268g",https://www.yamibuy.com/en/p/liuquan-instant-spicy-rice-noodle-268g/1021006101?scene=item_search.result&bu_type=search&module_name=input&index=18&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUQUAN,1388,$3.99,,,,"River Snails Rice Noodle Liuzhou specialty, 268g",Be the first!,,China,4.62
Demae Ramen Noodle With Black Garlic Oil Tonkotsu Pork Flavor 106g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-black-garlic-oil-tonkotsu-pork-flavor-106g/1021040651?scene=item_search.result&bu_type=search&module_name=input&index=19&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,71,$2.39,,,,Demae Ramen Noodle With Black Garlic Oil Tonkotsu Pork Flavor 106g,71,Hong Kong,Japan,4.7
Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,https://www.yamibuy.com/en/p/nissin-demae-ramen-noodle-with-soup-base-xo-sauve-seafood-flavor-100g/1021002231?scene=item_search.result&bu_type=search&module_name=input&index=20&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,53,,$0.79,$1.29,39% OFF,Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,55,Japan,Japan,4.7
Konjac Jelly Noodle,https://www.yamibuy.com/en/p/konjac-jelly-noodle/1021087481?scene=item_search.result&bu_type=search&module_name=input&index=21&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUANXIAN,4,$3.99,,,,Konjac Jelly Noodle,4,,China,4.2
Cup Noodles Instant Noodle Seafood Flavor 72g,https://www.yamibuy.com/en/p/nissin-cup-noodles-instant-noodle-seafood-flavor-75g/1021002151?scene=item_search.result&bu_type=search&module_name=input&index=22&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,221,$1.89,,,,Cup Noodles Instant Noodle Seafood Flavor 72g,221,Japan,Japan,4.6
Ramen Noodle Soup Umami Tonkotsu Flavor 100g,https://www.yamibuy.com/en/p/nissin-raoh-ramen-noodle-soup-umami-tonkotsu-flavor-100g/1021006201?scene=item_search.result&bu_type=search&module_name=input&index=23&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NISSIN,289,$2.79,,,,Ramen Noodle Soup Umami Tonkotsu Flavor 100g,289,Japan,Japan,4.6
Lanzhou Beef Flavored Noodle 5PCS,https://www.yamibuy.com/en/p/lanzhou-beef-flavored-noodle-5pcs/1021086881?scene=item_search.result&bu_type=search&module_name=input&index=24&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BAIJIA,16,,$8.99,$9.39,5% OFF,Lanzhou Beef Flavored Noodle 5PCS,16,Chill&Vinegar Flavor,China,4.4
"River Snails Rice Noodle Original, 315g",https://www.yamibuy.com/en/p/liuquan-instant-original-noodle-315g/1021041891?scene=item_search.result&bu_type=search&module_name=input&index=25&content=noodle,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LIUQUAN,463,,$3.99,$4.99,21% OFF,"River Snails Rice Noodle Original, 315g",463,,China,4.7
