Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,brand-variants,price-valid,price-invalid,price-discount,Headline,Field1,Field2,Field3,Field4
Green Tea & Red Bean Cookies 90g,https://www.yamibuy.com/en/p/bestore-green-tea-red-bean-cookies-90g/1016029751,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BESTORE,15,$2.99,,,,,Green Tea & Red Bean Cookies 90g,4.2,China,BESTORE,15
Wife Cakes Durian Flavor 300g,https://www.yamibuy.com/en/p/dongwangyang-wife-cakes-durian-flavor-300g/1016016061,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DONGWANGYANG,9,$3.99,,,,,Wife Cakes Durian Flavor 300g,3.1,Macao,DONGWANGYANG,9
Levain Herb Sandwich Cookie Mozzarella Flavor 50g,https://www.yamibuy.com/en/p/levain-herb-kaoru-mozzarella-50g/1016088871,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YBC,7,,,$2.69,$2.99,11% OFF,Levain Herb Sandwich Cookie Mozzarella Flavor 50g,4.7,Japan,YBC,7
Harvest Sweet Potato 100g,https://www.yamibuy.com/en/p/harvest-sweet-potato-100g/1016089851,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOHATO,2,$2.49,,,,,Harvest Sweet Potato 100g,4.5,Japan,TOHATO,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Chocolate cream cookies 102g,https://www.yamibuy.com/en/p/shoei-delicy-chocolate-cream-cookies-102g/1016032221,https://cdn.yamibuy.net/item/689bec5dc46cd2829b2cea59ba7dd241_684x684.webp,SHOEI DELICY,7,$4.29,,,,,Chocolate cream cookies 102g,5,Japan,SHOEI DELICY,7
Samurai Cookie-Milk&Custard Flavor 480g,https://www.yamibuy.com/en/p/samurai-cookie-milk-custard-flavor-480g/1016086021,https://cdn.yamibuy.net/item/8adca103005923c87681d85c1be7ace1_684x684.webp,SABLE,1,$11.99,,,,,Samurai Cookie-Milk&Custard Flavor 480g,5,China,SABLE,1
KUKKIA Whipped Chocolate Sandwiched with Cookie Green Tea Flavor 119g,https://www.yamibuy.com/en/p/akaibohshi-kukkia-whipped-chocolate-sandwiched-with-cookie-green-tea-flavor-12pcs/1016014351,https://cdn.yamibuy.net/item/46e97478f208cc7e384fda7bb3f1016c_684x684.webp,AKAIBOHSHI,4,$6.99,,,,,KUKKIA Whipped Chocolate Sandwiched with Cookie Green Tea Flavor 119g,4.8,Japan,AKAIBOHSHI,4
Choco Thinthin Biscuit 88g,https://www.yamibuy.com/en/p/haitai-choco-thinthin-biscuit-88g/1016003511,https://cdn.yamibuy.net/item/dc59e8668dcb41da2e8e4f8f4680dc5a_684x684.webp,HAITAI,12,$2.09,,,,,Choco Thinthin Biscuit 88g,4.2,Korea,HAITAI,12
SHENG Cream Cookies 180g,https://www.yamibuy.com/en/p/sheng-cream-cookies-180g/1016013751,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TRIKOFOODS,12,$2.99,,,,,SHENG Cream Cookies 180g,4.5,Taiwan,TRIKOFOODS,12
