Title,Title_link,Thumbnail,brand-title,comment-star__count,Price,price-valid,price-invalid,price-discount,link-black,Headline,Field1,Field2
GOURMET FARM Preserved Duck Eggs Century Eggs 272g,https://www.yamibuy.com/en/p/gourmet-farm-preserved-duck-eggs-millennium-eggs-272g/1021021971?scene=item_search.result&bu_type=search&module_name=input&index=16&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHUANG YUAN,62,,$2.49,$2.89,14% OFF,,GOURMET FARM Preserved Duck Eggs Century Eggs 272g,4.8,China
Red Bean Sand Porridge 370g,https://www.yamibuy.com/en/p/taiqi-red-bean-sand-porridge-370g/1021042271?scene=item_search.result&bu_type=search&module_name=input&index=17&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TAIQI,40,,$1.59,$2.29,31% OFF,,Red Bean Sand Porridge 370g,4.9,China
Instant Herbal Cereal Original 450g,https://www.yamibuy.com/en/p/jzjt-instant-herbal-cereal-original-450g/1021028511?scene=item_search.result&bu_type=search&module_name=input&index=18&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JZJT,441,$23.99,,,,,Instant Herbal Cereal Original 450g,4.6,China
Red Bean Soup with Pearl Barley 300g Gluten Free,https://www.yamibuy.com/en/p/instant-purple-rice-porridge-300g-gluten-free/1147010121?scene=item_search.result&bu_type=search&module_name=input&index=19&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TOTOLE,19,$1.99,,,,,Red Bean Soup with Pearl Barley 300g Gluten Free,4.2,China
Dried purple yam Oatmeal 2 bags 90g,https://www.yamibuy.com/en/p/dried-purple-yam-oatmeal-2-bags-90g/1147007081?scene=item_search.result&bu_type=search&module_name=input&index=20&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BUYDEEM,12,$3.39,,,,,Dried purple yam Oatmeal 2 bags 90g,4.7,China
Taro and Mushroom Porridge 35gx3,https://www.yamibuy.com/en/p/sesame-oil-and-ginger-porridge-35gx3/1147011371?scene=item_search.result&bu_type=search&module_name=input&index=21&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Zen Eat,1,,$10.99,$11.99,9% OFF,,Taro and Mushroom Porridge 35gx3,5,Taiwan
GOURMET FARM Cooked Salted Duck Eggs 272g,https://www.yamibuy.com/en/p/gourmet-farm-cooked-salted-duck-eggs-272g/1021021981?scene=item_search.result&bu_type=search&module_name=input&index=22&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHUANG YUAN,114,,$2.39,$2.89,18% OFF,,GOURMET FARM Cooked Salted Duck Eggs 272g,4.7,China
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,https://www.yamibuy.com/en/p/red-bean-and-barley-rice-noodles-low-fat-and-high-fiber-classic-damp-removing-meal-replacement-powder-50/1147008401?scene=item_search.result&bu_type=search&module_name=input&index=23&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,23,,$17.99,$18.99,6% OFF,,Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,5,China
Fresh Slice Peach Bottle 425g,https://www.yamibuy.com/en/p/fresh-slice-peach-bottle-425g/1147008231?scene=item_search.result&bu_type=search&module_name=input&index=24&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LJPZ,29,,$2.19,$2.29,5% OFF,,Fresh Slice Peach Bottle 425g,4.7,China
Pearl Barley Congee 340g,https://www.yamibuy.com/en/p/agv-pearl-barley-congee-340g/1021008531?scene=item_search.result&bu_type=search&module_name=input&index=25&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,AGV,171,,$1.49,$1.99,26% OFF,,Pearl Barley Congee 340g,4.7,Taiwan
Milk Peanut with Soup 11.27 oz,https://www.yamibuy.com/en/p/milk-peanut-with-soup-11-27-oz/1020065071?scene=item_search.result&bu_type=search&module_name=input&index=26&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Chiao Kuo,,,$1.69,$1.99,16% OFF,,Milk Peanut with Soup 11.27 oz,,China
Kind-Rice Porridge 360g,https://www.yamibuy.com/en/p/coins-kind-rice-porridge-360g/1147003761?scene=item_search.result&bu_type=search&module_name=input&index=27&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,COINS,11,$1.79,,,,,Kind-Rice Porridge 360g,4.6,China
Fresh Stewed White Fungus,https://www.yamibuy.com/en/p/fresh-stewed-white-fungus-1176g-box/1147011641?scene=item_search.result&bu_type=search&module_name=input&index=28&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,,$3.99,,,,,Fresh Stewed White Fungus,,China
Green and Red Chilli Preserved Vegetable 80g,https://www.yamibuy.com/en/p/yuquan-green-and-red-chilli-preserved-vegetable-80g/1021047351?scene=item_search.result&bu_type=search&module_name=input&index=29&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUQUAN,7,$0.69,,,,,Green and Red Chilli Preserved Vegetable 80g,4.9,China
Sweet Mixed Porridge 350 g,https://www.yamibuy.com/en/p/sweet-mixed-porridge-350-g/1147012611?scene=item_search.result&bu_type=search&module_name=input&index=30&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Chiao Kuo,,$1.69,,,,,Sweet Mixed Porridge 350 g,,China
Walnut Sesame Powder 500g,https://www.yamibuy.com/en/p/500g/1147008411?scene=item_search.result&bu_type=search&module_name=input&index=31&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MR FANG'S STORE,41,,$16.99,$18.99,11% OFF,,Walnut Sesame Powder 500g,4.6,China
Canned Sweet Hawthorn 720g,https://www.yamibuy.com/en/p/canned-sweet-hawthorn-720g/1147012941?scene=item_search.result&bu_type=search&module_name=input&index=32&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHIWEITANG,,$5.99,,,,,Canned Sweet Hawthorn 720g,,China
Canned Preserved Peach 720g,https://www.yamibuy.com/en/p/canned-preserved-peach-720g/1147012951?scene=item_search.result&bu_type=search&module_name=input&index=33&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHIWEITANG,,$5.99,,,,,Canned Preserved Peach 720g,,China
Black Grass Jelly 19oz,https://www.yamibuy.com/en/p/black-grass-jelly-19oz/1147012981?scene=item_search.result&bu_type=search&module_name=input&index=34&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MIFENG,,$2.49,,,,,Black Grass Jelly 19oz,,China
Konjac Jelly Pineapple Flavor 263g,https://www.yamibuy.com/en/p/konjac-jelly-pineapple-flavor-263g/1147010591?scene=item_search.result&bu_type=search&module_name=input&index=35&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,1,$2.99,,,,,Konjac Jelly Pineapple Flavor 263g,5,China
Konjac Jelly,https://www.yamibuy.com/en/p/konjac-jelly/1147010831?scene=item_search.result&bu_type=search&module_name=input&index=36&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUANXIAN,6,$3.49,,,,,Konjac Jelly,4.7,China
Cranberry Tremella Soup 75g,https://www.yamibuy.com/en/p/cranberry-tremella-soup-75g/1147007101?scene=item_search.result&bu_type=search&module_name=input&index=37&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BUYDEEM,6,$4.99,,,,,Cranberry Tremella Soup 75g,5,China
Lychee In Syrup 20oz,https://www.yamibuy.com/en/p/lychee-in-syrup-20oz/1147012971?scene=item_search.result&bu_type=search&module_name=input&index=38&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,DRAGONFLY BRAND,,$3.69,,,,,Lychee In Syrup 20oz,,China
Konjac Jelly Brown Sugar 263g,https://www.yamibuy.com/en/p/konjac-jelly-brown-sugar-263g/1147010581?scene=item_search.result&bu_type=search&module_name=input&index=39&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,YUMEI,5,$2.99,,,,,Konjac Jelly Brown Sugar 263g,5,China
Organic Pickled Cabbage 454g,https://www.yamibuy.com/en/p/gourmet-farm-organic-pickled-cabbage-454g/1021009041?scene=item_search.result&bu_type=search&module_name=input&index=40&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ZHUANG YUAN,26,$3.19,,,,,Organic Pickled Cabbage 454g,4.8,China
Black Sesame Dessert 250g,https://www.yamibuy.com/en/p/black-sesame-dessert-250g/1147010951?scene=item_search.result&bu_type=search&module_name=input&index=41&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHUNNAN,3,$3.69,,,,,Black Sesame Dessert 250g,4.7,China
Lily Bulbs Polygonatum Lotus Seed Soup 78g,https://www.yamibuy.com/en/p/lily-bulbs-polygonatum-lotus-seed-soup-90g/1147007111?scene=item_search.result&bu_type=search&module_name=input&index=42&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BUYDEEM,6,$5.12,,,,,Lily Bulbs Polygonatum Lotus Seed Soup 78g,4.8,China
Pita Bread in Soup 265g,https://www.yamibuy.com/en/p/pita-bread-in-soup-265g/1147010141?scene=item_search.result&bu_type=search&module_name=input&index=43&content=desserts,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Liuyipao,1,$4.99,,,,,Pita Bread in Soup 265g,3,China
