Title,Title_link,Thumbnail,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3,Field4
TK FOOD Purple Sweet Potato Cookies 230g,https://www.yamibuy.com/en/p/tk-food-purple-sweet-potato-cookies-230g/1016019531?scene=item_search.result&bu_type=search&module_name=input&index=18&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$6.29,128,TK FOOD Purple Sweet Potato Cookies 230g,,Taiwan,Taiwan,TKFOOD
Crepe Dentelle Cookies 500g,https://www.yamibuy.com/en/p/gavottes-crepe-dentelle-cookies-500g/1016007681?scene=item_search.result&bu_type=search&module_name=input&index=19&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GAVOTTES,$24.99,4,Crepe Dentelle Cookies 500g,,France,,GAVOTTES
Shaped Butter Cookies 78g,https://www.yamibuy.com/en/p/styling-butter-cookies-39g/1016081731?scene=item_search.result&bu_type=search&module_name=input&index=20&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HELLO KITTY,$6.99,6,Shaped Butter Cookies 78g,,Japan,Butter Flavor,HELLO KITTY
Almond Cookies Oriingal 120g,https://www.yamibuy.com/en/p/almond-cookies-oriingal-120g/1016097511?scene=item_search.result&bu_type=search&module_name=input&index=21&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,IMPERIAL PALACE,$4.99,,Almond Cookies Oriingal 120g,,China,,IMPERIAL PALACE
CHIO HEONG YUEN Walnut Cookies 340g,https://www.yamibuy.com/en/p/chio-heong-yuen-walnut-cookies-340g/1016000921?scene=item_search.result&bu_type=search&module_name=input&index=22&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,$9.99,22,CHIO HEONG YUEN Walnut Cookies 340g,,Macao,Macao,CHOI HEONG YUEN
Milk and Custard Falvor Cookies 128g,https://www.yamibuy.com/en/p/samurai-milk-custard-cookies-128g/1016096781?scene=item_search.result&bu_type=search&module_name=input&index=23&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SABLE,$4.89,,Milk and Custard Falvor Cookies 128g,,China,,SABLE
Shaped Earl Grey Tea Cookies 78g,https://www.yamibuy.com/en/p/styling-earl-grey-tea-cookies-39g/1016081741?scene=item_search.result&bu_type=search&module_name=input&index=24&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,HELLO KITTY,$6.99,8,Shaped Earl Grey Tea Cookies 78g,,Japan,Earl Grey Tea,HELLO KITTY
Mango and Cranberry Flavor Cookies 128g,https://www.yamibuy.com/en/p/samurai-mango-cranberry-cookies-128g/1016096771?scene=item_search.result&bu_type=search&module_name=input&index=25&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SABLE,$4.89,1,Mango and Cranberry Flavor Cookies 128g,,China,,SABLE
TK FOOD Black Sesame Cookies 230g,https://www.yamibuy.com/en/p/tk-food-black-sesame-cookies-230g/1016003911?scene=item_search.result&bu_type=search&module_name=input&index=26&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$6.29,72,TK FOOD Black Sesame Cookies 230g,,Taiwan,Taiwan,TKFOOD
MOEGINO Cookies 20pcs 95.8g,https://www.yamibuy.com/en/p/moegino-20pcs-148g/1016092591?scene=item_search.result&bu_type=search&module_name=input&index=27&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TIVOLI TIVON,$5.99,10,MOEGINO Cookies 20pcs 95.8g,,Japan,,TIVOLI TIVON
Caramel Speculaas Cookies 130g,https://www.yamibuy.com/en/p/jans-caramel-speculaas-cookies-130g/1016017361?scene=item_search.result&bu_type=search&module_name=input&index=28&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,JANS,$1.89,17,Caramel Speculaas Cookies 130g,,United States,Indonesia,JANS
TK FOOD Almond Thousand Layers Cookies 120g,https://www.yamibuy.com/en/p/tk-food-almond-thousand-layers-cookies-120g/1016001721?scene=item_search.result&bu_type=search&module_name=input&index=29&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$2.69,69,TK FOOD Almond Thousand Layers Cookies 120g,,Taiwan,Taiwan,TKFOOD
Bakery Mini Almond Walnut Cookies 180g,https://www.yamibuy.com/en/p/choi-heong-yuen-bakery-mini-almond-walnut-cookies-200g/1016031941?scene=item_search.result&bu_type=search&module_name=input&index=30&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,$5.99,2,Bakery Mini Almond Walnut Cookies 180g,,Macao,Macao,CHOI HEONG YUEN
Premium Family Assorted Cookies 1224g,https://www.yamibuy.com/en/p/premium-family-assort-1224g/1016078681?scene=item_search.result&bu_type=search&module_name=input&index=31&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GARDEN,$22.99,,Premium Family Assorted Cookies 1224g,,Hong Kong,,GARDEN
MOEGINO Cookies 32pcs 153g,https://www.yamibuy.com/en/p/moegino-32pcs-256g/1016092601?scene=item_search.result&bu_type=search&module_name=input&index=32&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TIVOLI TIVON,$10.99,4,MOEGINO Cookies 32pcs 153g,,Japan,,TIVOLI TIVON
Alfort Chocolate Cookies 199g,https://www.yamibuy.com/en/p/alfort-chocolate-cookies-199g/1016080981?scene=item_search.result&bu_type=search&module_name=input&index=33&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,$4.99,9,Alfort Chocolate Cookies 199g,,Japan,,BOURBON
Butter Cookies Tin 454g,https://www.yamibuy.com/en/p/royal-danish-butter-cookies-tin-454g/1016003791?scene=item_search.result&bu_type=search&module_name=input&index=34&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,ROYAL DANISH,$5.99,25,Butter Cookies Tin 454g,,Denmark,454g,ROYAL DANISH
Cashew Cookies 170g,https://www.yamibuy.com/en/p/choi-heong-yuen-cashew-cookies-190g/1016001471?scene=item_search.result&bu_type=search&module_name=input&index=35&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Choi Heong Yuen Bakery,$6.29,16,Cashew Cookies 170g,,Macao,Macao,CHOI HEONG YUEN
White Rollita Cookies 98g,https://www.yamibuy.com/en/p/bourbon-white-rollita-cookies-99g/1016001951?scene=item_search.result&bu_type=search&module_name=input&index=36&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,BOURBON,$1.99,45,White Rollita Cookies 98g,,Japan,Japan,BOURBON
M Baker'sChocolate Cookies 147g,https://www.yamibuy.com/en/p/furuta-m-baker-schocolate-cookies-147g/1016068571?scene=item_search.result&bu_type=search&module_name=input&index=37&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FURUTA,$4.99,7,M Baker'sChocolate Cookies 147g,,Japan,,FURUTA
Korean Style Fried Cookies 350g,https://www.yamibuy.com/en/p/korean-fried-cookie-nh/1016059971?scene=item_search.result&bu_type=search&module_name=input&index=38&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,NONGHYUP,$4.49,17,Korean Style Fried Cookies 350g,,Korea,,NONGHYUP
Homemade Type Peanut Cookies 298g,https://www.yamibuy.com/en/p/homemade-type-peanut-cookies-298g/1016079161?scene=item_search.result&bu_type=search&module_name=input&index=39&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,CROWN,$5.99,3,Homemade Type Peanut Cookies 298g,,Korea,,CROWN
Adult Crunch Fragrant Cookies & Cream 102g,https://www.yamibuy.com/en/p/adult-crunch-fragrant-cookies-cream-102g/1016084011?scene=item_search.result&bu_type=search&module_name=input&index=40&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,SHOEI,$3.99,2,Adult Crunch Fragrant Cookies & Cream 102g,,China,,SHOEI
Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,https://www.yamibuy.com/en/p/loacker-quadratini-bite-size-wafer-cookies-vanilla-flavor-250g/1016007621?scene=item_search.result&bu_type=search&module_name=input&index=41&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,LOACKER,$5.29,10,Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,,Itlay,Italy,LOACKER
M Baker's Custard Cookies 147g,https://www.yamibuy.com/en/p/furuta-m-baker-s-custard-cookies-147g/1016068581?scene=item_search.result&bu_type=search&module_name=input&index=42&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,FURUTA,$4.99,7,M Baker's Custard Cookies 147g,,Japan,,FURUTA
Sand Cookies Cheese Flavor 108g,https://www.yamibuy.com/en/p/cookies-crisp-golden-version-108g/1016094181?scene=item_search.result&bu_type=search&module_name=input&index=43&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Koobi,$3.49,2,Sand Cookies Cheese Flavor 108g,,China,,Koobi
Nutrition biscuit Cookies 90g,https://www.yamibuy.com/en/p/kuansheng-nutrition-biscuit-cookies-90g/1016058481?scene=item_search.result&bu_type=search&module_name=input&index=44&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,KUANSHENG,$1.49,5,Nutrition biscuit Cookies 90g,,Taiwan,,KUANSHENG
Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,https://www.yamibuy.com/en/p/glico-pejoy-creamy-vanilla-filled-chocolate-biscuit-sticks-56g/1016007451?scene=item_search.result&bu_type=search&module_name=input&index=45&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,GLICO,$2.09,41,Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,,Japan,Cookies & Cream,GLICO
3 in 1 Thousand Layers Cookies Salted Egg Yolk Salted Sesame Salted Peanut  450g,https://www.yamibuy.com/en/p/item/1016062491?scene=item_search.result&bu_type=search&module_name=input&index=46&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,TKFOOD,$6.49,72,3 in 1 Thousand Layers Cookies Salted Egg Yolk Salted Sesame Salted Peanut  450g,,Taiwan,,TKFOOD
Sand Cookies Seaweed Flavor 98g,https://www.yamibuy.com/en/p/cookies-malt-seaweed-flavor-98g/1016094201?scene=item_search.result&bu_type=search&module_name=input&index=47&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,Koobi,$3.49,1,Sand Cookies Seaweed Flavor 98g,,China,,Koobi
French Cookies 500g,https://www.yamibuy.com/en/p/french-cookies-500g/1016059421?scene=item_search.result&bu_type=search&module_name=input&index=48&content=cookies,https://cdn.yamibuy.net/statics/libraries/yamibuy/images/lazy.svg,MEIKE,$5.99,8,French Cookies 500g,,Taiwan,,MEIKE
,,,,,,,,,,
,,,,,,,,,,
Soft Baked Cookies Chocolate Chip 156g,https://www.yamibuy.com/en/p/soft-baked-cookies-chocolate-chip-155g/1016089301,https://cdn.yamibuy.net/item/13a5d1b5a7038f42565f6377eb0236f4_684x684.webp,Partake Foods,,1,Soft Baked Cookies Chocolate Chip 156g,,United States,,Partake Foods
Butter Cookies 454g,https://www.yamibuy.com/en/p/royal-danisa-butter-cookies-454g/1016001581,https://cdn.yamibuy.net/item/caddb17ff0db1774dc5ac84d2bbed2d5_684x684.webp,ROYAL DANISA,$7.49,187,Butter Cookies 454g,,Denmark,Indonesia,ROYAL DANISA
CHIO HEONG YUEN Mini Crunchy Cookies 200g,https://www.yamibuy.com/en/p/chio-heong-yuen-mini-crunchy-cookies-300g/1016028611,https://cdn.yamibuy.net/item/f9927359e79f6f882a2229a8fb6e536f_684x684.webp,Choi Heong Yuen Bakery,$6.99,6,CHIO HEONG YUEN Mini Crunchy Cookies 200g,,Macao,China,Choi Heong Yuen Bakery
