Title,Title_link,brand-title,Price,comment-star__count,Headline,Field1,Field2,Field3
Roasted Seaweed Sushi Nori ( 10 Sheets ) 1oz,https://www.yamibuy.com/en/p/roasted-seaweed-sushi-nori-10-sheets-1oz/1149016511?scene=item_search.result&bu_type=search&module_name=input&index=23&content=seaweed,MIFENG,$2.49,,Roasted Seaweed Sushi Nori ( 10 Sheets ) 1oz,Be the first!,,
Seaweed Crisps Cheese Flavor 30g,https://www.yamibuy.com/en/p/seaweed-crisps-wasabi-flavor-30g/1019070241?scene=item_search.result&bu_type=search&module_name=input&index=24&content=seaweed,Master Hee's,$2.69,19,Seaweed Crisps Cheese Flavor 30g,19,Cheese Flavor,4.6
CJ BIBIGO Seaweed Crisps BBQ 20g,https://www.yamibuy.com/en/p/cj-bibigo-seaweed-crisps-bbq-20g/1019012721?scene=item_search.result&bu_type=search&module_name=input&index=25&content=seaweed,CHE IL JEDANG,$2.29,20,CJ BIBIGO Seaweed Crisps BBQ 20g,20,Korea,4
CJ BIBIGO Seaweed Crisps Original 20g,https://www.yamibuy.com/en/p/cj-bibigo-seaweed-crisps-original-20g/1019012701?scene=item_search.result&bu_type=search&module_name=input&index=26&content=seaweed,CHE IL JEDANG,$2.29,10,CJ BIBIGO Seaweed Crisps Original 20g,10,Korea,4.2
Seasoned Seaweed 22.7g,https://www.yamibuy.com/en/p/ajitsuke-nori-btl-22g/1019064771?scene=item_search.result&bu_type=search&module_name=input&index=27&content=seaweed,SHIRAKIKU,$4.59,4,Seasoned Seaweed 22.7g,4,,4.2
Furikake Seas Rst Seaweed Flakes Seafood 30g,https://www.yamibuy.com/en/p/furikake-seas-rst-seaweed-flakes-seafood-30g/1019070431?scene=item_search.result&bu_type=search&module_name=input&index=28&content=seaweed,SHIRAKIKU,$2.19,,Furikake Seas Rst Seaweed Flakes Seafood 30g,Be the first!,,
TangChen Dried Seaweed 80g,https://www.yamibuy.com/en/p/ocm-tangchen-dried-seaweed-80g/1149001791?scene=item_search.result&bu_type=search&module_name=input&index=29&content=seaweed,OCM,$5.99,27,TangChen Dried Seaweed 80g,27,,5
Organic Roasted & Seaweed 4gx10 pack,https://www.yamibuy.com/en/p/shirakiku-organic-roasted-seaweed-4gx12pack/1019033271?scene=item_search.result&bu_type=search&module_name=input&index=30&content=seaweed,SHIRAKIKU,$4.99,29,Organic Roasted & Seaweed 4gx10 pack,29,Japan,4.7
Seaweed Soy Sauce Clam 55g,https://www.yamibuy.com/en/p/seaweed-soy-sauce-clam-55g/3019074651?scene=item_search.result&bu_type=search&module_name=input&index=31&content=seaweed,NATORI,,2,Seaweed Soy Sauce Clam 55g,2,Japan,5
WANGWANG Seaweed with wave flavor Original taste 10g,https://www.yamibuy.com/en/p/wangwang-seaweed-with-wave-flavor-original-taste-10g/3019070611?scene=item_search.result&bu_type=search&module_name=input&index=32&content=seaweed,WANT WANT,$3.49,1,WANGWANG Seaweed with wave flavor Original taste 10g,1,,5
Tempura Seaweed Truffle Black Pepper Flavor 40g,https://www.yamibuy.com/en/p/tempura-seaweed-truffle-black-pepper-flavor-40g/3019077501?scene=item_search.result&bu_type=search&module_name=input&index=33&content=seaweed,TAO KAE NOI,,,Tempura Seaweed Truffle Black Pepper Flavor 40g,Be the first!,,
Seaweed Pork Floss Egg Roll 100g*1,https://www.yamibuy.com/en/p/seaweed-pork-floss-egg-roll-100g-1/3019072891?scene=item_search.result&bu_type=search&module_name=input&index=34&content=seaweed,BE & CHEERY,$11.90,,Seaweed Pork Floss Egg Roll 100g*1,Be the first!,,
East Port Baked Fish Crackers with Seaweed 220g,https://www.yamibuy.com/en/p/east-port-baked-fish-crackers-with-seaweed-220g/3019069401?scene=item_search.result&bu_type=search&module_name=input&index=35&content=seaweed,LIEN HAW FOODS,,1,East Port Baked Fish Crackers with Seaweed 220g,1,Taiwan,5
Japan Seaweed Bibimbap 20G,https://www.yamibuy.com/en/p/japan-gyu-kaku-kelp-20g/3019065221?scene=item_search.result&bu_type=search&module_name=input&index=36&content=seaweed,GYU-KAKU,,,Japan Seaweed Bibimbap 20G,Be the first!,Japan,
Wasabi Flavor Seaweed Crispy Sandwich 4g,https://www.yamibuy.com/en/p/wasabi-flavor-seaweed-crispy-sandwich-4g/3019070031?scene=item_search.result&bu_type=search&module_name=input&index=37&content=seaweed,KANRO,,,Wasabi Flavor Seaweed Crispy Sandwich 4g,Be the first!,Wasabi,
Brown Rice Snack Seaweed Flavour 50g,https://www.yamibuy.com/en/p/brown-rice-snack-seaweed-flavour-50g/3019072401?scene=item_search.result&bu_type=search&module_name=input&index=38&content=seaweed,Grain Mii,,,Brown Rice Snack Seaweed Flavour 50g,Be the first!,Thailand,
Plum Flavor Seaweed Crispy Sandwich 4.4g,https://www.yamibuy.com/en/p/plum-flavor-seaweed-crispy-sandwich-4-4g/3019070041?scene=item_search.result&bu_type=search&module_name=input&index=39&content=seaweed,KANRO,,,Plum Flavor Seaweed Crispy Sandwich 4.4g,Be the first!,Plum,
NOI Crispy Seaweed With Pumpkin Seed Original 40g,https://www.yamibuy.com/en/p/tong-garden-noi-crispy-seaweed-with-pumpkin-seed-original-40g/3019038161?scene=item_search.result&bu_type=search&module_name=input&index=40&content=seaweed,TONG GARDEN,,1,NOI Crispy Seaweed With Pumpkin Seed Original 40g,1,,5
NOI Baked Crispy Seaweed With Almond Slices 40g,https://www.yamibuy.com/en/p/tong-garden-noi-baked-crispy-seaweed-with-almond-slices-40g/3019038151?scene=item_search.result&bu_type=search&module_name=input&index=41&content=seaweed,TONG GARDEN,,,NOI Baked Crispy Seaweed With Almond Slices 40g,Be the first!,,
Miso Soup With Chunky Tofu & Seaweed 35.7g,https://www.yamibuy.com/en/p/marukome-miso-soup-with-chunky-tofu-seaweed-35-7g/1021040311?scene=item_search.result&bu_type=search&module_name=input&index=42&content=seaweed,MARUKOME,$3.69,9,Miso Soup With Chunky Tofu & Seaweed 35.7g,9,Japan,4.9
Corn Roll-Japanese Style Grilled Seaweed  100g,https://www.yamibuy.com/en/p/pei-tien-pei-tien-corn-roll-japanese-style-grilled-seaweed-100g/1017014591?scene=item_search.result&bu_type=search&module_name=input&index=43&content=seaweed,Pei Tien,$2.39,6,Corn Roll-Japanese Style Grilled Seaweed  100g,6,Taiwan,4.7
GGE Seaweed Cracker 80g,https://www.yamibuy.com/en/p/weilih-good-good-eat-seaweed-cracker-80g-random-delivery-of-2-packaging/1017000251?scene=item_search.result&bu_type=search&module_name=input&index=44&content=seaweed,WEILIH,$1.89,192,GGE Seaweed Cracker 80g,192,Taiwan,4.6
JagaRico Potato Stick Umami Seaweed Flavor 52g,https://www.yamibuy.com/en/p/calbee-jagarico-umami-seaweed-12-1-83-oz/1017029631?scene=item_search.result&bu_type=search&module_name=input&index=45&content=seaweed,CALBEE,$2.09,140,JagaRico Potato Stick Umami Seaweed Flavor 52g,140,Seaweed Flavor,4.7
CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,https://www.yamibuy.com/en/p/chio-heong-yuen-vegetarian-phoenix-egg-roll-with-seaweed-150g/1017005141?scene=item_search.result&bu_type=search&module_name=input&index=46&content=seaweed,Choi Heong Yuen Bakery,$8.99,106,CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,106,Macao,4.7
Cooked White Rice With Seaweed Soup 165g,https://www.yamibuy.com/en/p/cj-cooked-white-rice-with-seaweed-soup-165g/1021022601?scene=item_search.result&bu_type=search&module_name=input&index=47&content=seaweed,CHE IL JEDANG,,320,Cooked White Rice With Seaweed Soup 165g,320,,4.7
GINBIS ANIMAL BISCUITS SEAWEED 50g,https://www.yamibuy.com/en/p/ginbis-animal-biscuits-seaweed-50g/1016097151?scene=item_search.result&bu_type=search&module_name=input&index=48&content=seaweed,GINBIS,$1.69,,GINBIS ANIMAL BISCUITS SEAWEED 50g,Be the first!,,
,,,,,,,,
Small Fried Dough Twist Salty Seaweed Flavor 250g,https://www.yamibuy.com/en/p/small-fried-dough-twist-salty-seaweed-flavor-250g/1017044861,ZHONGWANG,$3.29,,Small Fried Dough Twist Salty Seaweed Flavor 250g,Be the first!,,
Japanese Traditional Seaweed Rice Cracker 85g,https://www.yamibuy.com/en/p/shirakiku-japanese-traditional-seaweed-rice-cracker-85g/1017000481,SHIRAKIKU,$2.99,53,Japanese Traditional Seaweed Rice Cracker 85g,53,Japan,3.9
Oishi Seaweed Flavor Cracker 80g,https://www.yamibuy.com/en/p/oishi-snacks-80g/1017045581,OISHI,,,Oishi Seaweed Flavor Cracker 80g,Be the first!,,
Seaweed&Salt Potato Chips,https://www.yamibuy.com/en/p/calbee-seaweed-salt-potato-chips/1017000521,CALBEE,,48,Seaweed&Salt Potato Chips,48,Japan,4.7
Spicy Seaweed Chips 57g,https://www.yamibuy.com/en/p/koikeya-spicy-seaweed-chips-57g/1017000771,KOIKEYA,,55,Spicy Seaweed Chips 57g,55,Japan,4.8
Potato Chips Kyushu Seaweed Flavor 43g,https://www.yamibuy.com/en/p/lay-s-potato-chipskyushu-seaweed/1017030191,Lay's,$1.99,8,Potato Chips Kyushu Seaweed Flavor 43g,8,Kyushu Seaweed Flavor,4.8
"12 Grain Crispi Roll, Seaweed 180g",https://www.yamibuy.com/en/p/12-grain-crispi-roll-seaweed-180g/1017045461,Pei Tien,$2.49,,"12 Grain Crispi Roll, Seaweed 180g",Be the first!,,
