Product_Name,Brand,Reviews,Price,Option,Origin,Rate,Platform,Category
Philippine Dried Mango 48g,BESTORE,1,6.99,No,Mainland China,5.0,Yami,Dried Fruit
LYFEN Comprehensive Freeze-dried Fruit 25g,yifen,0,3.59,No,Mainland China,0.0,Yami,Dried Fruit
Dried Cranberry 100g,BESTORE,1,6.99,No,Mainland China,5.0,Yami,Dried Fruit
Ume Candied Dried Fruit Snacks 168g,BE & CHEERY,0,9.90,3 Options,Mainland China,0.0,Yami,Dried Fruit
【Mainland China Direct Mail】BE-CHEERY Dried Lemon 65g,BE & CHEERY,0,7.90,No,Mainland China,0.0,Yami,Dried Fruit
MISSION FIGS | No Added Sugar| Non GMO| Gluten Free | Kosher Certified | Vegan| Perfectly Dried 180g,NestLady,2,16.99,No,United States,5.0,Yami,Dried Fruit
[Mainland China Direct Mail] Baicao Flavor BE-CHEERY-Dried Red Apricot 100g,BE & CHEERY,1,9.90,No,Mainland China,5.0,Yami,Dried Fruit
Freeze-dried Strawberry Crisp Strawberry Dried Fruit Dried Fruit 30g*1,BE & CHEERY,0,9.90,No,Mainland China,0.0,Yami,Dried Fruit
Dried Turkish Apricots 250g - Fruit Snack / 100% Nature,NestLady,5,9.90,No,United States,5.0,Yami,Dried Fruit
Dried Cherries 88g,BESTORE,0,6.99,No,Mainland China,0.0,Yami,Dried Fruit
"Vegeterian Konjac Snack Spicy Flavor, 360g",WEILONG,632,5.89,3 Options,Mainland China,4.7,Yami,Dried Fruit
Spicy Beancurd Strip 65g,YuFeng,177,1.99,No,Mainland China,4.7,Yami,Dried Fruit
Jinduigu Hand Made Tender Tofu Snack Five Spices Flavor 180g,Jinduigu Food,287,2.79,5 Options,Mainland China,4.7,Yami,Dried Fruit
Hot Konjac Hot & Sour Flavor 20Pcs 360g,WEILONG,255,5.99,3 Options,Mainland China,4.7,Yami,Dried Fruit
Hotfruits Passion Fruits Popsicle (Room Temperature),Hot Fruits,0,15.99,No,Mainland China,0.0,Yami,Dried Fruit
Kiss Burn Soybean Snacks 260g,WEILONG,21,5.29,3 Options,Mainland China,4.6,Yami,Dried Fruit
LABUBU The Monsters Fruits Series Blind Box Single Box,POP MART,0,11.99,4 Options,Mainland China,0.0,Yami,Dried Fruit
Fish Tofu Crab Flavor 22g*30pc,GAGAZUI,407,9.99,3 Options,Mainland China,4.2,Yami,Dried Fruit
Jinduigu Tender Tofu Mushroom Snack  Hot Flavor 180g,Jinduigu Food,149,2.69,5 Options,Mainland China,4.7,Yami,Dried Fruit
Jinduigu Hand Made Tender Tofu Snack Numbing Hot Flavor 180g,Jinduigu Food,174,2.89,5 Options,Mainland China,4.8,Yami,Dried Fruit
The Meister's Fruits Tea 500ml,KIRIN,8,2.59,No,Japan,4.9,Yami,Dried Fruit
JINGDUIGU  Hand Made Tender Tofu Snack Pickled Pepper Flavor 180g,Jinduigu Food,129,2.49,5 Options,Mainland China,4.7,Yami,Dried Fruit
LABUBU The Monsters Fruits Series Blind Box Whole Set,POP MART,0,139.00,4 Options,Mainland China,0.0,Yami,Dried Fruit
GGZ Shredded Vegetarian Steak(BBQ) 32g*30,GAGAZUI,118,8.99,3 Options,Mainland China,4.8,Yami,Dried Fruit
Chocolate Gummy Candy Mixed Fruits Flavor 81g,MEIJI,25,4.49,No,Japan,4.6,Yami,Dried Fruit
Konjac Spicy Flavor Snack  252g,WEILONG,1,5.49,No,Mainland China,5.0,Yami,Dried Fruit
GGZ Shredded Vegetarian Steak(Spicy) 32g*30,GAGAZUI,90,8.99,3 Options,Mainland China,4.8,Yami,Dried Fruit
Hawthorn Berry Jam 135g,YI-MENG RED FARM,3,3.39,No,Mainland China,4.7,Yami,Dried Fruit
Gluten Slices 250g,XIAOYAOLAOYANGJIA,6,3.29,No,Mainland China,5.0,Yami,Dried Fruit
3 FLOWERS Haw Flakes 90g,XIANYANGHUA,65,1.29,No,Mainland China,4.7,Yami,Dried Fruit
Preserved Fruit of Haw 150g,YIDA,95,2.69,No,Mainland China,4.9,Yami,Dried Fruit
Black Tofu Skin 40g,WENHEYOU,6,1.99,No,Mainland China,4.2,Yami,Dried Fruit
Hot Konjac Hot Flavor 20Pcs 360g,WEILONG,474,5.99,3 Options,Mainland China,4.8,Yami,Dried Fruit
Rock Sugar Preserved Plum 135g,TEN WOW,40,4.59,No,Mainland China,4.6,Yami,Dried Fruit
Veggie & Fruits Multiple Grain Powder 500g,FERME SUNSHINE,4,14.99,No,Taiwan,4.5,Yami,Dried Fruit
Salted Sliced Preserved Plum 135g,TEN WOW,31,4.59,No,Mainland China,4.7,Yami,Dried Fruit
Stinky Tofu 125g,WENHEYOU,0,3.59,No,Mainland China,0.0,Yami,Dried Fruit
Hunan Stinky Tofu 235g,XIANGMEIZI,0,8.99,No,Mainland China,0.0,Yami,Dried Fruit
Hunnan Stinky Tofu-Sweet&Spicy Flavor 238g,XIANGMEIZI,0,8.99,No,Mainland China,0.0,Yami,Dried Fruit
Hawthorn  Flakes 180g,YIDA,68,2.99,No,Mainland China,4.8,Yami,Dried Fruit
Hawthron Chips with Probiotics 180g,YIDA,1,5.99,No,Mainland China,5.0,Yami,Dried Fruit
SH Crispy Date 252g,SIHONG,78,4.99,No,Mainland China,4.9,Yami,Dried Fruit
"V52 Vegetables And Fruits Drink, 600ml",BIOLYME,21,59.00,No,Taiwan,5.0,Yami,Dried Fruit
Haw Cheese 200g,YIDA,68,2.99,No,Mainland China,4.8,Yami,Dried Fruit
Hawthorn Products 350g,YIMU,0,3.69,No,Mainland China,0.0,Yami,Dried Fruit
Fruits Jelly Drink Orange Flavor 150g,SHIRAKIKU,47,1.29,10 Options,Japan,4.6,Yami,Dried Fruit
Hawthron Lollipop with Probiotics 140g,YIDA,1,5.99,No,Mainland China,5.0,Yami,Dried Fruit
Spicy Gulten Rolls 120g,WHIKO,0,3.99,No,Mainland China,0.0,Yami,Dried Fruit
Surimi Bean Products (Original) 22g*30,GAGAZUI,0,9.99,No,Mainland China,0.0,Yami,Dried Fruit
YIMENG Healthy Hawthorn Snacks Balls 280g,YI-MENG RED FARM,67,3.89,No,Mainland China,4.7,Yami,Dried Fruit
Black Plum 80g,UME HOUSE,13,4.59,No,Mainland China,4.9,Yami,Dried Fruit
Chan Pui Mui Preserved Plum Cake 70g,UME HOUSE,25,4.99,No,Mainland China,4.9,Yami,Dried Fruit
Vegetarian Spicy Slices 100g,SHERIFF TEA EGG,0,6.99,No,Taiwan,0.0,Yami,Dried Fruit
Hawthorn Rolls,YI-MENG RED FARM,22,3.69,No,Mainland China,4.9,Yami,Dried Fruit
Hawthron Jelly Sheet 300g,YIDA,0,2.89,No,Mainland China,0.0,Yami,Dried Fruit
Whole Water Chestnut 20oz,MALING,0,3.99,No,Mainland China,0.0,Yami,Dried Fruit
Premium Plum Meat 85g,PLUM VILLAGE,0,6.49,No,Taiwan,0.0,Yami,Dried Fruit
Green Fragrant Concubine Raisins 450g,MR FANG'S STORE,0,17.99,No,Mainland China,0.0,Yami,Dried Fruit
Hawthorn Products 350g,YIMU,0,3.69,No,Mainland China,0.0,Yami,Dried Fruit
Gotan Peel 125g,yifen,3,2.09,No,Mainland China,5.0,Yami,Dried Fruit
Lactobacillus Hawthorn Roll,YIDA,2,5.99,No,Mainland China,4.0,Yami,Dried Fruit
Spicy Konjac Snacks 108g,WHIKO,0,3.39,No,Mainland China,0.0,Yami,Dried Fruit
Hawthron Rolls with Probiotics 180g,YIDA,1,5.99,No,Mainland China,5.0,Yami,Dried Fruit
Oats Thousand Crisp 120g TW,GOOD APPETITE,0,2.99,No,Taiwan,0.0,Yami,Dried Fruit
Salted Black Plum 190g,TEN WOW,47,5.99,No,Mainland China,4.7,Yami,Dried Fruit
Preserved Plum 115g,TEN WOW,9,4.59,No,Mainland China,5.0,Yami,Dried Fruit
Liquorice Lemon 140g,Choi Heong Yuen Bakery,8,4.99,2 Options,Macao,3.5,Yami,Dried Fruit
Xiuzhen Mushroom Chips 55g,HOLIJI,0,7.49,No,Taiwan,0.0,Yami,Dried Fruit
Banana Chips 250g,MINH PHAT,0,2.69,No,Vietnam,0.0,Yami,Dried Fruit
jubes Nata De Coco Lychee Flavor 360g,WONG COCO,17,1.89,4 Options,Mainland China,4.8,Yami,Dried Fruit
Hawthorn Berry Ball 170g,BIG GREEN,81,2.99,No,Mainland China,4.6,Yami,Dried Fruit
DAXI Spicy Flavor Tofu Cake 150g,YUXIANG,35,1.49,5 Options,Taiwan,3.3,Yami,Dried Fruit
Love Candied Fruit 180g,TEN WOW,62,5.99,No,Mainland China,4.8,Yami,Dried Fruit
Van Phat Jackfruit Chip 250g,VANPHAT,37,4.49,No,Vietnam,4.7,Yami,Dried Fruit
Spicy Hot Vegetarian Beef 108g,WUXIANZHAI,126,2.39,No,Mainland China,4.6,Yami,Dried Fruit
Shun Tai Vinegar Plum 180g,SHUN TAI,0,10.99,No,Japan,0.0,Yami,Dried Fruit
Macau Lemon Ginger 180g,Choi Heong Yuen Bakery,11,6.69,No,Macao,4.4,Yami,Dried Fruit
jubes Nata De Coco Strawberry Flavor 360g,WONG COCO,8,1.89,4 Options,Indonesia,4.9,Yami,Dried Fruit
Tea Plum,SHUN TAI,4,14.99,No,Japan,4.8,Yami,Dried Fruit
Pitted Preserved Plum Tangerine Peel Flavored 60g,HAPPYFULL,0,3.69,No,Mainland China,0.0,Yami,Dried Fruit
Saiyuan Ebony plum 110g,SAIYUAN,1,4.29,5 Options,Mainland China,5.0,Yami,Dried Fruit
Black Sugar Plum cake 50g,UME HOUSE,10,4.59,No,Mainland China,4.9,Yami,Dried Fruit
XinJing Gray Jujube Circle 252g,SIHONG,41,3.89,No,Mainland China,4.9,Yami,Dried Fruit
Crispy Sesame Dates 252g,SIHONG,57,3.69,No,Mainland China,4.9,Yami,Dried Fruit
JUBES Nata De Coco with Coconut Water Mango Flavor 360g,WONG COCO,7,1.89,No,Mainland China,4.7,Yami,Dried Fruit
Liquorice Olive 140g,Choi Heong Yuen Bakery,12,4.69,2 Options,Macao,4.0,Yami,Dried Fruit
Perilla Plum400g,SHUN TAI,0,14.99,No,Japan,0.0,Yami,Dried Fruit
Crispy JuJube 90g,yifen,3,3.99,6 Options,Mainland China,5.0,Yami,Dried Fruit
Salted Preserved Half Plum 115g,TEN WOW,4,4.59,No,Mainland China,5.0,Yami,Dried Fruit
Jack Fruit Chip 200g,FRUIT FOOD,8,3.89,No,Vietnam,5.0,Yami,Dried Fruit
"Banana Bites,Chocolate,Chewy At least 95% Organic 100g",BARNANA,0,5.89,No,United States,0.0,Yami,Dried Fruit
Jujube 680g,MR FANG'S STORE,13,13.49,No,Mainland China,4.9,Yami,Dried Fruit
Saiyuan Rock Sugar Bayberry 110g,SAIYUAN,4,4.29,5 Options,Mainland China,4.5,Yami,Dried Fruit
Spicy Bean Curd 528g,DANSHI,7,9.99,No,Mainland China,4.6,Yami,Dried Fruit
Candied Fruit College Plum Slices 90g,yifen,4,3.79,6 Options,Mainland China,5.0,Yami,Dried Fruit
Salted Preserved Fruit 170g,TEN WOW,59,5.99,No,Mainland China,4.9,Yami,Dried Fruit
Sour Plum Ginger 180g,Choi Heong Yuen Bakery,2,6.99,No,Macao,5.0,Yami,Dried Fruit
Stinky Tofu Cumin Flavor,YUMIZHIXIANG,2,8.49,2 Options,Mainland China,4.0,Yami,Dried Fruit
Milky Jujube Strawberry Flavor 150g,Yu Cake,7,11.99,4 Options,United States,4.3,Yami,Dried Fruit
ZWG Flavored Arbutus 150g,zhiweiguan,4,5.29,No,Mainland China,3.8,Yami,Dried Fruit
Seedless Preserved Prune 80g,yifen,3,3.89,No,Mainland China,4.3,Yami,Dried Fruit
Hawthorn Roll (L) 120g,BIG GREEN,46,1.89,No,Mainland China,4.7,Yami,Dried Fruit
Konjac  Spicy And Hot Flavor 350g,V-loong,2,6.49,No,Mainland China,5.0,Yami,Dried Fruit
Milky Jujube Matcha Flavor 150g,Yu Cake,32,11.99,4 Options,United States,4.7,Yami,Dried Fruit
【Frozen】 Candied Haws Skewer(Original) 70g,GLT,0,2.69,2 Options,Mainland China,0.0,Yami,Dried Fruit
Hawthorn Jelly Candy 96g,BIG GREEN,64,1.89,No,Mainland China,4.6,Yami,Dried Fruit
Preserved Plum 170g,TEN WOW,15,5.49,No,Mainland China,4.9,Yami,Dried Fruit
Crisp Plum,SHUN TAI,3,14.99,No,Japan,4.3,Yami,Dried Fruit
Herbal Lemon 180g,Choi Heong Yuen Bakery,3,7.49,No,Macao,4.0,Yami,Dried Fruit
Half of Plum 200g,FARMER'S GRANGE,3,5.89,No,Mainland China,4.3,Yami,Dried Fruit
Smoked Black Plum 180g,SHUN TAI,2,10.69,5 Options,Japan,5.0,Yami,Dried Fruit
Saiyuan Plum 110g,SAIYUAN,0,4.29,5 Options,Mainland China,0.0,Yami,Dried Fruit
Banana Chips 170g,SUN TROPICS,21,3.29,No,United States,4.8,Yami,Dried Fruit
Bean Curd With Mushroom 528g,DANSHI,7,9.99,No,Mainland China,4.7,Yami,Dried Fruit
Preserved Fruit 170g,TEN WOW,17,5.99,No,Mainland China,4.6,Yami,Dried Fruit
Saiyuan Fragrant Plum 110g,SAIYUAN,1,4.29,5 Options,Mainland China,5.0,Yami,Dried Fruit
"Real Fruit Yoyos Raspberry,Real Fruit Yoyos 100g",Bear,0,5.99,No,Mainland China,0.0,Yami,Dried Fruit
"Banana Bites, Chewy At least 95% Organic 99g",BARNANA,0,5.89,No,United States,0.0,Yami,Dried Fruit
Taro Chips 250g,MINH PHAT,0,4.99,No,Vietnam,0.0,Yami,Dried Fruit
Bite-Sized Pieces Watermelon Seedless 340g,PITAYA,1,5.19,2 Options,United States,5.0,Yami,Dried Fruit
Saiyuan Prunes 110g,SAIYUAN,2,4.29,5 Options,Mainland China,4.5,Yami,Dried Fruit
Pitted Preserved Plum Original Flavor 60g,HAPPYFULL,0,3.69,No,Mainland China,0.0,Yami,Dried Fruit
GuanMiao Pineapple Plum,SHUN TAI,2,14.99,No,Japan,4.5,Yami,Dried Fruit
Jerky Fruit Mango  100% Organic 23g,SOLELY,1,2.19,4 Options,United States,5.0,Yami,Dried Fruit
Preserved Plum Sheet Perilla Flavor 52g,HAPPYFULL,1,3.29,No,Mainland China,5.0,Yami,Dried Fruit
Chili Sesame Crisp 120g,MALADUONA,41,2.99,No,Mainland China,4.5,Yami,Dried Fruit
Black Tea Plum,SHUN TAI,2,14.99,No,Japan,5.0,Yami,Dried Fruit
Dry Chinese Jujube 500g,SIHONG,0,8.99,No,Mainland China,0.0,Yami,Dried Fruit
Salted Waxberry 200g,TEN WOW,37,5.49,No,Mainland China,4.8,Yami,Dried Fruit
Konjac  Spicy And Hot Flavor 350g,V-loong,2,6.49,No,Mainland China,5.0,Yami,Dried Fruit
Salted Raisin 190g,TEN WOW,23,5.49,No,Mainland China,4.7,Yami,Dried Fruit
Japanese Plum Cake 80g,yifen,2,4.89,No,Mainland China,5.0,Yami,Dried Fruit
"Vegan Jerky Black Pepper Flavor Plant Based Protein,7.5oz",LITTLE JASMINE,0,13.99,No,United States,0.0,Yami,Dried Fruit
Alishan Sakura Plum,SHUN TAI,3,14.99,No,Japan,4.3,Yami,Dried Fruit
Jerky Fruit Banana w/Cacao  100% Organic 23g,SOLELY,0,2.19,4 Options,United States,0.0,Yami,Dried Fruit
"Banana Bites, Coconut At least 95% Organic 100g",BARNANA,0,5.89,No,United States,0.0,Yami,Dried Fruit
Blackcurrant plum 250g,FARMER'S GRANGE,5,5.89,No,Mainland China,3.8,Yami,Dried Fruit
"Vegan Jerky Original Flavor Plant Based Protein,7.5 oz",LITTLE JASMINE,2,13.99,No,United States,5.0,Yami,Dried Fruit
Jerky Fruit Banana w/Pecan  100% Organic 23g,SOLELY,0,2.19,4 Options,United States,0.0,Yami,Dried Fruit
Vegan Jerky Wasabi flavor 7.5oz,LITTLE JASMINE,0,13.99,No,United States,0.0,Yami,Dried Fruit
Dried Mustard Seaweed 100g,KWANGCHEONKIM,0,3.49,No,Korea,0.0,Yami,Dried Fruit
