Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
Babao Rice Multi-grain & Osmanthus Flavor 350g,QINYIWAN,32,3.49,4.6,Mainland China,Yami,Dessert
Preserved Egg and Lean Pork Congee 38g,HAIFUSHENG,2,1.99,5,Mainland China,Yami,Dessert
Longan Mixed Congee 360g,YINLU,29,2.39,4.7,Mainland China,Yami,Dessert
Babao Rice Honey Rose & & Brown Sugar Flavor 350g,QINYIWAN,31,3.49,4.2,Mainland China,Yami,Dessert
Lotus Oatmeal 320g,CHINCHIN,40,1.29,4.1,CHINCHIN,Yami,Dessert
WUGUMOFANG Red Bean Coix Porridge 650g,WUGU MOFANG,13,19.99,4.8,Mainland China,Yami,Dessert
Jiangzhong Hougu Breakfast Rice Cereal Value Pack (Original+Black Sesame) 900g,JZJT,9,41.99,4.2,Mainland China,Yami,Dessert
ONETENG Freeze Dried Jujube Wolfberry White Fungus Soup 90g,SUNGIVEN FOODS,24,6.59,4.7,Mainland China,Yami,Dessert
Canned In Syrup(Yellow Peaches) 680g,QIANBAIWEI,17,2.99,4.8,Mainland China,Yami,Dessert
Tangerine Peel and Lotus Seed Red Bean Paste 200g,CHAOZHOULANG,4,3.69,4.5,Mainland China,Yami,Dessert
Lotus BBQ Flavor 168g,BESTORE,29,4.39,4,Mainland China,Yami,Dessert
Pitaya and Strawberry Meal Replacement Shake,Healthy & Funny,8,27.99,4.6,Mainland China,Yami,Dessert
ONETENG Freeze Dried Rock Sugar Snow Pear White Fungus Soup 90g,SUNGIVEN FOODS,18,6.49,4.9,Mainland China,Yami,Dessert
Red Bean Barley Meal Powder 10 bags,BUYDEEM,5,8.99,5,Mainland China,Yami,Dessert
Rye Black Sesame Rye Soup 200g,CHAOZHOULANG,4,3.69,4.5,Mainland China,Yami,Dessert
Pickled pepper and bamboo shoot slices 188g,BESTORE,4,2.79,5,Mainland China,Yami,Dessert
WFZ Purple Potato Black Rice Porridge 350g,wufangzhai,11,2.29,5,Mainland China,Yami,Dessert
Tropical Classic Tapioca Pearl Pudding with Coconut Chunks 2 Pack 230g,TAS,9,2.89,4.9,Mainland China,Yami,Dessert
JXJFOOD Fungus Pickled Vegetables 180g,JI XIANG JU,15,1.69,4.3,Mainland China,Yami,Dessert
Spicy wild Mushroom 50g,HEXIN,13,1.59,4.5,Mainland China,Yami,Dessert
【Frozen】PMO Mozzarella Cheese Topokki 400g,PMO,0,6.99,0,Korea,Yami,Dessert
Chia seed Oatmeal 2 bags,BUYDEEM,5,3.39,5,Mainland China,Yami,Dessert
Dried Mushroom 50g,HEXIN,8,1.59,4.8,Mainland China,Yami,Dessert
Eleocharis Corn Oatmeal 2 bags 112g,BUYDEEM,1,3.5,4,Mainland China,Yami,Dessert
Spicy Porcino 16g*20,HEXIN,6,7.99,4.7,Mainland China,Yami,Dessert
Peanut Soup with Milk 320g,CHINCHIN,4,1.89,4.5,qinqin,Yami,Dessert
Crisp Bamboo Shoot w/ Enoki Mushroom 230g,GOURMET FARM,2,2.99,1,Mainland China,Yami,Dessert
Ancient Method Brown Sugar Red Bean Paste 330ml,DULIYOUHUO,2,3.89,5,Mainland China,Yami,Dessert
Crisp Bamboo Shoot w/ P.Cabbage 230g,GOURMET FARM,3,3.29,5,Mainland China,Yami,Dessert
BBQ Termiyomyces 100g,ZHENLEYI,2,3.19,5,Mainland China,Yami,Dessert
Spicy Boletus 100g,ZHENLEYI,5,2.99,2.8,Mainland China,Yami,Dessert
TONGFU Longan Lotus Seed Porridge 320g,TONGFU PORRIDGE,1,1.79,5,Mainland China,Yami,Dessert
