Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category
Konjac Nutritional Meal 420g 30g x 14 Packets,MushroomStorm,11,14.24,4.7,Mainland China,Yami,Dessert
Daily Low Fat Cereal Breakfast 400g,BESTORE,0,24.99,0,Mainland China,Yami,Dessert
JAPAN Sugar Free  Doria 206,KAGOME,2,12,5,Japan,Yami,Dessert
JAPAN Sugar free  Doria 206g,KAGOME,1,12,5,Japan,Yami,Dessert
Millet pumpkin porridge 100g in a small bag,YAODUODUO,0,8.9,0,Mainland China,Yami,Dessert
Rice Porridge 6pc,NISSIN,1,21.5,5,Japan,Yami,Dessert
FD Freeze Dried Rice Porridge Instant Breakfast Porridge 5 Flavors 10 Bag Combination 368g,HAIFUSHENG,0,29.99,0,Mainland China,Yami,Dessert
JAPAN Bibimbap 254g,MARUMIYA,0,11.5,0,Japan,Yami,Dessert
JAPAN Sugar Free Tomato risotto 260g,KAGOME,1,12,5,Japan,Yami,Dessert
Eight-treasure porridge 100g in a small bag,YAODUODUO,0,8.9,0,Mainland China,Yami,Dessert
PING TUNG Red Bean Soup 320g  (Limited to 5 cans),LIEN HAW FOODS,0,6.64,0,Taiwan,Yami,Dessert
SOYESFOOD Sweet Taro 200g/can  (Limited to 5 cans),LIEN HAW FOODS,1,3.79,4,Taiwan,Yami,Dessert
Ten-grain rice porridge eight-treasure porridge raw materials in small bags 100g,YAODUODUO,0,8.9,0,Mainland China,Yami,Dessert
Kelp Silk Spicy Taste 218g,BESTORE,4,7.99,5,Mainland China,Yami,Dessert
FANGJIAPUZI Peach Gum Snow Swallow Gleditsiae Semen Soup 200g,MR FANG'S STORE,2,24.99,5,Mainland China,Yami,Dessert
JAPAN  Meal Replacement Cacao&Nuts15pc,ASAHI,4,7.9,4.8,Japan,Yami,Dessert
PING TUNG Taiwan Red Quinoa and Red Bean Porridge 250g  (Limited to 5 cans),LIEN HAW FOODS,0,6.64,0,Taiwan,Yami,Dessert
JAPAN  Meal Replacement Honey&Raisins 15pc,ASAHI,3,7.9,5,Japan,Yami,Dessert
JAPAN Sugar Free  Vegetable Curry 240g,KAGOME,2,12,5,Japan,Yami,Dessert
JAPAN  Meal Replacement Maple&Walnut 15pc,ASAHI,5,7.9,4.6,Japan,Yami,Dessert
SOYESFOOD Sweet Red Bean 200g/can  (Limited to 5 cans),LIEN HAW FOODS,0,3.79,0,Taiwan,Yami,Dessert
JAPAN  Meal Replacement Fruit 15pc Sugar 25%OFF,ASAHI,2,7.9,5,Japan,Yami,Dessert
JAPAN  Meal Replacement Fruit 15pc,ASAHI,3,7.9,5,Japan,Yami,Dessert
WUGUMOFANG Y10 Prebiotic High Fiber Meal 1100g,WUGU MOFANG,2,19.99,4.5,Mainland China,Yami,Dessert
FENGDAN Taiwanese Crispy Biscuit Filled with Nougat 144g,FAVOR DESSERTS,6,11.99,3.2,Taiwan,Yami,Dessert
Popin Cookin DIY Cake Shop Ice Cream Cone Frosting Desserts 26g,Kracie,16,3.99,4.8,Japan,Yami,Dessert
Red Bean Soup with Black RIce 300g Gluten Free,TOTOLE,33,1.99,4.8,Mainland China,Yami,Dessert
