Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category
Szechuan Jelly Dessert Powder 250g,KANGYAKU,No,2.19,11,Mainland China,3.8,Yami,Jelly
Konnyaku Konjac Jelly Apple Flavor 130g,YAMAKICHI SEIKA,3 Options,2.29,0,Japan,0,Yami,Jelly
Jelly Durian Mango Flavor 180g,YAKISS,3 Options,2.59,4,Hong Kong,3.5,Yami,Jelly
Energy Jelly 130g,ORIHIRO,No,2.39,0,Japan,0,Yami,Jelly
Jelly Macchiato Cocoa flavor 180g,YAKISS,3 Options,2.59,1,Hong Kong,3,Yami,Jelly
Konjac Jelly Passion Fruit 312g,jeagueijih,No,3.99,13,Taiwan,4.5,Yami,Jelly
Coconut Jelly Candy 200g,NANGUO,No,2.99,1,Mainland China,2,Yami,Jelly
LOTTE YOGURT JELLY GUMMY CANDY (50g)-YOGURT FLAVORED,Jelly.B,3 Options,3.99,2,Korea,3,Yami,Jelly
Teochew Gummy Jelly 250g,MushroomStorm,No,8.54,1,Mainland China,5,Yami,Jelly
Konjac White Peach & Grape Flavor Jelly 12pcs,ORIHIRO,No,7.99,0,Japan,0,Yami,Jelly
TOKYO Sakura Jelly 3pc,eitaro,No,19,23,Mainland China,4.6,Yami,Jelly
Prunto Konnyaku Jelly Grape 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Orange & Muscat 12pc,ORIHIRO,No,7.47,0,Japan,0,Yami,Jelly
Jushida Konnyaku Jelly - Passion Fruit 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Chia Konjac Grape Jelly 144g,ROYAL FAMILY,No,8.99,0,Taiwan,0,Yami,Jelly
Jelly Chocolate Flavor 6p,ORIHIRO,5 Options,3.99,0,Japan,0,Yami,Jelly
Konjac Macha Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
Meal Replacement Enzyme Jelly Instant Probiotics Intestinal Smoothing Fruit and Vegetable Enzyme Jelly 35g*10,Nanjing Tongrentang,No,41.9,0,Mainland China,0,Yami,Jelly
Blueberry Pomegranate Collagen Enzyme Jelly 105g Replenish collagen through the stomach and intestines,Nanjing Tongrentang,No,38.9,0,Mainland China,0,Yami,Jelly
JAPAN FETTUCCINE JELLY DROPS COLA 50g,BOURBON,42 Options,2.99,0,Japan,0,Yami,Jelly
Heart-shaped Fruit Juice Collagen Jelly White Peach Flavor 54g,KANRO,No,2.9,0,Japan,0,Yami,Jelly
Konnyaku Jelly Muscat 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Jelly Drink White Peach Flavor 150g,TARAMI,No,3.2,7,Japan,4.9,Yami,Jelly
Lemon+Cantaloupe Flavor Konjac Jelly 12pcs,ORIHIRO,No,4.99,1,Japan,5,Yami,Jelly
Sakura flavor fruit jelly 120g,BE & CHEERY,No,9.9,0,Mainland China,0,Yami,Jelly
HOKKAIDO Cantaloupe Jelly 12pc,HORI,No,15.5,6,Japan,4.5,Yami,Jelly
Prunto Konnyaku Jelly Apple & Grape  12pc,ORIHIRO,No,7.47,0,Japan,0,Yami,Jelly
Purun and Konjac Jelly Pouch Watermelon 20g x 6pcs 120g,ORIHIRO,No,3.99,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Peach 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
Prunto Konnyaku Jelly Grape 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
Konnyaku Jelly Muscat 6pcs,ORIHIRO,No,3.99,3,Japan,5,Yami,Jelly
Jushida Konnyaku Jelly - Lychee 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Jushida Konnyaku Jelly - Peach 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Sakura Jelly 3pc,eitaro,No,18.99,0,Mainland China,0,Yami,Jelly
Prunto Konnyaku Jelly Peach 6pc,ORIHIRO,No,2.58,0,Japan,0,Yami,Jelly
Konnyaku Jelly Apple Grape Flavour 12pcs,ORIHIRO,No,6.99,1,Japan,5,Yami,Jelly
Konnyaku Jelly Muscat 6pc,ORIHIRO,No,2.8,0,Japan,0,Yami,Jelly
SINOADORE Jelly  Circulist 150g,SHISEIDO,No,5.5,3,Japan,5,Yami,Jelly
Jelly Drink Green Grape Flavor 150g,TARAMI,No,3.2,6,Japan,5,Yami,Jelly
TOKYO Sakura Jelly Pudding 3pc,eitaro,No,19,1,Mainland China,5,Yami,Jelly
Prunto Konnyaku Jelly Peach 6pcs,ORIHIRO,No,3.99,3,Japan,5,Yami,Jelly
Jelly Drink Apple Flavor 150g,TARAMI,No,3.2,3,Japan,5,Yami,Jelly
Konjac Coffee Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
Choco Variety Pack 27pc In Bag Bis Milk Strawberry Jelly Cookie 176g,TIROL,No,5.88,5,Japan,4.8,Yami,Jelly
Jushida Konnyaku Jelly - Mango 160g,NESTLE,No,4.79,0,Japan,0,Yami,Jelly
Konjac Chocolate Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
Apple Chia Konjac Jelly 144g,ROYAL FAMILY,No,8.99,0,Taiwan,0,Yami,Jelly
SHIGA Plum Jelly 5pc,Kanou,4 Options,24.99,3,Japan,3,Yami,Jelly
Konjac Grape Jelly 6pc,ORIHIRO,42 Options,3.9,2,Japan,5,Yami,Jelly
Konjac Almond Milk Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
JAPAN GINZA Jelly Fudge 14pc,ROKUMEIKAN,14 Options,20.9,0,Japan,0,Yami,Jelly
Smart Lactobacillus Clear Jelly Fine Treat 90 Bags,POLA,No,132.59,0,Japan,0,Yami,Jelly
Konjac Muscat Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
Konjac  Orange Jelly 6pc,ORIHIRO,42 Options,3.9,0,Japan,0,Yami,Jelly
TACT COOL JELLY External Analgesic Pain Relief Ointment 20g,sato,No,7.99,1,Japan,1,Yami,Jelly
PinoO Jelly Your Boys Series Blind Box Single Box,POP MART,2 Options,11.99,2,Mainland China,5,Yami,Jelly
Pino Jelly Your Boys Series Blind Box Whole Set,POP MART,2 Options,139,2,Mainland China,5,Yami,Jelly
Konjac Jelly Noodle,YUANXIAN,No,3.99,4,Mainland China,4.2,Yami,Jelly
Rice Jelly (Brown Sugar Flavor) 240g,YUMEI,No,2.49,257,Mainland China,4.5,Yami,Jelly
Grass Jelly Pudding 255g,TAISUN,No,1.39,55,Taiwan,4.8,Yami,Jelly
Grass Jelly Drink Original 310ml,TAISUN,4 Options,0.99,31,Taiwan,4.4,Yami,Jelly
Hawthron Jelly Sheet 300g,YIDA,No,2.89,0,Mainland China,0,Yami,Jelly
"Night Recover Jelly, 50g",HABA,No,54.99,0,Japan,0,Yami,Jelly
Black Grass Jelly 19oz,MIFENG,No,2.49,0,Mainland China,0,Yami,Jelly
Rice Jelly (Chili Oil Flavor) 270g,YUMEI,No,2.19,72,Mainland China,4.4,Yami,Jelly
Konjac Jelly,YUANXIAN,No,3.49,7,Mainland China,4.7,Yami,Jelly
Sweet Red Bean Jelly Bar 55g,HAITAI,2 Options,0.79,122,Korea,4.3,Yami,Jelly
Herbal Jelly Mix 15packs,HEALTH STYLE,No,7.99,50,Taiwan,4.5,Yami,Jelly
Konjac Jelly Orange Flavor 263g,YUMEI,No,2.99,2,Mainland China,5,Yami,Jelly
Fiber Hawthron Jelly Roll 208g,YIDA,No,4.89,2,Mainland China,5,Yami,Jelly
Grass Jelly Drink 315ml,HONEY BEE,No,1.49,13,Taiwan,4.4,Yami,Jelly
Coffee Jelly 15g*5 bags,EZZ,No,14.5,0,Australia,0,Yami,Jelly
Konjac Jelly Brown Sugar 263g,YUMEI,No,2.99,5,Mainland China,5,Yami,Jelly
"EZZ Iron Jelly, 15g*7 pcs",EZZ,No,15.5,0,Australia,0,Yami,Jelly
Yunker Q10 JELLY Drink 150g,sato,No,2.99,43,Japan,4.9,Yami,Jelly
Konjac Jelly Pineapple Flavor 263g,YUMEI,No,2.99,1,Mainland China,5,Yami,Jelly
CHUANBEI JELLY Meat Tenderizer 300g,chuanbeiliangfen,No,2.19,3,Mainland China,5,Yami,Jelly
Jelly Soda 300ml,SUNKIST,No,2.49,2,Mainland China,4.5,Yami,Jelly
Premium Puresa Golden Jelly(GELEE) Mask Hyaluronic Acid 3sheets,UTENA,7 Options,7.99,55,Japan,4.7,Yami,Jelly
MOMO PURI Jelly Mask 4pcs,BCL,No,7.5,4,Japan,5,Yami,Jelly
Hawthorn Jelly Candy 96g,BIG GREEN,No,1.89,64,Mainland China,4.6,Yami,Jelly
Royal Jelly All In One Face Gel 75g,OZIO,No,39.99,1,Japan,5,Yami,Jelly
MOMO PURI Jelly Mask 4pcs,BCL,No,7.5,8,Japan,4.5,Yami,Jelly
Xylitol Sugar Free Chewing Gum Orange Flavor86g,LOTTE Korea,3 Options,4.99,6,Korea,4.3,Yami,Jelly
Xylitol Sugar Free Chewing Gum Aloe Vera Flavor86g,LOTTE Korea,3 Options,4.99,3,Korea,4,Yami,Jelly
Red Ginseng Yokan 30g,CROWN,No,4.39,0,Korea,0,Yami,Jelly
Konnyaku Fukairi Coffee 187g,YUKIGUNI AGURI,No,2.49,4,Japan,4.5,Yami,Jelly
Ice Pop 10 pcs 861g,DRAGONFLY BRAND,No,3.69,0,Mainland China,0,Yami,Jelly
Assorted Fruit Shape Pudding 11.3oz,DRAGONFLY BRAND,No,1.99,0,Mainland China,0,Yami,Jelly
Konnyaku Unshu Mikan 370g,YUKIGUNI AGURI,No,4.69,0,Japan,0,Yami,Jelly
Konnyaku Ringo 187g,YUKIGUNI AGURI,No,2.49,1,Japan,4,Yami,Jelly
ROCHER Fine Hazelnut Chocolates 12pcs,FERRERO,No,5.99,2,Canada,5,Yami,Jelly
Yōkan Azuki Red Bean Paste Snack 800g,eitaro,No,59.99,2,Mainland China,5,Yami,Jelly
