Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category
Castella Japanese Style Baked Sponge Cheese Cake 7pcs 280g,IMURAYA,74,6.99,4 Options,4.2,Japan,Yami,Cake
HSIN TUNG YANG Mung Bean Cake 15Pieces 150g,HSINTUNGYANG,62,6.89,No,3.9,Taiwan,Yami,Cake
【Frozen】Rice Cake(Dukbokki)1.5lb,DAFENG,0,2.69,No,0.0,Mainland China,Yami,Cake
Sesame Flour Cake 360g,HSINTUNGYANG,25,3.99,3 Options,3.6,Taiwan,Yami,Cake
Vegetarian Mung Bean Durian Cake 400g,3-MIEN,0,5.69,No,0.0,Vietnam,Yami,Cake
DXC Soft Flour Cake Brown Suger 454g,Dao Xiang Cun,56,7.49,3 Options,4.6,Mainland China,Yami,Cake
MEIHUASIANG Sticky Rice Cake 480g,MEI HUA SIANG,8,3.59,7 Options,5.0,Taiwan,Yami,Cake
Pia Durian Cake Egg Yolk Mung Bean Flavor 400g,THIEN SA,8,5.69,2 Options,4.0,Vietnam,Yami,Cake
"Soft Flour Cake, Egg Flavor 300g",JJF,0,2.99,No,0.0,Taiwan,Yami,Cake
Original Faff Cake 64g,KALUOKAMAN,0,1.69,No,0.0,Mainland China,Yami,Cake
Puffed Black Bean Rice Cake125g,NONGHYUP,11,3.69,2 Options,4.5,Korea,Yami,Cake
Strawberry Cake 184g,ROYAL FAMILY,3,2.99,4 Options,3.7,Taiwan,Yami,Cake
Japanese Plum Cake 80g,yifen,2,4.89,No,5.0,Mainland China,Yami,Cake
Butter Cake 210g,HUAMEI,14,4.59,No,4.9,Mainland China,Yami,Cake
AOMORI ROUGEA Apple Pound Cake 8pc,SATO ARPAJON,0,34.99,No,0.0,Japan,Yami,Cake
OH! YES Choco Cake 12pieces 336g,HAITAI,66,4.29,No,4.5,Korea,Yami,Cake
SHIRAKIKU Rice Cake Azuki Daifuku Mochi With Red Bean Paste Filling 8Pc,SHIRAKIKU,10,3.99,No,4.5,Japan,Yami,Cake
Tachia Master Sun Cake 600g,TACHIA MASTER,0,39.99,No,0.0,Mainland China,Yami,Cake
Chan Pui Mui Preserved Plum Cake 70g,UME HOUSE,24,4.99,No,4.9,Mainland China,Yami,Cake
NICE CHOIE Green Tea Cake 227g,NICE CHOICE,11,2.99,No,2.9,Taiwan,Yami,Cake
Mini Roll Cake Strawberry Flavor 70g,BOURBON,7,2.69,3 Options,3.6,Japan,Yami,Cake
ACE NY CHEESE CAKE FLAVOR 364g,HAITAI,0,3.99,No,0.0,Korea,Yami,Cake
Taro W Durian Cake 300g,Maoshanwang,0,4.49,No,0.0,Mainland China,Yami,Cake
KIREKA Honey and Match cake gift set 6pc,IZUMIYA,0,19.99,No,0.0,Japan,Yami,Cake
Mini Roll Cake Milk Flavor 70g,BOURBON,6,2.99,3 Options,4.7,Japan,Yami,Cake
Cheese Cake Sea Salt Flavor 240g,HUAMEI,4,4.99,2 Options,4.8,Mainland China,Yami,Cake
Honey Cake 400g,IMEI,0,8.99,No,0.0,Taiwan,Yami,Cake
SHIRAKIKU Rice Cake Azuki Daifuku Mochi With Red Bean Paste Filling 8Pc,SHIRAKIKU,10,3.99,No,4.5,Japan,Yami,Cake
Brown Sugar Flour Cake 360g,HSINTUNGYANG,30,3.39,3 Options,4.5,Taiwan,Yami,Cake
Tachia Master Sun Cake 600g,TACHIA MASTER,0,39.99,No,0.0,Mainland China,Yami,Cake
Raisin  Flour Soft Flour Cake 608g,JINGYIZHEN,38,6.99,4 Options,4.9,Mainland China,Yami,Cake
Mini Roll Cake Strawberry Flavor 70g,BOURBON,7,2.69,3 Options,3.6,Japan,Yami,Cake
